Estacion,Material,Registros Validados,Registros Preliminares,Registros No Validados,Fecha
arica,mp2.5,13.2,,,2000-01-01
arica,mp2.5,27.5,,,2000-01-02
arica,mp2.5,,,,2000-01-03
arica,mp2.5,,,,2000-01-04
arica,mp2.5,,,,2000-01-05
arica,mp2.5,,,,2000-01-06
arica,mp2.5,,,,2000-01-07
arica,mp2.5,,,,2000-01-08
arica,mp2.5,,,,2000-01-09
arica,mp2.5,,,,2000-01-10
arica,mp2.5,,,,2000-01-11
arica,mp2.5,,,,2000-01-12
arica,mp2.5,,,,2000-01-13
arica,mp2.5,,,,2000-01-14
arica,mp2.5,,,,2000-01-15
arica,mp2.5,,,,2000-01-16
arica,mp2.5,,,,2000-01-17
arica,mp2.5,,,,2000-01-18
arica,mp2.5,,,,2000-01-19
arica,mp2.5,,,,2000-01-20
arica,mp2.5,,,,2000-01-21
arica,mp2.5,,,,2000-01-22
arica,mp2.5,,,,2000-01-23
arica,mp2.5,,,,2000-01-24
arica,mp2.5,,,,2000-01-25
arica,mp2.5,,,,2000-01-26
arica,mp2.5,,,,2000-01-27
arica,mp2.5,,,,2000-01-28
arica,mp2.5,,,,2000-01-29
arica,mp2.5,,,,2000-01-30
arica,mp2.5,,,,2000-01-31
arica,mp2.5,,,,2000-02-01
arica,mp2.5,,,,2000-02-02
arica,mp2.5,,,,2000-02-03
arica,mp2.5,,,,2000-02-04
arica,mp2.5,,,,2000-02-05
arica,mp2.5,,,,2000-02-06
arica,mp2.5,,,,2000-02-07
arica,mp2.5,,,,2000-02-08
arica,mp2.5,,,,2000-02-09
arica,mp2.5,,,,2000-02-10
arica,mp2.5,,,,2000-02-11
arica,mp2.5,,,,2000-02-12
arica,mp2.5,,,,2000-02-13
arica,mp2.5,,,,2000-02-14
arica,mp2.5,,,,2000-02-15
arica,mp2.5,,,,2000-02-16
arica,mp2.5,,,,2000-02-17
arica,mp2.5,,,,2000-02-18
arica,mp2.5,,,,2000-02-19
arica,mp2.5,,,,2000-02-20
arica,mp2.5,,,,2000-02-21
arica,mp2.5,,,,2000-02-22
arica,mp2.5,,,,2000-02-23
arica,mp2.5,,,,2000-02-24
arica,mp2.5,,,,2000-02-25
arica,mp2.5,,,,2000-02-26
arica,mp2.5,,,,2000-02-27
