Estacion,Material,Fecha,Registros Validados,Registros Preliminares,Registros No Validados
andacollo,mp10,2009-07,,,
andacollo,mp10,2009-08,,,
andacollo,mp10,2009-09,,,
andacollo,mp10,2009-10,,,
andacollo,mp10,2009-11,,,
andacollo,mp10,2009-12,,,
andacollo,mp10,2010-01,,,42.10377133928572
andacollo,mp10,2010-02,,,49.84167135802468
andacollo,mp10,2010-03,,,52.14698046759259
andacollo,mp10,2010-04,,,66.44407501690822
andacollo,mp10,2010-05,,,33.45346368055556
andacollo,mp10,2010-06,,,
andacollo,mp10,2010-07,,,
andacollo,mp10,2010-08,,,41.27036758348188
andacollo,mp10,2010-09,,,42.277117210267704
andacollo,mp10,2010-10,,,40.22609694055944
andacollo,mp10,2010-11,,,40.17980726349704
andacollo,mp10,2010-12,,,46.34252366471364
andacollo,mp10,2011-01,,,44.4397652737048
andacollo,mp10,2011-02,,,38.38894620726496
andacollo,mp10,2011-03,,,48.415897297979804
andacollo,mp10,2011-04,,,56.2202719090909
andacollo,mp10,2011-05,,,68.35422573313782
andacollo,mp10,2011-06,,,23.66877372111111
andacollo,mp10,2011-07,,,46.17117161021505
andacollo,mp10,2011-08,,,37.90447447988506
andacollo,mp10,2011-09,,,49.72245244781145
andacollo,mp10,2011-10,,,46.16474397849463
andacollo,mp10,2011-11,,,48.383817093434345
andacollo,mp10,2011-12,,,54.373905587606835
andacollo,mp10,2012-01,,,45.07635410436186
andacollo,mp10,2012-02,,,49.48053872389859
andacollo,mp10,2012-03,,,73.11963595660785
andacollo,mp10,2012-04,,,54.91826176498514
andacollo,mp10,2012-05,,,74.73157252968768
andacollo,mp10,2012-06,,,70.43873125685184
andacollo,mp10,2012-07,,,36.02225859848485
andacollo,mp10,2012-08,,,
andacollo,mp10,2012-09,,,
andacollo,mp10,2012-10,,,
andacollo,mp10,2012-11,,,
andacollo,mp10,2012-12,,,
andacollo,mp10,2013-01,,,
andacollo,mp10,2013-02,,,
andacollo,mp10,2013-03,84.16397849462365,,
andacollo,mp10,2013-04,75.65433114035088,,
andacollo,mp10,2013-05,62.6685606060606,,
andacollo,mp10,2013-06,75.18472222222223,,
andacollo,mp10,2013-07,58.11155913978494,,
andacollo,mp10,2013-08,73.73306451612903,,
andacollo,mp10,2013-09,71.97388888888891,,
andacollo,mp10,2013-10,63.257340777502066,,
andacollo,mp10,2013-11,52.069746376811594,,
andacollo,mp10,2013-12,46.207223001402525,,
andacollo,mp10,2014-01,46.480247779336146,,
andacollo,mp10,2014-02,63.551889233954455,,
andacollo,mp10,2014-03,74.84779686769518,,
andacollo,mp10,2014-04,86.31552197802199,,
andacollo,mp10,2014-05,95.86612265714653,,
andacollo,mp10,2014-06,79.6287518037518,,
andacollo,mp10,2014-07,74.36360448807854,,
andacollo,mp10,2014-08,74.8961327358943,,
andacollo,mp10,2014-09,36.22267237593325,,
andacollo,mp10,2014-10,55.23753134429851,,
andacollo,mp10,2014-11,60.01333024154588,,
andacollo,mp10,2014-12,59.50575455390158,,
andacollo,mp10,2015-01,43.53062178588126,,
andacollo,mp10,2015-02,36.61539502164503,5.5,
andacollo,mp10,2015-03,52.674238528340915,,
andacollo,mp10,2015-04,65.69245169082124,41.0,
andacollo,mp10,2015-05,85.94768237345404,3.0,
andacollo,mp10,2015-06,113.22426872041066,,
andacollo,mp10,2015-07,68.54734313517362,2.709,
andacollo,mp10,2015-08,43.01785990900591,,
andacollo,mp10,2015-09,29.02462405264602,,
andacollo,mp10,2015-10,28.507036934231614,,
andacollo,mp10,2015-11,27.55954995658029,1.0,
andacollo,mp10,2015-12,39.621082246961194,,
andacollo,mp10,2016-01,22.716830965821817,,
andacollo,mp10,2016-02,36.22811487395098,130.96666666666667,
andacollo,mp10,2016-03,45.16009241906391,,
andacollo,mp10,2016-04,34.04406548103864,,
andacollo,mp10,2016-05,33.755162928728915,,
andacollo,mp10,2016-06,30.032524145634916,,
andacollo,mp10,2016-07,26.423866054815335,,
