"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 130601 100 57 NA NA NA "antofagasta" "mp2.5"
"2" 130601 200 30 NA NA NA "antofagasta" "mp2.5"
"3" 130601 300 33 NA NA NA "antofagasta" "mp2.5"
"4" 130601 400 28 NA NA NA "antofagasta" "mp2.5"
"5" 130601 500 34 NA NA NA "antofagasta" "mp2.5"
"6" 130601 600 46 NA NA NA "antofagasta" "mp2.5"
"7" 130601 700 35 NA NA NA "antofagasta" "mp2.5"
"8" 130601 800 38 NA NA NA "antofagasta" "mp2.5"
"9" 130601 900 25 NA NA NA "antofagasta" "mp2.5"
"10" 130601 1000 22 NA NA NA "antofagasta" "mp2.5"
"11" 130601 1100 8 NA NA NA "antofagasta" "mp2.5"
"12" 130601 1200 8 NA NA NA "antofagasta" "mp2.5"
"13" 130601 1300 4 NA NA NA "antofagasta" "mp2.5"
"14" 130601 1400 11 NA NA NA "antofagasta" "mp2.5"
"15" 130601 1500 9 NA NA NA "antofagasta" "mp2.5"
"16" 130601 1600 8 NA NA NA "antofagasta" "mp2.5"
"17" 130601 1700 7 NA NA NA "antofagasta" "mp2.5"
"18" 130601 1800 15 NA NA NA "antofagasta" "mp2.5"
"19" 130601 1900 10 NA NA NA "antofagasta" "mp2.5"
"20" 130601 2000 11 NA NA NA "antofagasta" "mp2.5"
"21" 130601 2100 14 NA NA NA "antofagasta" "mp2.5"
"22" 130601 2200 20 NA NA NA "antofagasta" "mp2.5"
"23" 130601 2300 24 NA NA NA "antofagasta" "mp2.5"
"24" 130602 0 23 NA NA NA "antofagasta" "mp2.5"
"25" 130602 100 31 NA NA NA "antofagasta" "mp2.5"
"26" 130602 200 16 NA NA NA "antofagasta" "mp2.5"
"27" 130602 300 21 NA NA NA "antofagasta" "mp2.5"
"28" 130602 400 16 NA NA NA "antofagasta" "mp2.5"
"29" 130602 500 18 NA NA NA "antofagasta" "mp2.5"
"30" 130602 600 19 NA NA NA "antofagasta" "mp2.5"
"31" 130602 700 26 NA NA NA "antofagasta" "mp2.5"
"32" 130602 800 27 NA NA NA "antofagasta" "mp2.5"
"33" 130602 900 29 NA NA NA "antofagasta" "mp2.5"
"34" 130602 1000 33 NA NA NA "antofagasta" "mp2.5"
"35" 130602 1100 37 NA NA NA "antofagasta" "mp2.5"
"36" 130602 1200 28 NA NA NA "antofagasta" "mp2.5"
"37" 130602 1300 25 NA NA NA "antofagasta" "mp2.5"
"38" 130602 1400 18 NA NA NA "antofagasta" "mp2.5"
"39" 130602 1500 18 NA NA NA "antofagasta" "mp2.5"
"40" 130602 1600 23 NA NA NA "antofagasta" "mp2.5"
"41" 130602 1700 26 NA NA NA "antofagasta" "mp2.5"
"42" 130602 1800 30 NA NA NA "antofagasta" "mp2.5"
"43" 130602 1900 19 NA NA NA "antofagasta" "mp2.5"
"44" 130602 2000 14 NA NA NA "antofagasta" "mp2.5"
"45" 130602 2100 36 NA NA NA "antofagasta" "mp2.5"
"46" 130602 2200 44 NA NA NA "antofagasta" "mp2.5"
"47" 130602 2300 37 NA NA NA "antofagasta" "mp2.5"
"48" 130603 0 25 NA NA NA "antofagasta" "mp2.5"
"49" 130603 100 20 NA NA NA "antofagasta" "mp2.5"
"50" 130603 200 23 NA NA NA "antofagasta" "mp2.5"
"51" 130603 300 25 NA NA NA "antofagasta" "mp2.5"
"52" 130603 400 28 NA NA NA "antofagasta" "mp2.5"
"53" 130603 500 30 NA NA NA "antofagasta" "mp2.5"
"54" 130603 600 36 NA NA NA "antofagasta" "mp2.5"
"55" 130603 700 53 NA NA NA "antofagasta" "mp2.5"
"56" 130603 800 49 NA NA NA "antofagasta" "mp2.5"
"57" 130603 900 43 NA NA NA "antofagasta" "mp2.5"
"58" 130603 1000 41 NA NA NA "antofagasta" "mp2.5"
"59" 130603 1100 47 NA NA NA "antofagasta" "mp2.5"
"60" 130603 1200 50 NA NA NA "antofagasta" "mp2.5"
"61" 130603 1300 57 NA NA NA "antofagasta" "mp2.5"
"62" 130603 1400 56 NA NA NA "antofagasta" "mp2.5"
"63" 130603 1500 61 NA NA NA "antofagasta" "mp2.5"
"64" 130603 1600 55 NA NA NA "antofagasta" "mp2.5"
"65" 130603 1700 57 NA NA NA "antofagasta" "mp2.5"
"66" 130603 1800 49 NA NA NA "antofagasta" "mp2.5"
"67" 130603 1900 53 NA NA NA "antofagasta" "mp2.5"
"68" 130603 2000 43 NA NA NA "antofagasta" "mp2.5"
"69" 130603 2100 40 NA NA NA "antofagasta" "mp2.5"
"70" 130603 2200 47 NA NA NA "antofagasta" "mp2.5"
"71" 130603 2300 58 NA NA NA "antofagasta" "mp2.5"
"72" 130604 0 52 NA NA NA "antofagasta" "mp2.5"
"73" 130604 100 58 NA NA NA "antofagasta" "mp2.5"
"74" 130604 200 50 NA NA NA "antofagasta" "mp2.5"
"75" 130604 300 51 NA NA NA "antofagasta" "mp2.5"
"76" 130604 400 46 NA NA NA "antofagasta" "mp2.5"
"77" 130604 500 44 NA NA NA "antofagasta" "mp2.5"
"78" 130604 600 45 NA NA NA "antofagasta" "mp2.5"
"79" 130604 700 48 NA NA NA "antofagasta" "mp2.5"
"80" 130604 800 52 NA NA NA "antofagasta" "mp2.5"
"81" 130604 900 56 NA NA NA "antofagasta" "mp2.5"
"82" 130604 1000 51 NA NA NA "antofagasta" "mp2.5"
"83" 130604 1100 49 NA NA NA "antofagasta" "mp2.5"
"84" 130604 1200 50 NA NA NA "antofagasta" "mp2.5"
"85" 130604 1300 52 NA NA NA "antofagasta" "mp2.5"
"86" 130604 1400 46 NA NA NA "antofagasta" "mp2.5"
"87" 130604 1500 46 NA NA NA "antofagasta" "mp2.5"
"88" 130604 1600 43 NA NA NA "antofagasta" "mp2.5"
"89" 130604 1700 37 NA NA NA "antofagasta" "mp2.5"
"90" 130604 1800 30 NA NA NA "antofagasta" "mp2.5"
"91" 130604 1900 20 NA NA NA "antofagasta" "mp2.5"
"92" 130604 2000 20 NA NA NA "antofagasta" "mp2.5"
"93" 130604 2100 24 NA NA NA "antofagasta" "mp2.5"
"94" 130604 2200 20 NA NA NA "antofagasta" "mp2.5"
"95" 130604 2300 26 NA NA NA "antofagasta" "mp2.5"
"96" 130605 0 29 NA NA NA "antofagasta" "mp2.5"
"97" 130605 100 24 NA NA NA "antofagasta" "mp2.5"
"98" 130605 200 41 NA NA NA "antofagasta" "mp2.5"
"99" 130605 300 42 NA NA NA "antofagasta" "mp2.5"
"100" 130605 400 46 NA NA NA "antofagasta" "mp2.5"
"101" 130605 500 39 NA NA NA "antofagasta" "mp2.5"
"102" 130605 600 44 NA NA NA "antofagasta" "mp2.5"
"103" 130605 700 43 NA NA NA "antofagasta" "mp2.5"
"104" 130605 800 37 NA NA NA "antofagasta" "mp2.5"
"105" 130605 900 40 NA NA NA "antofagasta" "mp2.5"
"106" 130605 1000 44 NA NA NA "antofagasta" "mp2.5"
"107" 130605 1100 48 NA NA NA "antofagasta" "mp2.5"
"108" 130605 1200 70 NA NA NA "antofagasta" "mp2.5"
"109" 130605 1300 60 NA NA NA "antofagasta" "mp2.5"
"110" 130605 1400 55 NA NA NA "antofagasta" "mp2.5"
"111" 130605 1500 61 NA NA NA "antofagasta" "mp2.5"
"112" 130605 1600 57 NA NA NA "antofagasta" "mp2.5"
"113" 130605 1700 50 NA NA NA "antofagasta" "mp2.5"
"114" 130605 1800 60 NA NA NA "antofagasta" "mp2.5"
"115" 130605 1900 60 NA NA NA "antofagasta" "mp2.5"
"116" 130605 2000 63 NA NA NA "antofagasta" "mp2.5"
"117" 130605 2100 59 NA NA NA "antofagasta" "mp2.5"
"118" 130605 2200 59 NA NA NA "antofagasta" "mp2.5"
"119" 130605 2300 49 NA NA NA "antofagasta" "mp2.5"
"120" 130606 0 63 NA NA NA "antofagasta" "mp2.5"
"121" 130606 100 52 NA NA NA "antofagasta" "mp2.5"
"122" 130606 200 50 NA NA NA "antofagasta" "mp2.5"
"123" 130606 300 49 NA NA NA "antofagasta" "mp2.5"
"124" 130606 400 46 NA NA NA "antofagasta" "mp2.5"
"125" 130606 500 39 NA NA NA "antofagasta" "mp2.5"
"126" 130606 600 43 NA NA NA "antofagasta" "mp2.5"
"127" 130606 700 45 NA NA NA "antofagasta" "mp2.5"
"128" 130606 800 48 NA NA NA "antofagasta" "mp2.5"
"129" 130606 900 45 NA NA NA "antofagasta" "mp2.5"
"130" 130606 1000 40 NA NA NA "antofagasta" "mp2.5"
"131" 130606 1100 35 NA NA NA "antofagasta" "mp2.5"
"132" 130606 1200 28 NA NA NA "antofagasta" "mp2.5"
"133" 130606 1300 24 NA NA NA "antofagasta" "mp2.5"
"134" 130606 1400 23 NA NA NA "antofagasta" "mp2.5"
"135" 130606 1500 17 NA NA NA "antofagasta" "mp2.5"
"136" 130606 1600 18 NA NA NA "antofagasta" "mp2.5"
"137" 130606 1700 17 NA NA NA "antofagasta" "mp2.5"
"138" 130606 1800 21 NA NA NA "antofagasta" "mp2.5"
"139" 130606 1900 15 NA NA NA "antofagasta" "mp2.5"
"140" 130606 2000 17 NA NA NA "antofagasta" "mp2.5"
"141" 130606 2100 13 NA NA NA "antofagasta" "mp2.5"
"142" 130606 2200 13 NA NA NA "antofagasta" "mp2.5"
"143" 130606 2300 18 NA NA NA "antofagasta" "mp2.5"
"144" 130607 0 25 NA NA NA "antofagasta" "mp2.5"
"145" 130607 100 27 NA NA NA "antofagasta" "mp2.5"
"146" 130607 200 23 NA NA NA "antofagasta" "mp2.5"
"147" 130607 300 18 NA NA NA "antofagasta" "mp2.5"
"148" 130607 400 21 NA NA NA "antofagasta" "mp2.5"
"149" 130607 500 29 NA NA NA "antofagasta" "mp2.5"
"150" 130607 600 34 NA NA NA "antofagasta" "mp2.5"
"151" 130607 700 36 NA NA NA "antofagasta" "mp2.5"
"152" 130607 800 33 NA NA NA "antofagasta" "mp2.5"
"153" 130607 900 31 NA NA NA "antofagasta" "mp2.5"
"154" 130607 1000 26 NA NA NA "antofagasta" "mp2.5"
"155" 130607 1100 35 NA NA NA "antofagasta" "mp2.5"
"156" 130607 1200 32 NA NA NA "antofagasta" "mp2.5"
"157" 130607 1300 30 NA NA NA "antofagasta" "mp2.5"
"158" 130607 1400 19 NA NA NA "antofagasta" "mp2.5"
"159" 130607 1500 14 NA NA NA "antofagasta" "mp2.5"
"160" 130607 1600 15 NA NA NA "antofagasta" "mp2.5"
"161" 130607 1700 19 NA NA NA "antofagasta" "mp2.5"
"162" 130607 1800 21 NA NA NA "antofagasta" "mp2.5"
"163" 130607 1900 19 NA NA NA "antofagasta" "mp2.5"
"164" 130607 2000 27 NA NA NA "antofagasta" "mp2.5"
"165" 130607 2100 61 NA NA NA "antofagasta" "mp2.5"
"166" 130607 2200 73 NA NA NA "antofagasta" "mp2.5"
"167" 130607 2300 55 NA NA NA "antofagasta" "mp2.5"
"168" 130608 0 35 NA NA NA "antofagasta" "mp2.5"
"169" 130608 100 16 NA NA NA "antofagasta" "mp2.5"
"170" 130608 200 25 NA NA NA "antofagasta" "mp2.5"
"171" 130608 300 15 NA NA NA "antofagasta" "mp2.5"
"172" 130608 400 26 NA NA NA "antofagasta" "mp2.5"
"173" 130608 500 22 NA NA NA "antofagasta" "mp2.5"
"174" 130608 600 31 NA NA NA "antofagasta" "mp2.5"
"175" 130608 700 23 NA NA NA "antofagasta" "mp2.5"
