"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 60201 0 NA 73.6512 NA NA "punta_chungo" "mp10"
"2" 60301 0 NA 54.6273 NA NA "punta_chungo" "mp10"
"3" 60401 0 NA 68.3174 NA NA "punta_chungo" "mp10"
"4" 60501 0 NA 72.8468 NA NA "punta_chungo" "mp10"
"5" 60601 0 NA 69.8878 NA NA "punta_chungo" "mp10"
"6" 60701 0 NA 60.9462 NA NA "punta_chungo" "mp10"
"7" 60801 0 NA 48.9483 NA NA "punta_chungo" "mp10"
"8" 60901 0 NA 53.7542 NA NA "punta_chungo" "mp10"
"9" 61001 0 NA 57.2489 NA NA "punta_chungo" "mp10"
"10" 61101 0 NA 69.6052 NA NA "punta_chungo" "mp10"
"11" 61201 0 NA 61.7469 NA NA "punta_chungo" "mp10"
"12" 70101 0 NA 50.496 NA NA "punta_chungo" "mp10"
"13" 70201 0 NA 43.5598 NA NA "punta_chungo" "mp10"
"14" 70301 0 NA 47.9764 NA NA "punta_chungo" "mp10"
"15" 70401 0 NA 46.1318 NA NA "punta_chungo" "mp10"
"16" 70501 0 NA 52.6588 NA NA "punta_chungo" "mp10"
"17" 70601 0 NA 46.7809 NA NA "punta_chungo" "mp10"
"18" 70701 0 NA 39.5064 NA NA "punta_chungo" "mp10"
"19" 70801 0 NA 40.9122 NA NA "punta_chungo" "mp10"
"20" 70901 0 NA 43.7028 NA NA "punta_chungo" "mp10"
"21" 71001 0 NA 35.7703 NA NA "punta_chungo" "mp10"
"22" 71101 0 NA 31.7331 NA NA "punta_chungo" "mp10"
"23" 71201 0 NA 60.0632 NA NA "punta_chungo" "mp10"
"24" 80101 0 NA 60.8645 NA NA "punta_chungo" "mp10"
"25" 80201 0 NA 47.517 NA NA "punta_chungo" "mp10"
"26" 80301 0 NA 51.4987 NA NA "punta_chungo" "mp10"
"27" 80401 0 NA 54.7498 NA NA "punta_chungo" "mp10"
"28" 80501 0 NA 71.439 NA NA "punta_chungo" "mp10"
"29" 80601 0 NA 45.585 NA NA "punta_chungo" "mp10"
"30" 80701 0 NA 43.7718 NA NA "punta_chungo" "mp10"
"31" 80801 0 NA 44.5359 NA NA "punta_chungo" "mp10"
"32" 80901 0 NA 37.6362 NA NA "punta_chungo" "mp10"
"33" 81001 0 NA 30.6241 NA NA "punta_chungo" "mp10"
"34" 81101 0 NA 47.8409 NA NA "punta_chungo" "mp10"
"35" 81201 0 NA 30.5823 NA NA "punta_chungo" "mp10"
"36" 90101 0 NA 43.4545 NA NA "punta_chungo" "mp10"
"37" 90201 0 NA 48.25 NA NA "punta_chungo" "mp10"
"38" 90301 0 NA 38.8182 NA NA "punta_chungo" "mp10"
"39" 90401 0 NA 40.8 NA NA "punta_chungo" "mp10"
"40" 90501 0 NA 55.7 NA NA "punta_chungo" "mp10"
"41" 90601 0 NA 45.5 NA NA "punta_chungo" "mp10"
"42" 90701 0 NA 35.2727 NA NA "punta_chungo" "mp10"
"43" 90801 0 NA 51.3 NA NA "punta_chungo" "mp10"
"44" 90901 0 NA 49.2 NA NA "punta_chungo" "mp10"
"45" 91001 0 NA 52.2 NA NA "punta_chungo" "mp10"
"46" 91101 0 NA 45.3 NA NA "punta_chungo" "mp10"
"47" 91201 0 NA 38.4 NA NA "punta_chungo" "mp10"
"48" 100101 0 NA 47.6684 NA NA "punta_chungo" "mp10"
"49" 100201 0 NA 53.8584 NA NA "punta_chungo" "mp10"
"50" 100301 0 NA 49.3396 NA NA "punta_chungo" "mp10"
"51" 100401 0 NA 54.7795 NA NA "punta_chungo" "mp10"
"52" 100501 0 NA 58.2722 NA NA "punta_chungo" "mp10"
