"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 180827 100 NA NA 9 NA "21_de_mayo" "mp2.5"
"2" 180827 200 NA NA 10 NA "21_de_mayo" "mp2.5"
"3" 180827 300 NA NA 10 NA "21_de_mayo" "mp2.5"
"4" 180827 400 NA NA 11 NA "21_de_mayo" "mp2.5"
"5" 180827 500 NA NA 10 NA "21_de_mayo" "mp2.5"
"6" 180827 600 NA NA 9 NA "21_de_mayo" "mp2.5"
"7" 180827 700 NA NA 8 NA "21_de_mayo" "mp2.5"
"8" 180827 800 NA NA 8 NA "21_de_mayo" "mp2.5"
"9" 180827 900 NA NA 9 NA "21_de_mayo" "mp2.5"
"10" 180827 1000 NA NA 8 NA "21_de_mayo" "mp2.5"
"11" 180827 1100 NA NA 16 NA "21_de_mayo" "mp2.5"
"12" 180827 1200 NA NA 8 NA "21_de_mayo" "mp2.5"
"13" 180827 1300 NA NA 9 NA "21_de_mayo" "mp2.5"
"14" 180827 1400 NA NA 13 NA "21_de_mayo" "mp2.5"
"15" 180827 1500 NA NA 15 NA "21_de_mayo" "mp2.5"
"16" 180827 1600 NA NA 12 NA "21_de_mayo" "mp2.5"
"17" 180827 1700 NA NA 9 NA "21_de_mayo" "mp2.5"
"18" 180827 1800 NA NA 9 NA "21_de_mayo" "mp2.5"
"19" 180827 1900 NA NA 8 NA "21_de_mayo" "mp2.5"
"20" 180827 2000 NA NA 8 NA "21_de_mayo" "mp2.5"
"21" 180827 2100 NA NA 9 NA "21_de_mayo" "mp2.5"
"22" 180827 2200 NA NA 10 NA "21_de_mayo" "mp2.5"
"23" 180827 2300 NA NA 9 NA "21_de_mayo" "mp2.5"
"24" 180828 0 NA NA 6 NA "21_de_mayo" "mp2.5"
"25" 180828 100 NA NA 7 NA "21_de_mayo" "mp2.5"
"26" 180828 200 NA NA 7 NA "21_de_mayo" "mp2.5"
"27" 180828 300 NA NA 7 NA "21_de_mayo" "mp2.5"
"28" 180828 400 NA NA 6 NA "21_de_mayo" "mp2.5"
"29" 180828 500 NA NA 6 NA "21_de_mayo" "mp2.5"
"30" 180828 600 NA NA 7 NA "21_de_mayo" "mp2.5"
"31" 180828 700 NA NA 11 NA "21_de_mayo" "mp2.5"
"32" 180828 800 NA NA 13 NA "21_de_mayo" "mp2.5"
"33" 180828 900 NA NA 14 NA "21_de_mayo" "mp2.5"
"34" 180828 1000 NA NA 12 NA "21_de_mayo" "mp2.5"
"35" 180828 1100 NA NA 12 NA "21_de_mayo" "mp2.5"
"36" 180828 1200 NA NA 9 NA "21_de_mayo" "mp2.5"
"37" 180828 1300 NA NA 8 NA "21_de_mayo" "mp2.5"
"38" 180828 1400 NA NA 10 NA "21_de_mayo" "mp2.5"
