"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 10201 0 NA 84.0333 NA NA "EME_F" "mp10"
"2" 10301 0 NA 81.43 NA NA "EME_F" "mp10"
"3" 10401 0 NA 86.9924 NA NA "EME_F" "mp10"
"4" 10501 0 NA 55.4818 NA NA "EME_F" "mp10"
"5" 10601 0 NA 88.55 NA NA "EME_F" "mp10"
"6" 10701 0 NA 79.7099 NA NA "EME_F" "mp10"
"7" 10801 0 NA 60.01 NA NA "EME_F" "mp10"
"8" 10901 0 NA 54.2525 NA NA "EME_F" "mp10"
"9" 11001 0 NA 63.8636 NA NA "EME_F" "mp10"
"10" 11101 0 NA 87.4349 NA NA "EME_F" "mp10"
"11" 11201 0 NA 59.97 NA NA "EME_F" "mp10"
"12" 20101 0 NA 82.3089 NA NA "EME_F" "mp10"
"13" 20201 0 NA 56.1 NA NA "EME_F" "mp10"
"14" 20301 0 NA 81.5025 NA NA "EME_F" "mp10"
"15" 20401 0 NA 63.0224 NA NA "EME_F" "mp10"
"16" 20501 0 NA 44.37 NA NA "EME_F" "mp10"
"17" 20601 0 NA 52.0454 NA NA "EME_F" "mp10"
"18" 20701 0 NA 52.5 NA NA "EME_F" "mp10"
"19" 20801 0 NA 52.1625 NA NA "EME_F" "mp10"
"20" 20901 0 NA 51.1849 NA NA "EME_F" "mp10"
"21" 21001 0 NA 57.6424 NA NA "EME_F" "mp10"
"22" 21101 0 NA 63.1824 NA NA "EME_F" "mp10"
"23" 21201 0 NA 79.4024 NA NA "EME_F" "mp10"
"24" 30101 0 NA 65.0226 NA NA "EME_F" "mp10"
"25" 30201 0 NA 64.3906 NA NA "EME_F" "mp10"
"26" 30301 0 NA 60.7724 NA NA "EME_F" "mp10"
"27" 30401 0 NA 55.52 NA NA "EME_F" "mp10"
"28" 30501 0 NA 51.41 NA NA "EME_F" "mp10"
"29" 30601 0 NA 47.06 NA NA "EME_F" "mp10"
"30" 30701 0 NA 54.63 NA NA "EME_F" "mp10"
"31" 30801 0 NA 68.6049 NA NA "EME_F" "mp10"
"32" 30901 0 NA 54.92 NA NA "EME_F" "mp10"
"33" 31001 0 NA 62.9408 NA NA "EME_F" "mp10"
"34" 31101 0 NA 65.97 NA NA "EME_F" "mp10"
"35" 31201 0 NA 101.552 NA NA "EME_F" "mp10"
"36" 40101 0 NA 81.0916 NA NA "EME_F" "mp10"
"37" 40201 0 NA 70.0399 NA NA "EME_F" "mp10"
"38" 40301 0 NA 80.3749 NA NA "EME_F" "mp10"
"39" 40401 0 NA 57.3924 NA NA "EME_F" "mp10"
