"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 10401 0 NA 46.2613 NA NA "EME" "mp10"
"2" 10701 0 NA 46.9441 NA NA "EME" "mp10"
"3" 11001 0 NA 57.3427 NA NA "EME" "mp10"
"4" 20101 0 NA 51.1586 NA NA "EME" "mp10"
"5" 20401 0 NA 37.8032 NA NA "EME" "mp10"
"6" 20701 0 NA 36.9708 NA NA "EME" "mp10"
"7" 21001 0 NA 47.904 NA NA "EME" "mp10"
"8" 30101 0 NA 43.9483 NA NA "EME" "mp10"
"9" 30401 0 NA 41.4483 NA NA "EME" "mp10"
"10" 30701 0 NA 49.2637 NA NA "EME" "mp10"
"11" 31001 0 NA 49.4879 NA NA "EME" "mp10"
"12" 40101 0 NA 47.5724 NA NA "EME" "mp10"
"13" 40401 0 NA 47.6575 NA NA "EME" "mp10"
"14" 40701 0 NA 35.7 NA NA "EME" "mp10"
"15" 41001 0 NA 40.1758 NA NA "EME" "mp10"
"16" 50101 0 NA 46.6941 NA NA "EME" "mp10"
"17" 50401 0 NA 50.6685 NA NA "EME" "mp10"
"18" 50701 0 NA 44.67 NA NA "EME" "mp10"
"19" 51001 0 NA 39.7719 NA NA "EME" "mp10"
"20" 60101 0 NA 44.61 NA NA "EME" "mp10"
"21" 60401 0 NA 41.6133 NA NA "EME" "mp10"
"22" 60701 0 NA 37.1258 NA NA "EME" "mp10"
"23" 61001 0 NA 43.4653 NA NA "EME" "mp10"
"24" 70101 0 NA 42.9241 42.9241 NA "EME" "mp10"
"25" 70401 0 NA 39.6766 39.862 NA "EME" "mp10"
"26" 70701 0 NA 39.65 48.2733 NA "EME" "mp10"
"27" 71001 0 NA 41.6419 41.7066 NA "EME" "mp10"
"28" 80101 0 NA 52.2517 NA NA "EME" "mp10"
"29" 80401 0 NA 48.5475 NA NA "EME" "mp10"
"30" 80701 0 NA 46.6717 NA NA "EME" "mp10"
"31" 81001 0 NA 43.4656 42.2862 NA "EME" "mp10"
"32" 90101 0 NA 41.8 NA NA "EME" "mp10"
"33" 90401 0 NA 45.1908 NA NA "EME" "mp10"
"34" 90701 0 NA 49.304 NA NA "EME" "mp10"
"35" 91001 0 NA 47.5919 NA NA "EME" "mp10"
"36" 100101 0 NA 44.3543 NA NA "EME" "mp10"
"37" 100401 0 NA 38.5966 NA NA "EME" "mp10"
"38" 100701 0 NA 40.1387 NA NA "EME" "mp10"
"39" 101001 0 NA 41.31 NA NA "EME" "mp10"
