"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 20101 0 NA 3.77499 NA NA "SM4" "so2"
"2" 20102 0 NA 3.83749 NA NA "SM4" "so2"
"3" 20103 0 NA 2.6909 NA NA "SM4" "so2"
"4" 20104 0 NA 3.27082 NA NA "SM4" "so2"
"5" 20105 0 NA 3.72916 NA NA "SM4" "so2"
"6" 20106 0 NA 1.39167 NA NA "SM4" "so2"
"7" 20107 0 NA 3.87499 NA NA "SM4" "so2"
"8" 20108 0 NA 5.70415 NA NA "SM4" "so2"
"9" 20109 0 NA 6.27498 NA NA "SM4" "so2"
"10" 20110 0 NA 4.49165 NA NA "SM4" "so2"
"11" 20111 0 NA 10.2166 NA NA "SM4" "so2"
"12" 20112 0 NA 5.97082 NA NA "SM4" "so2"
"13" 20113 0 NA 14.8041 NA NA "SM4" "so2"
"14" 20114 0 NA 15.1916 NA NA "SM4" "so2"
"15" 20115 0 NA 7.57499 NA NA "SM4" "so2"
"16" 20116 0 NA 4.44582 NA NA "SM4" "so2"
"17" 20117 0 NA 7.57082 NA NA "SM4" "so2"
"18" 20118 0 NA 7.81665 NA NA "SM4" "so2"
"19" 20119 0 NA 5.80832 NA NA "SM4" "so2"
"20" 20120 0 NA 8.3083 NA NA "SM4" "so2"
"21" 20121 0 NA 6.63748 NA NA "SM4" "so2"
"22" 20122 0 NA 4.59999 NA NA "SM4" "so2"
"23" 20123 0 NA 14.6041 NA NA "SM4" "so2"
"24" 20124 0 NA 8.41664 NA NA "SM4" "so2"
"25" 20125 0 NA 8.21665 NA NA "SM4" "so2"
"26" 20126 0 NA 10.0833 NA NA "SM4" "so2"
"27" 20127 0 NA 22.6166 NA NA "SM4" "so2"
"28" 20128 0 NA 7.28748 NA NA "SM4" "so2"
"29" 20129 0 NA 6.46665 NA NA "SM4" "so2"
"30" 20130 0 NA 6.48748 NA NA "SM4" "so2"
"31" 20131 0 NA 35.1249 NA NA "SM4" "so2"
"32" 20201 0 NA 28.2041 NA NA "SM4" "so2"
"33" 20202 0 NA 2.42083 NA NA "SM4" "so2"
"34" 20203 0 NA 9.74582 NA NA "SM4" "so2"
"35" 20204 0 NA 5.66248 NA NA "SM4" "so2"
"36" 20205 0 NA 14.7091 NA NA "SM4" "so2"
"37" 20206 0 NA 27.9958 NA NA "SM4" "so2"
"38" 20207 0 NA 5.25416 NA NA "SM4" "so2"
"39" 20208 0 NA 5.89165 NA NA "SM4" "so2"
"40" 20209 0 NA 3.51249 NA NA "SM4" "so2"
"41" 20210 0 NA 10.1083 NA NA "SM4" "so2"
"42" 20211 0 NA 6.92498 NA NA "SM4" "so2"
"43" 20212 0 NA 19.7458 NA NA "SM4" "so2"
"44" 20213 0 NA 13.0583 NA NA "SM4" "so2"
"45" 20214 0 NA 9.82497 NA NA "SM4" "so2"
"46" 20215 0 NA 17.225 NA NA "SM4" "so2"
"47" 20216 0 NA 16.6875 NA NA "SM4" "so2"
"48" 20217 0 NA 11.1791 NA NA "SM4" "so2"
"49" 20218 0 NA 11.3292 NA NA "SM4" "so2"
"50" 20219 0 NA 8.02498 NA NA "SM4" "so2"
"51" 20220 0 NA 11.7708 NA NA "SM4" "so2"
"52" 20221 0 NA 5.71249 NA NA "SM4" "so2"
"53" 20222 0 NA 5.47916 NA NA "SM4" "so2"
"54" 20223 0 NA 13.9708 NA NA "SM4" "so2"
"55" 20224 0 NA 9.39583 NA NA "SM4" "so2"
"56" 20225 0 NA 3.26249 NA NA "SM4" "so2"
"57" 20226 0 NA 8.25832 NA NA "SM4" "so2"
"58" 20227 0 NA 12.35 NA NA "SM4" "so2"
"59" 20228 0 NA 9.14165 NA NA "SM4" "so2"
"60" 20301 0 NA 9.62081 NA NA "SM4" "so2"
"61" 20302 0 NA 7.11665 NA NA "SM4" "so2"
"62" 20303 0 NA 14.3333 NA NA "SM4" "so2"
"63" 20304 0 NA 30.5874 NA NA "SM4" "so2"
"64" 20305 0 NA 11.6208 NA NA "SM4" "so2"
"65" 20306 0 NA 11.1454 NA NA "SM4" "so2"
"66" 20307 0 NA 17.475 NA NA "SM4" "so2"
"67" 20308 0 NA 11.725 NA NA "SM4" "so2"
"68" 20309 0 NA 11.7708 NA NA "SM4" "so2"
"69" 20310 0 NA 21.7083 NA NA "SM4" "so2"
"70" 20311 0 NA 22.7666 NA NA "SM4" "so2"
"71" 20312 0 NA 16.7458 NA NA "SM4" "so2"
"72" 20313 0 NA 6.94999 NA NA "SM4" "so2"
"73" 20314 0 NA 12.1 NA NA "SM4" "so2"
"74" 20315 0 NA 14.7583 NA NA "SM4" "so2"
"75" 20316 0 NA 10.225 NA NA "SM4" "so2"
"76" 20317 0 NA 7.33332 NA NA "SM4" "so2"
"77" 20318 0 NA 5.76665 NA NA "SM4" "so2"
"78" 20319 0 NA 10.1667 NA NA "SM4" "so2"
"79" 20320 0 NA 25.5625 NA NA "SM4" "so2"
"80" 20321 0 NA 6.36665 NA NA "SM4" "so2"
"81" 20322 0 NA 11.45 NA NA "SM4" "so2"
"82" 20323 0 NA 15.1041 NA NA "SM4" "so2"
"83" 20324 0 NA 4.04166 NA NA "SM4" "so2"
"84" 20325 0 NA 11.2375 NA NA "SM4" "so2"
"85" 20326 0 NA 19.6041 NA NA "SM4" "so2"
"86" 20327 0 NA 18.35 NA NA "SM4" "so2"
"87" 20328 0 NA 6.89582 NA NA "SM4" "so2"
"88" 20329 0 NA 5.99582 NA NA "SM4" "so2"
"89" 20330 0 NA 11.95 NA NA "SM4" "so2"
"90" 20331 0 NA 18.1666 NA NA "SM4" "so2"
"91" 20401 0 NA 15.675 NA NA "SM4" "so2"
"92" 20402 0 NA 8.29998 NA NA "SM4" "so2"
"93" 20403 0 NA 8.24582 NA NA "SM4" "so2"
"94" 20404 0 NA 5.53332 NA NA "SM4" "so2"
"95" 20405 0 NA 21.3499 NA NA "SM4" "so2"
"96" 20406 0 NA 3.09583 NA NA "SM4" "so2"
"97" 20407 0 NA 12.2791 NA NA "SM4" "so2"
"98" 20408 0 NA 7.44583 NA NA "SM4" "so2"
"99" 20409 0 NA 12.0041 NA NA "SM4" "so2"
"100" 20410 0 NA 4.97271 NA NA "SM4" "so2"
"101" 20411 0 NA 16.3375 NA NA "SM4" "so2"
"102" 20412 0 NA 6.88333 NA NA "SM4" "so2"
"103" 20413 0 NA 30.725 NA NA "SM4" "so2"
"104" 20414 0 NA 7.52915 NA NA "SM4" "so2"
"105" 20415 0 NA 11.3 NA NA "SM4" "so2"
"106" 20416 0 NA 31.2666 NA NA "SM4" "so2"
"107" 20417 0 NA 8.57081 NA NA "SM4" "so2"
"108" 20418 0 NA 10.0083 NA NA "SM4" "so2"
"109" 20419 0 NA 33.4958 NA NA "SM4" "so2"
"110" 20420 0 NA 0.599998 NA NA "SM4" "so2"
"111" 20421 0 NA 7.92914 NA NA "SM4" "so2"
"112" 20422 0 NA 9.84164 NA NA "SM4" "so2"
"113" 20423 0 NA 13.4625 NA NA "SM4" "so2"
"114" 20424 0 NA 16.6041 NA NA "SM4" "so2"
"115" 20425 0 NA 17.2666 NA NA "SM4" "so2"
"116" 20426 0 NA 43.9332 NA NA "SM4" "so2"
"117" 20427 0 NA 1.2875 NA NA "SM4" "so2"
