"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 950701 0 NA 60.2083 NA NA "los_volcanes" "so2"
"2" 950702 0 NA 70.3333 NA NA "los_volcanes" "so2"
"3" 950703 0 NA 15.3333 NA NA "los_volcanes" "so2"
"4" 950704 0 NA 21.9166 NA NA "los_volcanes" "so2"
"5" 950705 0 NA 2.125 NA NA "los_volcanes" "so2"
"6" 950706 0 NA 8.74999 NA NA "los_volcanes" "so2"
"7" 950707 0 NA 5.83332 NA NA "los_volcanes" "so2"
"8" 950708 0 NA 10.4166 NA NA "los_volcanes" "so2"
"9" 950709 0 NA 24.3333 NA NA "los_volcanes" "so2"
"10" 950710 0 NA 20.75 NA NA "los_volcanes" "so2"
"11" 950711 0 NA 25.9583 NA NA "los_volcanes" "so2"
"12" 950712 0 NA 43.9999 NA NA "los_volcanes" "so2"
"13" 950713 0 NA 83.4999 NA NA "los_volcanes" "so2"
"14" 950714 0 NA 135 NA NA "los_volcanes" "so2"
"15" 950715 0 NA 143.25 NA NA "los_volcanes" "so2"
"16" 950716 0 NA 71.2915 NA NA "los_volcanes" "so2"
"17" 950717 0 NA 20.2083 NA NA "los_volcanes" "so2"
"18" 950718 0 NA 86.4998 NA NA "los_volcanes" "so2"
"19" 950719 0 NA 101.625 NA NA "los_volcanes" "so2"
"20" 950720 0 NA 83.9997 NA NA "los_volcanes" "so2"
"21" 950721 0 NA 52.7273 NA NA "los_volcanes" "so2"
"22" 950722 0 NA 79.3332 NA NA "los_volcanes" "so2"
"23" 950723 0 NA 172.458 NA NA "los_volcanes" "so2"
"24" 950724 0 NA 86.8331 NA NA "los_volcanes" "so2"
"25" 950725 0 NA 51.25 NA NA "los_volcanes" "so2"
"26" 950726 0 NA 48.7499 NA NA "los_volcanes" "so2"
"27" 950727 0 NA 43.826 NA NA "los_volcanes" "so2"
"28" 950728 0 NA 30.9583 NA NA "los_volcanes" "so2"
"29" 950729 0 NA 94.4997 NA NA "los_volcanes" "so2"
"30" 950730 0 NA 97.6249 NA NA "los_volcanes" "so2"
"31" 950731 0 NA 228.416 NA NA "los_volcanes" "so2"
"32" 950801 0 NA 66.8748 NA NA "los_volcanes" "so2"
"33" 950802 0 NA 26.8333 NA NA "los_volcanes" "so2"
"34" 950803 0 NA 32.3332 NA NA "los_volcanes" "so2"
"35" 950804 0 NA 36.2916 NA NA "los_volcanes" "so2"
"36" 950805 0 NA 267.875 NA NA "los_volcanes" "so2"
"37" 950806 0 NA 92.2498 NA NA "los_volcanes" "so2"
"38" 950807 0 NA 41.4166 NA NA "los_volcanes" "so2"
"39" 950808 0 NA 6.5 NA NA "los_volcanes" "so2"
"40" 950809 0 NA 21.1249 NA NA "los_volcanes" "so2"
"41" 950810 0 NA 5.41665 NA NA "los_volcanes" "so2"
"42" 950811 0 NA 33.25 NA NA "los_volcanes" "so2"
"43" 950812 0 NA 75.4582 NA NA "los_volcanes" "so2"
"44" 950813 0 NA 88.7082 NA NA "los_volcanes" "so2"
"45" 950814 0 NA 149.625 NA NA "los_volcanes" "so2"
"46" 950815 0 NA 56.8332 NA NA "los_volcanes" "so2"
"47" 950816 0 NA 30.3749 NA NA "los_volcanes" "so2"
"48" 950817 0 NA 97.958 NA NA "los_volcanes" "so2"
"49" 950818 0 NA 65.9166 NA NA "los_volcanes" "so2"
"50" 950819 0 NA 54.7082 NA NA "los_volcanes" "so2"
