"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 990201 0 NA NA 85.8666 NA "paipote" "mp10"
"2" 990301 0 NA NA 67.8699 NA "paipote" "mp10"
"3" 990401 0 NA NA 49.5199 NA "paipote" "mp10"
"4" 990501 0 NA NA 83.3272 NA "paipote" "mp10"
"5" 990601 0 NA NA 108.51 NA "paipote" "mp10"
"6" 990701 0 NA NA 114.655 NA "paipote" "mp10"
"7" 990801 0 NA NA 88.6818 NA "paipote" "mp10"
"8" 990901 0 NA NA NA NA "paipote" "mp10"
"9" 991001 0 NA NA 59.03 NA "paipote" "mp10"
"10" 991101 0 NA NA 58.32 NA "paipote" "mp10"
"11" 991201 0 NA NA 45.04 NA "paipote" "mp10"
"12" 101 0 NA NA 45.9076 NA "paipote" "mp10"
"13" 201 0 NA NA 52.0914 NA "paipote" "mp10"
"14" 301 0 NA NA 53.8699 NA "paipote" "mp10"
"15" 401 0 NA NA 53.3547 NA "paipote" "mp10"
"16" 501 0 NA NA 64.6323 NA "paipote" "mp10"
"17" 601 0 NA NA 65.827 NA "paipote" "mp10"
"18" 701 0 NA NA 74.3834 NA "paipote" "mp10"
"19" 801 0 NA NA 70.8164 NA "paipote" "mp10"
"20" 901 0 NA NA 66.9392 NA "paipote" "mp10"
"21" 1001 0 NA NA 61.8291 NA "paipote" "mp10"
"22" 1101 0 NA NA 56.9871 NA "paipote" "mp10"
"23" 1201 0 NA NA NA NA "paipote" "mp10"
"24" 10101 0 NA 49.18 NA NA "paipote" "mp10"
"25" 10201 0 NA 49.22 NA NA "paipote" "mp10"
"26" 10301 0 NA 51.68 NA NA "paipote" "mp10"
"27" 10401 0 NA 54.3599 NA NA "paipote" "mp10"
"28" 10501 0 NA 58.1499 NA NA "paipote" "mp10"
"29" 10601 0 NA 113.22 NA NA "paipote" "mp10"
"30" 10701 0 NA 80.9635 NA NA "paipote" "mp10"
"31" 10801 0 NA 83.2599 NA NA "paipote" "mp10"
"32" 10901 0 NA 61.1299 NA NA "paipote" "mp10"
"33" 11001 0 NA 53.2099 NA NA "paipote" "mp10"
"34" 11101 0 NA 48.17 NA NA "paipote" "mp10"
"35" 11201 0 NA 46.8818 NA NA "paipote" "mp10"
"36" 20101 0 NA 52.362 49.1749 NA "paipote" "mp10"
"37" 20201 0 NA 47.4266 49.214 NA "paipote" "mp10"
"38" 20301 0 NA 51.2491 51.6739 NA "paipote" "mp10"
"39" 20401 0 NA 58.4159 54.3569 NA "paipote" "mp10"
"40" 20501 0 NA 76.1399 58.1349 NA "paipote" "mp10"
"41" 20601 0 NA 75.2209 113.214 NA "paipote" "mp10"
"42" 20701 0 NA 86.1009 80.9699 NA "paipote" "mp10"
"43" 20801 0 NA 67.4936 83.2529 NA "paipote" "mp10"
"44" 20901 0 NA 64.9809 61.1249 NA "paipote" "mp10"
"45" 21001 0 NA 55.974 53.2089 NA "paipote" "mp10"
"46" 21101 0 NA 49.393 48.16 NA "paipote" "mp10"
"47" 21201 0 NA 45.196 47.273 NA "paipote" "mp10"
"48" 30101 0 NA 49.8427 NA NA "paipote" "mp10"
"49" 30201 0 NA 59.741 NA NA "paipote" "mp10"
"50" 30301 0 NA 53.791 NA NA "paipote" "mp10"
"51" 30401 0 NA 59.3159 NA NA "paipote" "mp10"
"52" 30501 0 NA 82.699 NA NA "paipote" "mp10"
"53" 30601 0 NA 97.8419 NA NA "paipote" "mp10"
"54" 30701 0 NA 104.8 NA NA "paipote" "mp10"
"55" 30801 0 NA 108.765 NA NA "paipote" "mp10"
"56" 30901 0 NA 81.0829 NA NA "paipote" "mp10"
"57" 31001 0 NA 59.5972 NA NA "paipote" "mp10"
"58" 31101 0 NA 51.9089 NA NA "paipote" "mp10"
"59" 31201 0 NA 63.4459 NA NA "paipote" "mp10"
"60" 40101 0 NA 58.11 NA NA "paipote" "mp10"
"61" 40201 0 NA 57.46 NA NA "paipote" "mp10"
"62" 40301 0 NA 51.36 NA NA "paipote" "mp10"
"63" 40401 0 NA 54.8399 NA NA "paipote" "mp10"
"64" 40501 0 NA 72.9727 NA NA "paipote" "mp10"
"65" 40601 0 NA 90.6899 NA NA "paipote" "mp10"
"66" 40701 0 NA 69.4899 NA NA "paipote" "mp10"
"67" 40801 0 NA 69.7999 NA NA "paipote" "mp10"
"68" 40901 0 NA 62.39 NA NA "paipote" "mp10"
"69" 41001 0 NA 54.8181 NA NA "paipote" "mp10"
"70" 41101 0 NA 47.2299 NA NA "paipote" "mp10"
"71" 41201 0 NA 55.2999 NA NA "paipote" "mp10"
"72" 50101 0 NA 48.3111 NA NA "paipote" "mp10"
"73" 50201 0 NA 41.3 NA NA "paipote" "mp10"
"74" 50301 0 NA 47.5 NA NA "paipote" "mp10"
"75" 50401 0 NA 71.43 NA NA "paipote" "mp10"
"76" 50501 0 NA 93.7399 NA NA "paipote" "mp10"
