"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 990201 0 NA NA 40.275 NA "tierra_amarilla" "mp10"
"2" 990301 0 NA NA 54.37 NA "tierra_amarilla" "mp10"
"3" 990401 0 NA NA 61.6699 NA "tierra_amarilla" "mp10"
"4" 990501 0 NA NA 64.1454 NA "tierra_amarilla" "mp10"
"5" 990601 0 NA NA 81.96 NA "tierra_amarilla" "mp10"
"6" 990701 0 NA NA 91.0332 NA "tierra_amarilla" "mp10"
"7" 990801 0 NA NA 69.5181 NA "tierra_amarilla" "mp10"
"8" 990901 0 NA NA NA NA "tierra_amarilla" "mp10"
"9" 991001 0 NA NA 38.54 NA "tierra_amarilla" "mp10"
"10" 991101 0 NA NA 45.55 NA "tierra_amarilla" "mp10"
"11" 991201 0 NA NA 45.01 NA "tierra_amarilla" "mp10"
"12" 101 0 NA NA 35.7997 NA "tierra_amarilla" "mp10"
"13" 201 0 NA NA 83.3785 NA "tierra_amarilla" "mp10"
"14" 301 0 NA NA 48.2039 NA "tierra_amarilla" "mp10"
"15" 401 0 NA NA 42.6591 NA "tierra_amarilla" "mp10"
"16" 501 0 NA NA 47.6724 NA "tierra_amarilla" "mp10"
"17" 601 0 NA NA 44.8832 NA "tierra_amarilla" "mp10"
"18" 701 0 NA NA 56.9082 NA "tierra_amarilla" "mp10"
"19" 801 0 NA NA 53.0756 NA "tierra_amarilla" "mp10"
"20" 901 0 NA NA 51.0074 NA "tierra_amarilla" "mp10"
"21" 1001 0 NA NA 46.6456 NA "tierra_amarilla" "mp10"
"22" 1101 0 NA NA 45.6231 NA "tierra_amarilla" "mp10"
"23" 1201 0 NA NA NA NA "tierra_amarilla" "mp10"
"24" 10101 0 NA 45.35 NA NA "tierra_amarilla" "mp10"
"25" 10201 0 NA 37.86 NA NA "tierra_amarilla" "mp10"
"26" 10301 0 NA 37.63 NA NA "tierra_amarilla" "mp10"
"27" 10401 0 NA 47.27 NA NA "tierra_amarilla" "mp10"
"28" 10501 0 NA 52.55 NA NA "tierra_amarilla" "mp10"
"29" 10601 0 NA 76.5299 NA NA "tierra_amarilla" "mp10"
"30" 10701 0 NA 64.6545 NA NA "tierra_amarilla" "mp10"
"31" 10801 0 NA 59.57 NA NA "tierra_amarilla" "mp10"
"32" 10901 0 NA 50.68 NA NA "tierra_amarilla" "mp10"
"33" 11001 0 NA 46.36 NA NA "tierra_amarilla" "mp10"
"34" 11101 0 NA 40.22 NA NA "tierra_amarilla" "mp10"
"35" 11201 0 NA 36.6254 NA NA "tierra_amarilla" "mp10"
"36" 20101 0 NA 40.354 45.341 NA "tierra_amarilla" "mp10"
"37" 20201 0 NA 36.9566 37.859 NA "tierra_amarilla" "mp10"
"38" 20301 0 NA 42.0945 37.631 NA "tierra_amarilla" "mp10"
"39" 20401 0 NA 39.187 47.2649 NA "tierra_amarilla" "mp10"
"40" 20501 0 NA 40.2569 52.5529 NA "tierra_amarilla" "mp10"
