"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 101 0 NA 19.6667 NA NA "compania_de_bomberos" "mp10"
"2" 201 0 NA 19 NA NA "compania_de_bomberos" "mp10"
"3" 301 0 NA 19.4 NA NA "compania_de_bomberos" "mp10"
"4" 401 0 NA 23.0909 NA NA "compania_de_bomberos" "mp10"
"5" 501 0 NA 29.6364 NA NA "compania_de_bomberos" "mp10"
"6" 601 0 NA 25.5 NA NA "compania_de_bomberos" "mp10"
"7" 701 0 NA 30.8182 NA NA "compania_de_bomberos" "mp10"
"8" 801 0 NA 34.4 NA NA "compania_de_bomberos" "mp10"
"9" 901 0 NA 29 NA NA "compania_de_bomberos" "mp10"
"10" 1001 0 NA 23.1818 NA NA "compania_de_bomberos" "mp10"
"11" 1101 0 NA 24.5 NA NA "compania_de_bomberos" "mp10"
"12" 1201 0 NA 22.2 NA NA "compania_de_bomberos" "mp10"
"13" 10101 0 NA 21.7 NA NA "compania_de_bomberos" "mp10"
"14" 10201 0 NA 24.6667 NA NA "compania_de_bomberos" "mp10"
"15" 10301 0 NA 24.4545 NA NA "compania_de_bomberos" "mp10"
"16" 10401 0 NA 19.6 NA NA "compania_de_bomberos" "mp10"
"17" 10501 0 NA 21.9 NA NA "compania_de_bomberos" "mp10"
"18" 10601 0 NA 24.7 NA NA "compania_de_bomberos" "mp10"
"19" 10701 0 NA 27.3 NA NA "compania_de_bomberos" "mp10"
"20" 10801 0 NA 25.9091 NA NA "compania_de_bomberos" "mp10"
"21" 10901 0 NA 18.9 NA NA "compania_de_bomberos" "mp10"
"22" 11001 0 NA 23.9 NA NA "compania_de_bomberos" "mp10"
"23" 11101 0 NA 19.1111 NA NA "compania_de_bomberos" "mp10"
"24" 11201 0 NA 17.18 NA NA "compania_de_bomberos" "mp10"
"25" 20101 0 NA 22.6454 NA NA "compania_de_bomberos" "mp10"
"26" 20201 0 NA 17.7444 NA NA "compania_de_bomberos" "mp10"
"27" 20301 0 NA 19.0545 NA NA "compania_de_bomberos" "mp10"
"28" 20401 0 NA 18.47 NA NA "compania_de_bomberos" "mp10"
"29" 20501 0 NA 17.95 NA NA "compania_de_bomberos" "mp10"
"30" 20601 0 NA 20.94 NA NA "compania_de_bomberos" "mp10"
"31" 20701 0 NA 23 NA NA "compania_de_bomberos" "mp10"
"32" 20801 0 NA 28.6636 NA NA "compania_de_bomberos" "mp10"
"33" 20901 0 NA 22.15 NA NA "compania_de_bomberos" "mp10"
"34" 21001 0 NA 18.4444 NA NA "compania_de_bomberos" "mp10"
"35" 21101 0 NA 27.9 NA NA "compania_de_bomberos" "mp10"
"36" 21201 0 NA 14.95 NA NA "compania_de_bomberos" "mp10"
"37" 30101 0 NA 15.38 NA NA "compania_de_bomberos" "mp10"
"38" 30201 0 NA 13.8111 NA NA "compania_de_bomberos" "mp10"
"39" 30301 0 NA 15.56 NA NA "compania_de_bomberos" "mp10"
