"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 301 100 NA NA NA NA "ferrocarriles" "so2"
"2" 301 200 NA NA NA NA "ferrocarriles" "so2"
"3" 301 300 NA NA NA NA "ferrocarriles" "so2"
"4" 301 400 NA NA NA NA "ferrocarriles" "so2"
"5" 301 500 NA NA NA NA "ferrocarriles" "so2"
"6" 301 600 NA NA NA NA "ferrocarriles" "so2"
"7" 301 700 NA NA NA NA "ferrocarriles" "so2"
"8" 301 800 NA NA NA NA "ferrocarriles" "so2"
"9" 301 900 NA NA NA NA "ferrocarriles" "so2"
"10" 301 1000 NA NA NA NA "ferrocarriles" "so2"
"11" 301 1100 NA NA NA NA "ferrocarriles" "so2"
"12" 301 1200 NA NA NA NA "ferrocarriles" "so2"
"13" 301 1300 NA NA NA NA "ferrocarriles" "so2"
"14" 301 1400 NA NA NA NA "ferrocarriles" "so2"
"15" 301 1500 NA NA NA NA "ferrocarriles" "so2"
"16" 301 1600 NA NA NA NA "ferrocarriles" "so2"
"17" 301 1700 NA NA NA NA "ferrocarriles" "so2"
"18" 301 1800 NA NA NA NA "ferrocarriles" "so2"
"19" 301 1900 NA NA NA NA "ferrocarriles" "so2"
"20" 301 2000 NA NA NA NA "ferrocarriles" "so2"
"21" 301 2100 NA NA NA NA "ferrocarriles" "so2"
"22" 301 2200 NA NA NA NA "ferrocarriles" "so2"
"23" 301 2300 NA NA NA NA "ferrocarriles" "so2"
"24" 302 0 NA NA NA NA "ferrocarriles" "so2"
"25" 302 100 NA NA NA NA "ferrocarriles" "so2"
"26" 302 200 NA NA NA NA "ferrocarriles" "so2"
"27" 302 300 NA NA NA NA "ferrocarriles" "so2"
"28" 302 400 NA NA NA NA "ferrocarriles" "so2"
"29" 302 500 NA NA NA NA "ferrocarriles" "so2"
"30" 302 600 NA NA NA NA "ferrocarriles" "so2"
"31" 302 700 NA NA NA NA "ferrocarriles" "so2"
"32" 302 800 NA NA NA NA "ferrocarriles" "so2"
"33" 302 900 NA NA NA NA "ferrocarriles" "so2"
