"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 70614 100 NA NA NA NA "paposo" "so2"
"2" 70614 200 NA NA NA NA "paposo" "so2"
"3" 70614 300 NA NA NA NA "paposo" "so2"
"4" 70614 400 NA NA NA NA "paposo" "so2"
"5" 70614 500 NA NA NA NA "paposo" "so2"
"6" 70614 600 NA NA NA NA "paposo" "so2"
"7" 70614 700 NA NA NA NA "paposo" "so2"
"8" 70614 800 NA NA NA NA "paposo" "so2"
"9" 70614 900 NA NA NA NA "paposo" "so2"
"10" 70614 1000 NA NA NA NA "paposo" "so2"
"11" 70614 1100 NA NA NA NA "paposo" "so2"
"12" 70614 1200 NA NA NA NA "paposo" "so2"
"13" 70614 1300 NA NA NA NA "paposo" "so2"
"14" 70614 1400 NA NA NA NA "paposo" "so2"
"15" 70614 1500 NA NA NA NA "paposo" "so2"
"16" 70614 1600 NA NA NA NA "paposo" "so2"
"17" 70614 1700 NA NA NA NA "paposo" "so2"
"18" 70614 1800 NA NA NA NA "paposo" "so2"
"19" 70614 1900 NA NA NA NA "paposo" "so2"
"20" 70614 2000 NA NA NA NA "paposo" "so2"
"21" 70614 2100 NA NA NA NA "paposo" "so2"
"22" 70614 2200 NA NA NA NA "paposo" "so2"
"23" 70614 2300 NA NA NA NA "paposo" "so2"
"24" 70615 0 NA NA NA NA "paposo" "so2"
"25" 70615 100 NA NA NA NA "paposo" "so2"
"26" 70615 200 NA NA NA NA "paposo" "so2"
"27" 70615 300 NA NA NA NA "paposo" "so2"
"28" 70615 400 NA NA NA NA "paposo" "so2"
"29" 70615 500 NA NA NA NA "paposo" "so2"
"30" 70615 600 NA NA NA NA "paposo" "so2"
"31" 70615 700 NA NA NA NA "paposo" "so2"
"32" 70615 800 NA NA NA NA "paposo" "so2"
"33" 70615 900 NA NA NA NA "paposo" "so2"
"34" 70615 1000 NA NA NA NA "paposo" "so2"
"35" 70615 1100 NA NA NA NA "paposo" "so2"
"36" 70615 1200 NA NA NA NA "paposo" "so2"
"37" 70615 1300 NA NA NA NA "paposo" "so2"
"38" 70615 1400 NA NA NA NA "paposo" "so2"
"39" 70615 1500 NA NA NA NA "paposo" "so2"
"40" 70615 1600 NA NA NA NA "paposo" "so2"
"41" 70615 1700 NA NA NA NA "paposo" "so2"
"42" 70615 1800 NA NA NA NA "paposo" "so2"
"43" 70615 1900 NA NA NA NA "paposo" "so2"
"44" 70615 2000 NA NA NA NA "paposo" "so2"
"45" 70615 2100 NA NA NA NA "paposo" "so2"
"46" 70615 2200 NA NA NA NA "paposo" "so2"
"47" 70615 2300 NA NA NA NA "paposo" "so2"
"48" 70616 0 NA NA NA NA "paposo" "so2"
"49" 70616 100 NA NA NA NA "paposo" "so2"
"50" 70616 200 NA NA NA NA "paposo" "so2"
"51" 70616 300 NA NA NA NA "paposo" "so2"
"52" 70616 400 NA NA NA NA "paposo" "so2"
"53" 70616 500 NA NA NA NA "paposo" "so2"
"54" 70616 600 NA NA NA NA "paposo" "so2"
"55" 70616 700 NA NA NA NA "paposo" "so2"
"56" 70616 800 NA NA NA NA "paposo" "so2"
"57" 70616 900 NA NA NA NA "paposo" "so2"
"58" 70616 1000 NA NA NA NA "paposo" "so2"
"59" 70616 1100 NA NA NA NA "paposo" "so2"
"60" 70616 1200 NA NA NA NA "paposo" "so2"
"61" 70616 1300 NA NA NA NA "paposo" "so2"
"62" 70616 1400 NA NA NA NA "paposo" "so2"
"63" 70616 1500 NA NA NA NA "paposo" "so2"
"64" 70616 1600 NA NA NA NA "paposo" "so2"
"65" 70616 1700 NA NA NA NA "paposo" "so2"
"66" 70616 1800 NA NA NA NA "paposo" "so2"
"67" 70616 1900 NA NA NA NA "paposo" "so2"
"68" 70616 2000 NA NA NA NA "paposo" "so2"
"69" 70616 2100 NA NA NA NA "paposo" "so2"
"70" 70616 2200 NA NA NA NA "paposo" "so2"
"71" 70616 2300 NA NA NA NA "paposo" "so2"
"72" 70617 0 NA NA NA NA "paposo" "so2"
"73" 70617 100 NA NA NA NA "paposo" "so2"
"74" 70617 200 NA NA NA NA "paposo" "so2"
"75" 70617 300 NA NA NA NA "paposo" "so2"
"76" 70617 400 NA NA NA NA "paposo" "so2"
"77" 70617 500 NA NA NA NA "paposo" "so2"
"78" 70617 600 NA NA NA NA "paposo" "so2"
"79" 70617 700 NA NA NA NA "paposo" "so2"
"80" 70617 800 NA NA NA NA "paposo" "so2"
"81" 70617 900 NA NA NA NA "paposo" "so2"
"82" 70617 1000 NA NA NA NA "paposo" "so2"
"83" 70617 1100 NA NA NA NA "paposo" "so2"
"84" 70617 1200 NA NA NA NA "paposo" "so2"
"85" 70617 1300 NA NA NA NA "paposo" "so2"
"86" 70617 1400 NA NA NA NA "paposo" "so2"
"87" 70617 1500 NA NA NA NA "paposo" "so2"
"88" 70617 1600 NA NA NA NA "paposo" "so2"
"89" 70617 1700 NA NA NA NA "paposo" "so2"
"90" 70617 1800 NA NA NA NA "paposo" "so2"
"91" 70617 1900 NA NA NA NA "paposo" "so2"
"92" 70617 2000 NA NA NA NA "paposo" "so2"
"93" 70617 2100 NA NA NA NA "paposo" "so2"
"94" 70617 2200 NA NA NA NA "paposo" "so2"
"95" 70617 2300 NA NA NA NA "paposo" "so2"
"96" 70618 0 NA NA NA NA "paposo" "so2"
"97" 70618 100 NA NA NA NA "paposo" "so2"
"98" 70618 200 NA NA NA NA "paposo" "so2"
"99" 70618 300 NA NA NA NA "paposo" "so2"
"100" 70618 400 NA NA NA NA "paposo" "so2"
"101" 70618 500 NA NA NA NA "paposo" "so2"
"102" 70618 600 NA NA NA NA "paposo" "so2"
"103" 70618 700 NA NA NA NA "paposo" "so2"
"104" 70618 800 NA NA NA NA "paposo" "so2"
"105" 70618 900 NA NA NA NA "paposo" "so2"
"106" 70618 1000 NA NA NA NA "paposo" "so2"
"107" 70618 1100 NA NA NA NA "paposo" "so2"
"108" 70618 1200 NA NA NA NA "paposo" "so2"
"109" 70618 1300 NA NA NA NA "paposo" "so2"
"110" 70618 1400 NA NA NA NA "paposo" "so2"
"111" 70618 1500 NA NA NA NA "paposo" "so2"
"112" 70618 1600 NA NA NA NA "paposo" "so2"
"113" 70618 1700 NA NA NA NA "paposo" "so2"
"114" 70618 1800 NA NA NA NA "paposo" "so2"
"115" 70618 1900 NA NA NA NA "paposo" "so2"
"116" 70618 2000 NA NA NA NA "paposo" "so2"
"117" 70618 2100 NA NA NA NA "paposo" "so2"
"118" 70618 2200 NA NA NA NA "paposo" "so2"
"119" 70618 2300 NA NA NA NA "paposo" "so2"
"120" 70619 0 NA NA NA NA "paposo" "so2"
"121" 70619 100 NA NA NA NA "paposo" "so2"
"122" 70619 200 NA NA NA NA "paposo" "so2"
"123" 70619 300 NA NA NA NA "paposo" "so2"
"124" 70619 400 NA NA NA NA "paposo" "so2"
"125" 70619 500 NA NA NA NA "paposo" "so2"
"126" 70619 600 NA NA NA NA "paposo" "so2"
"127" 70619 700 NA NA NA NA "paposo" "so2"
"128" 70619 800 NA NA NA NA "paposo" "so2"
"129" 70619 900 NA NA NA NA "paposo" "so2"
"130" 70619 1000 NA NA NA NA "paposo" "so2"
"131" 70619 1100 NA NA NA NA "paposo" "so2"
"132" 70619 1200 NA NA NA NA "paposo" "so2"
"133" 70619 1300 NA NA NA NA "paposo" "so2"
"134" 70619 1400 NA NA NA NA "paposo" "so2"
"135" 70619 1500 NA NA NA NA "paposo" "so2"
"136" 70619 1600 NA NA NA NA "paposo" "so2"
"137" 70619 1700 NA NA NA NA "paposo" "so2"
"138" 70619 1800 NA NA NA NA "paposo" "so2"
"139" 70619 1900 NA NA NA NA "paposo" "so2"
