"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 120911 100 NA NA 103 NA "sierra_gorda" "mp10"
"2" 120911 200 NA NA 91 NA "sierra_gorda" "mp10"
"3" 120911 300 NA NA 99 NA "sierra_gorda" "mp10"
"4" 120911 400 NA NA 63 NA "sierra_gorda" "mp10"
"5" 120911 500 NA NA 54 NA "sierra_gorda" "mp10"
"6" 120911 600 NA NA 71 NA "sierra_gorda" "mp10"
"7" 120911 700 NA NA 91 NA "sierra_gorda" "mp10"
"8" 120911 800 NA NA 67 NA "sierra_gorda" "mp10"
"9" 120911 900 NA NA 67 NA "sierra_gorda" "mp10"
"10" 120911 1000 NA NA 50 NA "sierra_gorda" "mp10"
"11" 120911 1100 NA NA 117 NA "sierra_gorda" "mp10"
"12" 120911 1200 NA NA 65 NA "sierra_gorda" "mp10"
"13" 120911 1300 NA NA 43 NA "sierra_gorda" "mp10"
"14" 120911 1400 NA NA 53 NA "sierra_gorda" "mp10"
"15" 120911 1500 NA NA 29 NA "sierra_gorda" "mp10"
"16" 120911 1600 NA NA 40 NA "sierra_gorda" "mp10"
"17" 120911 1700 NA NA 34 NA "sierra_gorda" "mp10"
"18" 120911 1800 NA NA 41 NA "sierra_gorda" "mp10"
"19" 120911 1900 NA NA 52 NA "sierra_gorda" "mp10"
"20" 120911 2000 NA NA 34 NA "sierra_gorda" "mp10"
"21" 120911 2100 NA NA 41 NA "sierra_gorda" "mp10"
"22" 120911 2200 NA NA 62 NA "sierra_gorda" "mp10"
"23" 120911 2300 NA NA 46 NA "sierra_gorda" "mp10"
"24" 120912 0 NA NA 44 NA "sierra_gorda" "mp10"
"25" 120912 100 NA NA 31 NA "sierra_gorda" "mp10"
"26" 120912 200 NA NA 32 NA "sierra_gorda" "mp10"
"27" 120912 300 NA NA 35 NA "sierra_gorda" "mp10"
"28" 120912 400 NA NA 77 NA "sierra_gorda" "mp10"
"29" 120912 500 NA NA 19 NA "sierra_gorda" "mp10"
"30" 120912 600 NA NA 64 NA "sierra_gorda" "mp10"
"31" 120912 700 NA NA 116 NA "sierra_gorda" "mp10"
"32" 120912 800 NA NA 98 NA "sierra_gorda" "mp10"
"33" 120912 900 NA NA 80 NA "sierra_gorda" "mp10"
"34" 120912 1000 NA NA 39 NA "sierra_gorda" "mp10"
"35" 120912 1100 NA NA 125 NA "sierra_gorda" "mp10"
"36" 120912 1200 NA NA 73 NA "sierra_gorda" "mp10"
"37" 120912 1300 NA NA 45 NA "sierra_gorda" "mp10"
"38" 120912 1400 NA NA 22 NA "sierra_gorda" "mp10"
"39" 120912 1500 NA NA 27 NA "sierra_gorda" "mp10"
"40" 120912 1600 NA NA 35 NA "sierra_gorda" "mp10"
"41" 120912 1700 NA NA 44 NA "sierra_gorda" "mp10"
"42" 120912 1800 NA NA 30 NA "sierra_gorda" "mp10"
"43" 120912 1900 NA NA 32 NA "sierra_gorda" "mp10"
"44" 120912 2000 NA NA 45 NA "sierra_gorda" "mp10"
"45" 120912 2100 NA NA 40 NA "sierra_gorda" "mp10"
"46" 120912 2200 NA NA 92 NA "sierra_gorda" "mp10"
"47" 120912 2300 NA NA 102 NA "sierra_gorda" "mp10"
"48" 120913 0 NA NA 114 NA "sierra_gorda" "mp10"
"49" 120913 100 NA NA 28 NA "sierra_gorda" "mp10"
"50" 120913 200 NA NA 30 NA "sierra_gorda" "mp10"
"51" 120913 300 NA NA 35 NA "sierra_gorda" "mp10"
"52" 120913 400 NA NA 68 NA "sierra_gorda" "mp10"
"53" 120913 500 NA NA 96 NA "sierra_gorda" "mp10"
"54" 120913 600 NA NA 47 NA "sierra_gorda" "mp10"
