"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 101 0 NA 38.8 NA NA "sur" "mp10"
"2" 201 0 NA 48.3333 NA NA "sur" "mp10"
"3" 301 0 NA 51.2 NA NA "sur" "mp10"
"4" 401 0 NA 51.4 NA NA "sur" "mp10"
"5" 501 0 NA 52.0909 NA NA "sur" "mp10"
"6" 601 0 NA 42.7 NA NA "sur" "mp10"
"7" 701 0 NA 56.5 NA NA "sur" "mp10"
"8" 801 0 NA 42.4 NA NA "sur" "mp10"
"9" 901 0 NA 44.4 NA NA "sur" "mp10"
"10" 1001 0 NA 43.4167 NA NA "sur" "mp10"
"11" 1101 0 NA 32.5 NA NA "sur" "mp10"
"12" 1201 0 NA 40 NA NA "sur" "mp10"
"13" 10101 0 NA 32.625 NA NA "sur" "mp10"
"14" 10201 0 NA 51.4 NA NA "sur" "mp10"
"15" 10301 0 NA 54.4 NA NA "sur" "mp10"
"16" 10401 0 NA 43.2 NA NA "sur" "mp10"
"17" 10501 0 NA 42.2222 NA NA "sur" "mp10"
"18" 10601 0 NA 43.4 NA NA "sur" "mp10"
"19" 10701 0 NA 43.8 NA NA "sur" "mp10"
"20" 10801 0 NA 49.4545 NA NA "sur" "mp10"
"21" 10901 0 NA 38.2 NA NA "sur" "mp10"
"22" 11001 0 NA 46.9 NA NA "sur" "mp10"
"23" 11101 0 NA 39.7 NA NA "sur" "mp10"
"24" 11201 0 NA 31.4545 NA NA "sur" "mp10"
"25" 20101 0 NA 47.9 NA NA "sur" "mp10"
"26" 20201 0 NA 35.4444 NA NA "sur" "mp10"
"27" 20301 0 NA 46.9091 NA NA "sur" "mp10"
"28" 20401 0 NA 44.1 NA NA "sur" "mp10"
"29" 20501 0 NA 50.8889 NA NA "sur" "mp10"
"30" 20601 0 NA 53.5 NA NA "sur" "mp10"
"31" 20701 0 NA 44.5 NA NA "sur" "mp10"
"32" 20801 0 NA 49.3636 NA NA "sur" "mp10"
"33" 20901 0 NA 45.3 NA NA "sur" "mp10"
"34" 21001 0 NA 40.7778 NA NA "sur" "mp10"
"35" 21101 0 NA 37.2 NA NA "sur" "mp10"
"36" 21201 0 NA 29.75 NA NA "sur" "mp10"
"37" 30101 0 NA 28.7 NA NA "sur" "mp10"
"38" 30201 0 NA 35 NA NA "sur" "mp10"
"39" 30301 0 NA 34.6364 NA NA "sur" "mp10"
"40" 30401 0 NA 38.4 NA NA "sur" "mp10"
"41" 30501 0 NA 37.1 NA NA "sur" "mp10"
"42" 30601 0 NA 40.1 NA NA "sur" "mp10"
"43" 30701 0 NA 37 NA NA "sur" "mp10"
"44" 30801 0 NA 44.3636 NA NA "sur" "mp10"
"45" 30901 0 NA 43.1 NA NA "sur" "mp10"
"46" 31001 0 NA 34.9 NA NA "sur" "mp10"
"47" 31101 0 NA 30.5 NA NA "sur" "mp10"
"48" 31201 0 NA 33.1 NA NA "sur" "mp10"
"49" 40101 0 NA 29 NA NA "sur" "mp10"
"50" 40201 0 NA 40.2222 NA NA "sur" "mp10"
"51" 40301 0 NA 41 NA NA "sur" "mp10"
"52" 40401 0 NA 33.2 NA NA "sur" "mp10"
"53" 40501 0 NA 43.9 NA NA "sur" "mp10"
"54" 40601 0 NA 53.5 NA NA "sur" "mp10"
"55" 40701 0 NA 31.8 NA NA "sur" "mp10"
"56" 40801 0 NA 35.0909 NA NA "sur" "mp10"
"57" 40901 0 NA 34.6 NA NA "sur" "mp10"
"58" 41001 0 NA 31.1 NA NA "sur" "mp10"
"59" 41101 0 NA 28.9 NA NA "sur" "mp10"
"60" 41201 0 NA 31.8182 NA NA "sur" "mp10"
"61" 50101 0 NA 26.9 NA NA "sur" "mp10"
"62" 50201 0 NA 36.375 NA NA "sur" "mp10"
"63" 50301 0 NA 40.9109 NA NA "sur" "mp10"
"64" 50401 0 NA 45.099 NA NA "sur" "mp10"
"65" 50501 0 NA 54.4 NA NA "sur" "mp10"
"66" 50601 0 NA 55.094 NA NA "sur" "mp10"
"67" 50701 0 NA 44.518 NA NA "sur" "mp10"
"68" 50801 0 NA 50.1845 NA NA "sur" "mp10"
"69" 50901 0 NA 45.239 NA NA "sur" "mp10"
"70" 51001 0 NA 40.224 NA NA "sur" "mp10"
"71" 51101 0 NA 37.8 NA NA "sur" "mp10"
"72" 51201 0 NA 40.711 NA NA "sur" "mp10"
"73" 60101 0 NA 41.1818 NA NA "sur" "mp10"
"74" 60201 0 NA 31.9589 NA NA "sur" "mp10"
"75" 60301 0 NA 43.1927 NA NA "sur" "mp10"
"76" 60401 0 NA 55.0259 NA NA "sur" "mp10"
"77" 60501 0 NA 56.8889 NA NA "sur" "mp10"
"78" 60601 0 NA 77 NA NA "sur" "mp10"
"79" 60701 0 NA 56.9 NA NA "sur" "mp10"
"80" 60801 0 NA 48.8182 NA NA "sur" "mp10"
"81" 60901 0 NA 47.5 NA NA "sur" "mp10"
"82" 61001 0 NA 46.5 NA NA "sur" "mp10"
"83" 61101 0 NA 36 NA NA "sur" "mp10"
"84" 61201 0 NA 33.6727 NA NA "sur" "mp10"
"85" 70101 0 NA 39.6 NA NA "sur" "mp10"
"86" 70201 0 NA 50.5556 NA NA "sur" "mp10"
"87" 70301 0 NA 49.8182 NA NA "sur" "mp10"
"88" 70401 0 NA 59.3 NA NA "sur" "mp10"
"89" 70501 0 NA 55.3 NA NA "sur" "mp10"
"90" 70601 0 NA 74.1 NA NA "sur" "mp10"
"91" 70701 0 NA 66.9 NA NA "sur" "mp10"
"92" 70801 0 NA 57.9091 NA NA "sur" "mp10"
"93" 70901 0 NA 65.5 NA NA "sur" "mp10"
"94" 71001 0 NA 59.6 NA NA "sur" "mp10"
"95" 71101 0 NA NA NA NA "sur" "mp10"
"96" 71201 0 NA NA NA NA "sur" "mp10"
"97" 80101 0 NA NA NA NA "sur" "mp10"
"98" 80201 0 NA NA NA NA "sur" "mp10"
"99" 80301 0 NA 57 NA NA "sur" "mp10"
"100" 80401 0 NA 58.8 NA NA "sur" "mp10"
"101" 80501 0 NA 91.7 NA NA "sur" "mp10"
"102" 80601 0 NA 67.8 NA NA "sur" "mp10"
"103" 80701 0 NA 93.3636 NA NA "sur" "mp10"
"104" 80801 0 NA 88.2 NA NA "sur" "mp10"
"105" 80901 0 NA 60.6 NA NA "sur" "mp10"
"106" 81001 0 NA 53.8 NA NA "sur" "mp10"
"107" 81101 0 NA 45.4 NA NA "sur" "mp10"
"108" 81201 0 NA 55.4545 NA NA "sur" "mp10"
"109" 90101 0 NA 41.9 NA NA "sur" "mp10"
"110" 90201 0 NA 49.3333 NA NA "sur" "mp10"
"111" 90301 0 NA 54.7273 NA NA "sur" "mp10"
"112" 90401 0 NA 48.6 NA NA "sur" "mp10"
"113" 90501 0 NA 54.4 NA NA "sur" "mp10"
"114" 90601 0 NA 55.6 NA NA "sur" "mp10"
"115" 90701 0 NA 52.2 NA NA "sur" "mp10"
"116" 90801 0 NA 52.6364 NA NA "sur" "mp10"
"117" 90901 0 NA 45 NA NA "sur" "mp10"
"118" 91001 0 NA 61.5 NA NA "sur" "mp10"
"119" 91101 0 NA NA NA NA "sur" "mp10"
"120" 91201 0 NA 31.9 NA NA "sur" "mp10"
