"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 60301 0 NA 50.2396 NA NA "caimanes" "mp10"
"2" 60401 0 NA 41.2897 NA NA "caimanes" "mp10"
"3" 60501 0 NA 58.8546 NA NA "caimanes" "mp10"
"4" 60601 0 NA 38.4889 NA NA "caimanes" "mp10"
"5" 60701 0 NA 27.6348 NA NA "caimanes" "mp10"
"6" 60801 0 NA 29.212 NA NA "caimanes" "mp10"
"7" 60901 0 NA 42.2202 NA NA "caimanes" "mp10"
"8" 61001 0 NA 25.3808 NA NA "caimanes" "mp10"
"9" 61101 0 NA 47.1666 NA NA "caimanes" "mp10"
"10" 61201 0 NA 50.5674 NA NA "caimanes" "mp10"
"11" 70101 0 NA 43.7339 NA NA "caimanes" "mp10"
"12" 70201 0 NA 45.3469 NA NA "caimanes" "mp10"
"13" 70301 0 NA 46.0613 NA NA "caimanes" "mp10"
"14" 70401 0 NA 37.5036 NA NA "caimanes" "mp10"
"15" 70501 0 NA 50.1875 NA NA "caimanes" "mp10"
"16" 70601 0 NA 36.6508 NA NA "caimanes" "mp10"
"17" 70701 0 NA 23.3766 NA NA "caimanes" "mp10"
"18" 70801 0 NA 31.776 NA NA "caimanes" "mp10"
"19" 70901 0 NA 35.3048 NA NA "caimanes" "mp10"
"20" 71001 0 NA 35.983 NA NA "caimanes" "mp10"
"21" 71101 0 NA 44.7 NA NA "caimanes" "mp10"
"22" 71201 0 NA 68.8215 NA NA "caimanes" "mp10"
"23" 80101 0 NA 88.4022 NA NA "caimanes" "mp10"
"24" 80201 0 NA 78.3272 NA NA "caimanes" "mp10"
"25" 80301 0 NA 71.2836 NA NA "caimanes" "mp10"
"26" 80401 0 NA 71.9436 NA NA "caimanes" "mp10"
"27" 80501 0 NA 57.6763 NA NA "caimanes" "mp10"
"28" 80601 0 NA 26.0166 NA NA "caimanes" "mp10"
"29" 80701 0 NA 38.7723 NA NA "caimanes" "mp10"
"30" 80801 0 NA 29.8541 NA NA "caimanes" "mp10"
"31" 80901 0 NA 33.8267 NA NA "caimanes" "mp10"
"32" 81001 0 NA 26.1447 NA NA "caimanes" "mp10"
"33" 81101 0 NA 44.8841 NA NA "caimanes" "mp10"
"34" 81201 0 NA 29.4643 NA NA "caimanes" "mp10"
"35" 90101 0 NA 37.6 NA NA "caimanes" "mp10"
"36" 90201 0 NA 57.2222 NA NA "caimanes" "mp10"
"37" 90301 0 NA 33.7273 NA NA "caimanes" "mp10"
"38" 90401 0 NA 49 NA NA "caimanes" "mp10"
"39" 90501 0 NA 54.6667 NA NA "caimanes" "mp10"
"40" 90601 0 NA 38.1 NA NA "caimanes" "mp10"
"41" 90701 0 NA 18.9 NA NA "caimanes" "mp10"
"42" 90801 0 NA 38.625 NA NA "caimanes" "mp10"
"43" 90901 0 NA 38.5556 NA NA "caimanes" "mp10"
"44" 91001 0 NA 51.2 NA NA "caimanes" "mp10"
"45" 91101 0 NA 42.8 NA NA "caimanes" "mp10"
"46" 91201 0 NA 43 NA NA "caimanes" "mp10"
"47" 100101 0 NA 47.6537 NA NA "caimanes" "mp10"
"48" 100201 0 NA 52.0638 NA NA "caimanes" "mp10"
"49" 100301 0 NA 49.6758 NA NA "caimanes" "mp10"
"50" 100401 0 NA 54.001 NA NA "caimanes" "mp10"
"51" 100501 0 NA 46.3017 NA NA "caimanes" "mp10"
