"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 60201 0 NA 60.2059 NA NA "camisas" "mp10"
"2" 60301 0 NA 48.3512 NA NA "camisas" "mp10"
"3" 60401 0 NA 48.9055 NA NA "camisas" "mp10"
"4" 60501 0 NA 61.3815 NA NA "camisas" "mp10"
"5" 60601 0 NA 37.9579 NA NA "camisas" "mp10"
"6" 60701 0 NA 30.9181 NA NA "camisas" "mp10"
"7" 60801 0 NA 29.9101 NA NA "camisas" "mp10"
"8" 60901 0 NA 30.2559 NA NA "camisas" "mp10"
"9" 61001 0 NA 28.3514 NA NA "camisas" "mp10"
"10" 61101 0 NA 43.8591 NA NA "camisas" "mp10"
"11" 61201 0 NA 41.9042 NA NA "camisas" "mp10"
"12" 70101 0 NA 38.8294 NA NA "camisas" "mp10"
"13" 70201 0 NA 61.2174 NA NA "camisas" "mp10"
"14" 70301 0 NA 41.0289 NA NA "camisas" "mp10"
"15" 70401 0 NA 35.3218 NA NA "camisas" "mp10"
"16" 70501 0 NA 45.354 NA NA "camisas" "mp10"
"17" 70601 0 NA 31.6576 NA NA "camisas" "mp10"
"18" 70701 0 NA 21.2619 NA NA "camisas" "mp10"
"19" 70801 0 NA 24.3886 NA NA "camisas" "mp10"
"20" 70901 0 NA 27.9209 NA NA "camisas" "mp10"
"21" 71001 0 NA 25.1407 NA NA "camisas" "mp10"
"22" 71101 0 NA 20.5166 NA NA "camisas" "mp10"
"23" 71201 0 NA 36.9351 NA NA "camisas" "mp10"
"24" 80101 0 NA 54.3477 NA NA "camisas" "mp10"
"25" 80201 0 NA 38.6686 NA NA "camisas" "mp10"
"26" 80301 0 NA 34.9615 NA NA "camisas" "mp10"
"27" 80401 0 NA 38.2737 NA NA "camisas" "mp10"
"28" 80501 0 NA 42.1673 NA NA "camisas" "mp10"
"29" 80601 0 NA 16.0676 NA NA "camisas" "mp10"
"30" 80701 0 NA 27.3311 NA NA "camisas" "mp10"
"31" 80801 0 NA 20.3888 NA NA "camisas" "mp10"
"32" 80901 0 NA 24.5647 NA NA "camisas" "mp10"
"33" 81001 0 NA 24.0195 NA NA "camisas" "mp10"
"34" 81101 0 NA 39.4382 NA NA "camisas" "mp10"
"35" 81201 0 NA 26.3316 NA NA "camisas" "mp10"
"36" 90101 0 NA 35.9 NA NA "camisas" "mp10"
"37" 90201 0 NA NA NA NA "camisas" "mp10"
"38" 90301 0 NA 34.1176 NA NA "camisas" "mp10"
"39" 90401 0 NA 42 NA NA "camisas" "mp10"
"40" 90501 0 NA 37.9 NA NA "camisas" "mp10"
"41" 90601 0 NA 29.2 NA NA "camisas" "mp10"
"42" 90701 0 NA 17 NA NA "camisas" "mp10"
"43" 90801 0 NA 36.75 NA NA "camisas" "mp10"
"44" 90901 0 NA 33.7 NA NA "camisas" "mp10"
"45" 91001 0 NA 39 NA NA "camisas" "mp10"
"46" 91101 0 NA 29.4 NA NA "camisas" "mp10"
"47" 91201 0 NA 31.5 NA NA "camisas" "mp10"
"48" 100101 0 NA 42.5899 NA NA "camisas" "mp10"
"49" 100201 0 NA 36.0939 NA NA "camisas" "mp10"
"50" 100301 0 NA 41.9485 NA NA "camisas" "mp10"
"51" 100401 0 NA 42.0112 NA NA "camisas" "mp10"
"52" 100501 0 NA 39.3428 NA NA "camisas" "mp10"
