"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 90101 0 NA 14.0333 NA NA "Las_Encinas_Temuco" "mp2.5"
"2" 90102 0 NA 12.4833 NA NA "Las_Encinas_Temuco" "mp2.5"
"3" 90103 0 NA 12.0042 NA NA "Las_Encinas_Temuco" "mp2.5"
"4" 90104 0 NA 9.23332 NA NA "Las_Encinas_Temuco" "mp2.5"
"5" 90105 0 NA 10.4 NA NA "Las_Encinas_Temuco" "mp2.5"
"6" 90106 0 NA 8.33333 NA NA "Las_Encinas_Temuco" "mp2.5"
"7" 90107 0 NA 11.9125 NA NA "Las_Encinas_Temuco" "mp2.5"
"8" 90108 0 NA 14.8625 NA NA "Las_Encinas_Temuco" "mp2.5"
"9" 90109 0 NA 13.8391 NA NA "Las_Encinas_Temuco" "mp2.5"
"10" 90110 0 NA 13.4625 NA NA "Las_Encinas_Temuco" "mp2.5"
"11" 90111 0 NA 11.8208 NA NA "Las_Encinas_Temuco" "mp2.5"
"12" 90112 0 NA 10.3667 NA NA "Las_Encinas_Temuco" "mp2.5"
"13" 90113 0 NA 13.7625 NA NA "Las_Encinas_Temuco" "mp2.5"
"14" 90114 0 NA 8.21666 NA NA "Las_Encinas_Temuco" "mp2.5"
"15" 90115 0 NA 7.425 NA NA "Las_Encinas_Temuco" "mp2.5"
"16" 90116 0 NA 12.4292 NA NA "Las_Encinas_Temuco" "mp2.5"
"17" 90117 0 NA 6.67916 NA NA "Las_Encinas_Temuco" "mp2.5"
"18" 90118 0 NA 11.4333 NA NA "Las_Encinas_Temuco" "mp2.5"
"19" 90119 0 NA 17.2666 NA NA "Las_Encinas_Temuco" "mp2.5"
"20" 90120 0 NA 15.9167 NA NA "Las_Encinas_Temuco" "mp2.5"
"21" 90121 0 NA 15.9292 NA NA "Las_Encinas_Temuco" "mp2.5"
"22" 90122 0 NA 18.4333 NA NA "Las_Encinas_Temuco" "mp2.5"
"23" 90123 0 NA NA NA NA "Las_Encinas_Temuco" "mp2.5"
"24" 90124 0 NA NA NA NA "Las_Encinas_Temuco" "mp2.5"
"25" 90125 0 NA 6.53333 NA NA "Las_Encinas_Temuco" "mp2.5"
"26" 90126 0 NA 7.35832 NA NA "Las_Encinas_Temuco" "mp2.5"
"27" 90127 0 NA 8.81248 NA NA "Las_Encinas_Temuco" "mp2.5"
"28" 90128 0 NA 9.51665 NA NA "Las_Encinas_Temuco" "mp2.5"
"29" 90129 0 NA 10.5708 NA NA "Las_Encinas_Temuco" "mp2.5"
"30" 90130 0 NA 5.82082 NA NA "Las_Encinas_Temuco" "mp2.5"
"31" 90131 0 NA 9.77498 NA NA "Las_Encinas_Temuco" "mp2.5"
"32" 90201 0 NA 9.30415 NA NA "Las_Encinas_Temuco" "mp2.5"
"33" 90202 0 NA 9.24582 NA NA "Las_Encinas_Temuco" "mp2.5"
"34" 90203 0 NA 10.125 NA NA "Las_Encinas_Temuco" "mp2.5"
"35" 90204 0 NA 8.78749 NA NA "Las_Encinas_Temuco" "mp2.5"
"36" 90205 0 NA 6.77499 NA NA "Las_Encinas_Temuco" "mp2.5"
"37" 90206 0 NA 7.24999 NA NA "Las_Encinas_Temuco" "mp2.5"
"38" 90207 0 NA 10.7041 NA NA "Las_Encinas_Temuco" "mp2.5"
"39" 90208 0 NA 8.28749 NA NA "Las_Encinas_Temuco" "mp2.5"
"40" 90209 0 NA 12.4083 NA NA "Las_Encinas_Temuco" "mp2.5"
"41" 90210 0 NA 11.8333 NA NA "Las_Encinas_Temuco" "mp2.5"
"42" 90211 0 NA 8.54999 NA NA "Las_Encinas_Temuco" "mp2.5"
"43" 90212 0 NA 10.8458 NA NA "Las_Encinas_Temuco" "mp2.5"
"44" 90213 0 NA 7.82082 NA NA "Las_Encinas_Temuco" "mp2.5"
"45" 90214 0 NA 12.6208 NA NA "Las_Encinas_Temuco" "mp2.5"
"46" 90215 0 NA 6.69999 NA NA "Las_Encinas_Temuco" "mp2.5"
"47" 90216 0 NA 8.98332 NA NA "Las_Encinas_Temuco" "mp2.5"
"48" 90217 0 NA 13.3792 NA NA "Las_Encinas_Temuco" "mp2.5"
"49" 90218 0 NA 9.00832 NA NA "Las_Encinas_Temuco" "mp2.5"
"50" 90219 0 NA 6.44582 NA NA "Las_Encinas_Temuco" "mp2.5"
"51" 90220 0 NA 7.54166 NA NA "Las_Encinas_Temuco" "mp2.5"
"52" 90221 0 NA 7.08749 NA NA "Las_Encinas_Temuco" "mp2.5"
"53" 90222 0 NA 10.275 NA NA "Las_Encinas_Temuco" "mp2.5"
"54" 90223 0 NA 10.3958 NA NA "Las_Encinas_Temuco" "mp2.5"
"55" 90224 0 NA 9.73332 NA NA "Las_Encinas_Temuco" "mp2.5"
"56" 90225 0 NA 9.97499 NA NA "Las_Encinas_Temuco" "mp2.5"
"57" 90226 0 NA 11.8833 NA NA "Las_Encinas_Temuco" "mp2.5"
"58" 90227 0 NA 13.7583 NA NA "Las_Encinas_Temuco" "mp2.5"
"59" 90228 0 NA 12.6083 NA NA "Las_Encinas_Temuco" "mp2.5"
"60" 90301 0 NA 7.81249 NA NA "Las_Encinas_Temuco" "mp2.5"
"61" 90302 0 NA 9.61665 NA NA "Las_Encinas_Temuco" "mp2.5"
"62" 90303 0 NA 11 NA NA "Las_Encinas_Temuco" "mp2.5"
"63" 90304 0 NA 11.1286 NA NA "Las_Encinas_Temuco" "mp2.5"
"64" 90305 0 NA 13.7958 NA NA "Las_Encinas_Temuco" "mp2.5"
"65" 90306 0 NA 12.925 NA NA "Las_Encinas_Temuco" "mp2.5"
"66" 90307 0 NA 19.7625 NA NA "Las_Encinas_Temuco" "mp2.5"
"67" 90308 0 NA 11.95 NA NA "Las_Encinas_Temuco" "mp2.5"
"68" 90309 0 NA 15.4375 NA NA "Las_Encinas_Temuco" "mp2.5"
"69" 90310 0 NA 14.8333 NA NA "Las_Encinas_Temuco" "mp2.5"
"70" 90311 0 NA 28.2542 NA NA "Las_Encinas_Temuco" "mp2.5"
"71" 90312 0 NA 37.6833 NA NA "Las_Encinas_Temuco" "mp2.5"
"72" 90313 0 NA 16.4833 NA NA "Las_Encinas_Temuco" "mp2.5"
"73" 90314 0 NA NA NA NA "Las_Encinas_Temuco" "mp2.5"
