"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 160422 100 54.54 NA NA NA "quilicura" "mp2.5"
"2" 160422 200 52.1299 NA NA NA "quilicura" "mp2.5"
"3" 160422 300 56.22 NA NA NA "quilicura" "mp2.5"
"4" 160422 400 46.83 NA NA NA "quilicura" "mp2.5"
"5" 160422 500 55.96 NA NA NA "quilicura" "mp2.5"
"6" 160422 600 55.24 NA NA NA "quilicura" "mp2.5"
"7" 160422 700 61.8199 NA NA NA "quilicura" "mp2.5"
"8" 160422 800 60.36 NA NA NA "quilicura" "mp2.5"
"9" 160422 900 62.5699 NA NA NA "quilicura" "mp2.5"
"10" 160422 1000 78.6598 NA NA NA "quilicura" "mp2.5"
"11" 160422 1100 70.6797 NA NA NA "quilicura" "mp2.5"
"12" 160422 1200 63.08 NA NA NA "quilicura" "mp2.5"
"13" 160422 1300 33.2 NA NA NA "quilicura" "mp2.5"
"14" 160422 1400 19.64 NA NA NA "quilicura" "mp2.5"
"15" 160422 1500 25.29 NA NA NA "quilicura" "mp2.5"
"16" 160422 1600 31.16 NA NA NA "quilicura" "mp2.5"
"17" 160422 1700 33.67 NA NA NA "quilicura" "mp2.5"
"18" 160422 1800 31.92 NA NA NA "quilicura" "mp2.5"
"19" 160422 1900 36.31 NA NA NA "quilicura" "mp2.5"
"20" 160422 2000 49 NA NA NA "quilicura" "mp2.5"
"21" 160422 2100 34.1299 NA NA NA "quilicura" "mp2.5"
"22" 160422 2200 22.81 NA NA NA "quilicura" "mp2.5"
"23" 160422 2300 16.66 NA NA NA "quilicura" "mp2.5"
"24" 160423 0 21.82 NA NA NA "quilicura" "mp2.5"
"25" 160423 100 12.25 NA NA NA "quilicura" "mp2.5"
"26" 160423 200 26 NA NA NA "quilicura" "mp2.5"
"27" 160423 300 23.05 NA NA NA "quilicura" "mp2.5"
"28" 160423 400 24.03 NA NA NA "quilicura" "mp2.5"
"29" 160423 500 21.31 NA NA NA "quilicura" "mp2.5"
"30" 160423 600 19.35 NA NA NA "quilicura" "mp2.5"
"31" 160423 700 27.7 NA NA NA "quilicura" "mp2.5"
"32" 160423 800 20.07 NA NA NA "quilicura" "mp2.5"
"33" 160423 900 4.361 NA NA NA "quilicura" "mp2.5"
"34" 160423 1000 5.848 NA NA NA "quilicura" "mp2.5"
"35" 160423 1100 3.673 NA NA NA "quilicura" "mp2.5"
"36" 160423 1200 1.232 NA NA NA "quilicura" "mp2.5"
"37" 160423 1300 2.456 NA NA NA "quilicura" "mp2.5"
"38" 160423 1400 1.235 NA NA NA "quilicura" "mp2.5"
"39" 160423 1500 0.0829997 NA NA NA "quilicura" "mp2.5"
"40" 160423 1600 1.734 NA NA NA "quilicura" "mp2.5"
"41" 160423 1700 2.703 NA NA NA "quilicura" "mp2.5"
"42" 160423 1800 6.12199 NA NA NA "quilicura" "mp2.5"
"43" 160423 1900 7.59499 NA NA NA "quilicura" "mp2.5"
"44" 160423 2000 7.334 NA NA NA "quilicura" "mp2.5"
"45" 160423 2100 14.65 NA NA NA "quilicura" "mp2.5"
"46" 160423 2200 14.14 NA NA NA "quilicura" "mp2.5"
"47" 160423 2300 10.48 NA NA NA "quilicura" "mp2.5"
"48" 160424 0 5.061 NA NA NA "quilicura" "mp2.5"
"49" 160424 100 3.118 NA NA NA "quilicura" "mp2.5"
"50" 160424 200 2.629 NA NA NA "quilicura" "mp2.5"
