"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 100106 100 NA 0.0670823 NA NA "talagante" "ch4"
"2" 100106 200 NA 0.114998 NA NA "talagante" "ch4"
"3" 100106 300 NA 0.297082 NA NA "talagante" "ch4"
"4" 100106 400 NA 0.402499 NA NA "talagante" "ch4"
"5" 100106 500 NA 0.431249 NA NA "talagante" "ch4"
"6" 100106 600 NA 0.0670823 NA NA "talagante" "ch4"
"7" 100106 700 NA 0.143748 NA NA "talagante" "ch4"
"8" 100106 800 NA 0.134165 NA NA "talagante" "ch4"
"9" 100106 900 NA 0.114998 NA NA "talagante" "ch4"
"10" 100106 1000 NA 0.0574991 NA NA "talagante" "ch4"
"11" 100106 1100 NA 0 NA NA "talagante" "ch4"
"12" 100106 1200 NA 0 NA NA "talagante" "ch4"
"13" 100106 1300 NA 0 NA NA "talagante" "ch4"
"14" 100106 1400 NA 0 NA NA "talagante" "ch4"
"15" 100106 1500 NA NA NA NA "talagante" "ch4"
"16" 100106 1600 NA NA NA NA "talagante" "ch4"
"17" 100106 1700 NA NA NA NA "talagante" "ch4"
"18" 100106 1800 NA 0 NA NA "talagante" "ch4"
"19" 100106 1900 NA 0 NA NA "talagante" "ch4"
"20" 100106 2000 NA 0 NA NA "talagante" "ch4"
"21" 100106 2100 NA 0 NA NA "talagante" "ch4"
"22" 100106 2200 NA 0 NA NA "talagante" "ch4"
"23" 100106 2300 NA 0.0383327 NA NA "talagante" "ch4"
"24" 100107 0 NA 0.0862484 NA NA "talagante" "ch4"
"25" 100107 100 NA 0.153332 NA NA "talagante" "ch4"
"26" 100107 200 NA 0.114998 NA NA "talagante" "ch4"
"27" 100107 300 NA 0.134165 NA NA "talagante" "ch4"
"28" 100107 400 NA 0.162915 NA NA "talagante" "ch4"
"29" 100107 500 NA 0.354582 NA NA "talagante" "ch4"
"30" 100107 600 NA 0.642079 NA NA "talagante" "ch4"
"31" 100107 700 NA 0.316248 NA NA "talagante" "ch4"
"32" 100107 800 NA 0.105415 NA NA "talagante" "ch4"
"33" 100107 900 NA 0.0766654 NA NA "talagante" "ch4"
"34" 100107 1000 NA 0 NA NA "talagante" "ch4"
"35" 100107 1100 NA 0 NA NA "talagante" "ch4"
"36" 100107 1200 NA 0 NA NA "talagante" "ch4"
"37" 100107 1300 NA 0 NA NA "talagante" "ch4"
"38" 100107 1400 NA NA NA NA "talagante" "ch4"
"39" 100107 1500 NA NA NA NA "talagante" "ch4"
"40" 100107 1600 NA NA NA NA "talagante" "ch4"
"41" 100107 1700 NA NA NA NA "talagante" "ch4"
"42" 100107 1800 NA NA NA NA "talagante" "ch4"
"43" 100107 1900 NA NA NA NA "talagante" "ch4"
"44" 100107 2000 NA NA NA NA "talagante" "ch4"
"45" 100107 2100 NA 0 NA NA "talagante" "ch4"
"46" 100107 2200 NA 0 NA NA "talagante" "ch4"
"47" 100107 2300 NA 0 NA NA "talagante" "ch4"
"48" 100108 0 NA 0.00958318 NA NA "talagante" "ch4"
"49" 100108 100 NA 0.0766654 NA NA "talagante" "ch4"
"50" 100108 200 NA 0.277915 NA NA "talagante" "ch4"
"51" 100108 300 NA 0.134165 NA NA "talagante" "ch4"
"52" 100108 400 NA 0.143749 NA NA "talagante" "ch4"
"53" 100108 500 NA 0.319443 NA NA "talagante" "ch4"
"54" 100108 600 NA 0.191665 NA NA "talagante" "ch4"
"55" 100108 700 NA 0.0766658 NA NA "talagante" "ch4"
"56" 100108 800 NA 0.00958318 NA NA "talagante" "ch4"
"57" 100108 900 NA 0.143748 NA NA "talagante" "ch4"
"58" 100108 1000 NA 0.229999 NA NA "talagante" "ch4"
"59" 100108 1100 NA 0.0670828 NA NA "talagante" "ch4"
"60" 100108 1200 NA 0 NA NA "talagante" "ch4"
"61" 100108 1300 NA 0 NA NA "talagante" "ch4"
"62" 100108 1400 NA NA NA NA "talagante" "ch4"
"63" 100108 1500 NA NA NA NA "talagante" "ch4"
"64" 100108 1600 NA NA NA NA "talagante" "ch4"
"65" 100108 1700 NA NA NA NA "talagante" "ch4"
"66" 100108 1800 NA NA NA NA "talagante" "ch4"
"67" 100108 1900 NA NA NA NA "talagante" "ch4"
"68" 100108 2000 NA NA NA NA "talagante" "ch4"
"69" 100108 2100 NA 0.0191664 NA NA "talagante" "ch4"
"70" 100108 2200 NA 0.0670823 NA NA "talagante" "ch4"
"71" 100108 2300 NA 0.0191664 NA NA "talagante" "ch4"
"72" 100109 0 NA 0.0574991 NA NA "talagante" "ch4"
"73" 100109 100 NA 0.0766654 NA NA "talagante" "ch4"
"74" 100109 200 NA 0.153332 NA NA "talagante" "ch4"
"75" 100109 300 NA 0.392916 NA NA "talagante" "ch4"
"76" 100109 400 NA 0.344999 NA NA "talagante" "ch4"
"77" 100109 500 NA 0.39611 NA NA "talagante" "ch4"
"78" 100109 600 NA 0.344999 NA NA "talagante" "ch4"
"79" 100109 700 NA 0.239582 NA NA "talagante" "ch4"
"80" 100109 800 NA 0.0479159 NA NA "talagante" "ch4"
"81" 100109 900 NA 0.114998 NA NA "talagante" "ch4"
"82" 100109 1000 NA 0.0766654 NA NA "talagante" "ch4"
"83" 100109 1100 NA 0 NA NA "talagante" "ch4"
"84" 100109 1200 NA 0 NA NA "talagante" "ch4"
"85" 100109 1300 NA 0 NA NA "talagante" "ch4"
"86" 100109 1400 NA NA NA NA "talagante" "ch4"
"87" 100109 1500 NA NA NA NA "talagante" "ch4"
"88" 100109 1600 NA NA NA NA "talagante" "ch4"
"89" 100109 1700 NA NA NA NA "talagante" "ch4"
"90" 100109 1800 NA NA NA NA "talagante" "ch4"
"91" 100109 1900 NA NA NA NA "talagante" "ch4"
"92" 100109 2000 NA NA NA NA "talagante" "ch4"
"93" 100109 2100 NA 0 NA NA "talagante" "ch4"
"94" 100109 2200 NA 0.00958318 NA NA "talagante" "ch4"
"95" 100109 2300 NA 0.0479159 NA NA "talagante" "ch4"
"96" 100110 0 NA 0.0862484 NA NA "talagante" "ch4"
"97" 100110 100 NA 0.201248 NA NA "talagante" "ch4"
"98" 100110 200 NA 0.220415 NA NA "talagante" "ch4"
"99" 100110 300 NA 0.114998 NA NA "talagante" "ch4"
"100" 100110 400 NA 0.277915 NA NA "talagante" "ch4"
"101" 100110 500 NA 0.268332 NA NA "talagante" "ch4"
"102" 100110 600 NA 0.229999 NA NA "talagante" "ch4"
"103" 100110 700 NA 0.210832 NA NA "talagante" "ch4"
"104" 100110 800 NA 0.114998 NA NA "talagante" "ch4"
"105" 100110 900 NA 0.182082 NA NA "talagante" "ch4"
"106" 100110 1000 NA 0.0574995 NA NA "talagante" "ch4"
"107" 100110 1100 NA 0 NA NA "talagante" "ch4"
"108" 100110 1200 NA 0 NA NA "talagante" "ch4"
"109" 100110 1300 NA NA NA NA "talagante" "ch4"
"110" 100110 1400 NA NA NA NA "talagante" "ch4"
"111" 100110 1500 NA NA NA NA "talagante" "ch4"
"112" 100110 1600 NA NA NA NA "talagante" "ch4"
"113" 100110 1700 NA NA NA NA "talagante" "ch4"
"114" 100110 1800 NA NA NA NA "talagante" "ch4"
"115" 100110 1900 NA NA NA NA "talagante" "ch4"
"116" 100110 2000 NA NA NA NA "talagante" "ch4"
"117" 100110 2100 NA NA NA NA "talagante" "ch4"
"118" 100110 2200 NA 0 NA NA "talagante" "ch4"
"119" 100110 2300 NA 0.0287496 NA NA "talagante" "ch4"
"120" 100111 0 NA 0.00958318 NA NA "talagante" "ch4"
"121" 100111 100 NA 0.0574991 NA NA "talagante" "ch4"
"122" 100111 200 NA 0.124582 NA NA "talagante" "ch4"
"123" 100111 300 NA 0.335415 NA NA "talagante" "ch4"
"124" 100111 400 NA 0.344999 NA NA "talagante" "ch4"
"125" 100111 500 NA 0.178887 NA NA "talagante" "ch4"
"126" 100111 600 NA 0.0383327 NA NA "talagante" "ch4"
"127" 100111 700 NA 0 NA NA "talagante" "ch4"
"128" 100111 800 NA NA NA NA "talagante" "ch4"
"129" 100111 900 NA NA NA NA "talagante" "ch4"
"130" 100111 1000 NA NA NA NA "talagante" "ch4"
"131" 100111 1100 NA NA NA NA "talagante" "ch4"
"132" 100111 1200 NA NA NA NA "talagante" "ch4"
"133" 100111 1300 NA NA NA NA "talagante" "ch4"
"134" 100111 1400 NA NA NA NA "talagante" "ch4"
"135" 100111 1500 NA NA NA NA "talagante" "ch4"
"136" 100111 1600 NA NA NA NA "talagante" "ch4"
"137" 100111 1700 NA NA NA NA "talagante" "ch4"
"138" 100111 1800 NA NA NA NA "talagante" "ch4"
"139" 100111 1900 NA NA NA NA "talagante" "ch4"
"140" 100111 2000 NA NA NA NA "talagante" "ch4"
"141" 100111 2100 NA NA NA NA "talagante" "ch4"
"142" 100111 2200 NA NA NA NA "talagante" "ch4"
"143" 100111 2300 NA NA NA NA "talagante" "ch4"
"144" 100112 0 NA NA NA NA "talagante" "ch4"
"145" 100112 100 NA NA NA NA "talagante" "ch4"
"146" 100112 200 NA NA NA NA "talagante" "ch4"
"147" 100112 300 NA NA NA NA "talagante" "ch4"
"148" 100112 400 NA NA NA NA "talagante" "ch4"
"149" 100112 500 NA NA NA NA "talagante" "ch4"
"150" 100112 600 NA NA NA NA "talagante" "ch4"
"151" 100112 700 NA NA NA NA "talagante" "ch4"
"152" 100112 800 NA NA NA NA "talagante" "ch4"
