"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 130101 0 NA NA NA NA "Balneario_Curanilahue" "mp10"
"2" 130102 0 NA NA NA NA "Balneario_Curanilahue" "mp10"
"3" 130103 0 NA NA NA NA "Balneario_Curanilahue" "mp10"
"4" 130104 0 NA NA NA NA "Balneario_Curanilahue" "mp10"
"5" 130105 0 NA NA NA NA "Balneario_Curanilahue" "mp10"
"6" 130106 0 NA NA NA NA "Balneario_Curanilahue" "mp10"
"7" 130107 0 NA NA NA NA "Balneario_Curanilahue" "mp10"
"8" 130108 0 NA NA NA NA "Balneario_Curanilahue" "mp10"
"9" 130109 0 NA 33.1894 NA NA "Balneario_Curanilahue" "mp10"
"10" 130110 0 NA 32.5684 NA NA "Balneario_Curanilahue" "mp10"
"11" 130111 0 NA NA NA NA "Balneario_Curanilahue" "mp10"
"12" 130112 0 NA 28.8589 NA NA "Balneario_Curanilahue" "mp10"
"13" 130113 0 NA NA NA NA "Balneario_Curanilahue" "mp10"
"14" 130114 0 NA NA NA NA "Balneario_Curanilahue" "mp10"
"15" 130115 0 NA NA NA NA "Balneario_Curanilahue" "mp10"
"16" 130116 0 NA NA NA NA "Balneario_Curanilahue" "mp10"
"17" 130117 0 NA NA NA NA "Balneario_Curanilahue" "mp10"
"18" 130118 0 NA NA NA NA "Balneario_Curanilahue" "mp10"
"19" 130119 0 NA NA NA NA "Balneario_Curanilahue" "mp10"
"20" 130120 0 NA NA NA NA "Balneario_Curanilahue" "mp10"
"21" 130121 0 NA NA NA NA "Balneario_Curanilahue" "mp10"
"22" 130122 0 NA NA NA NA "Balneario_Curanilahue" "mp10"
"23" 130123 0 NA NA NA NA "Balneario_Curanilahue" "mp10"
"24" 130124 0 NA NA NA NA "Balneario_Curanilahue" "mp10"
"25" 130125 0 NA NA NA NA "Balneario_Curanilahue" "mp10"
"26" 130126 0 NA NA NA NA "Balneario_Curanilahue" "mp10"
"27" 130127 0 NA 31.3798 NA NA "Balneario_Curanilahue" "mp10"
"28" 130128 0 NA 36.0625 NA NA "Balneario_Curanilahue" "mp10"
"29" 130129 0 NA 23.5437 NA NA "Balneario_Curanilahue" "mp10"
"30" 130130 0 NA 29.5863 NA NA "Balneario_Curanilahue" "mp10"
"31" 130131 0 NA 49.8665 NA NA "Balneario_Curanilahue" "mp10"
"32" 130201 0 NA 28.8636 NA NA "Balneario_Curanilahue" "mp10"
"33" 130202 0 NA 17.3189 NA NA "Balneario_Curanilahue" "mp10"
"34" 130203 0 NA 41.387 NA NA "Balneario_Curanilahue" "mp10"
"35" 130204 0 NA 60.2347 NA NA "Balneario_Curanilahue" "mp10"
"36" 130205 0 NA 65.4294 NA NA "Balneario_Curanilahue" "mp10"
"37" 130206 0 NA 65.511 NA NA "Balneario_Curanilahue" "mp10"
"38" 130207 0 NA 30.8466 NA NA "Balneario_Curanilahue" "mp10"
"39" 130208 0 NA 41.8121 NA NA "Balneario_Curanilahue" "mp10"
"40" 130209 0 NA 61.4809 NA NA "Balneario_Curanilahue" "mp10"
"41" 130210 0 NA 61.1919 NA NA "Balneario_Curanilahue" "mp10"
"42" 130211 0 NA 31.7704 NA NA "Balneario_Curanilahue" "mp10"
"43" 130212 0 NA 23.9641 NA NA "Balneario_Curanilahue" "mp10"
"44" 130213 0 NA 31.6844 NA NA "Balneario_Curanilahue" "mp10"
"45" 130214 0 NA 31.4346 NA NA "Balneario_Curanilahue" "mp10"
"46" 130215 0 NA 68.2231 NA NA "Balneario_Curanilahue" "mp10"
"47" 130216 0 NA 15.302 NA NA "Balneario_Curanilahue" "mp10"
"48" 130217 0 NA 23.103 NA NA "Balneario_Curanilahue" "mp10"
"49" 130218 0 NA 12.2132 NA NA "Balneario_Curanilahue" "mp10"
"50" 130219 0 NA 44.9665 NA NA "Balneario_Curanilahue" "mp10"
"51" 130220 0 NA 50.0624 NA NA "Balneario_Curanilahue" "mp10"
"52" 130221 0 NA 67.2985 NA NA "Balneario_Curanilahue" "mp10"
"53" 130222 0 NA 43.3797 NA NA "Balneario_Curanilahue" "mp10"
"54" 130223 0 NA 6.5724 NA NA "Balneario_Curanilahue" "mp10"
"55" 130224 0 NA 15.5832 NA NA "Balneario_Curanilahue" "mp10"
"56" 130225 0 NA 25.5441 NA NA "Balneario_Curanilahue" "mp10"
"57" 130226 0 NA 16.4002 NA NA "Balneario_Curanilahue" "mp10"
"58" 130227 0 NA 19.7299 NA NA "Balneario_Curanilahue" "mp10"
