"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 160506 100 NA NA 33.1917 NA "Bocatoma" "mp2.5"
"2" 160506 200 NA NA 28.2625 NA "Bocatoma" "mp2.5"
"3" 160506 300 NA NA 21.4983 NA "Bocatoma" "mp2.5"
"4" 160506 400 NA NA 22.4491 NA "Bocatoma" "mp2.5"
"5" 160506 500 NA NA 25.6058 NA "Bocatoma" "mp2.5"
"6" 160506 600 NA NA 26.3516 NA "Bocatoma" "mp2.5"
"7" 160506 700 NA NA 24.9016 NA "Bocatoma" "mp2.5"
"8" 160506 800 NA NA 24.25 NA "Bocatoma" "mp2.5"
"9" 160506 900 NA NA 21.7525 NA "Bocatoma" "mp2.5"
"10" 160506 1000 NA NA 20.4083 NA "Bocatoma" "mp2.5"
"11" 160506 1100 NA NA 16.9275 NA "Bocatoma" "mp2.5"
"12" 160506 1200 NA NA 13.4716 NA "Bocatoma" "mp2.5"
"13" 160506 1300 NA NA 9.19008 NA "Bocatoma" "mp2.5"
"14" 160506 1400 NA NA 3.85558 NA "Bocatoma" "mp2.5"
"15" 160506 1500 NA NA 2.64008 NA "Bocatoma" "mp2.5"
"16" 160506 1600 NA NA 4.13125 NA "Bocatoma" "mp2.5"
"17" 160506 1700 NA NA 2.85333 NA "Bocatoma" "mp2.5"
"18" 160506 1800 NA NA 2.08484 NA "Bocatoma" "mp2.5"
"19" 160506 1900 NA NA 3.8975 NA "Bocatoma" "mp2.5"
"20" 160506 2000 NA NA 3.44841 NA "Bocatoma" "mp2.5"
"21" 160506 2100 NA NA 17.0135 NA "Bocatoma" "mp2.5"
"22" 160506 2200 NA NA 17.3966 NA "Bocatoma" "mp2.5"
"23" 160506 2300 NA NA 19.6316 NA "Bocatoma" "mp2.5"
"24" 160507 0 NA NA 34.055 NA "Bocatoma" "mp2.5"
"25" 160507 100 NA NA 19.135 NA "Bocatoma" "mp2.5"
"26" 160507 200 NA NA 9.11249 NA "Bocatoma" "mp2.5"
"27" 160507 300 NA NA 11.4183 NA "Bocatoma" "mp2.5"
"28" 160507 400 NA NA 9.46483 NA "Bocatoma" "mp2.5"
"29" 160507 500 NA NA 13.5375 NA "Bocatoma" "mp2.5"
"30" 160507 600 NA NA 17.3508 NA "Bocatoma" "mp2.5"
"31" 160507 700 NA NA 14.2266 NA "Bocatoma" "mp2.5"
"32" 160507 800 NA NA 18.9508 NA "Bocatoma" "mp2.5"
"33" 160507 900 NA NA 31.6466 NA "Bocatoma" "mp2.5"
"34" 160507 1000 NA NA 37.4117 NA "Bocatoma" "mp2.5"
"35" 160507 1100 NA NA 17.1856 NA "Bocatoma" "mp2.5"
"36" 160507 1200 NA NA 3.96616 NA "Bocatoma" "mp2.5"
"37" 160507 1300 NA NA 3.749 NA "Bocatoma" "mp2.5"
"38" 160507 1400 NA NA 3.09501 NA "Bocatoma" "mp2.5"
"39" 160507 1500 NA NA 2.65458 NA "Bocatoma" "mp2.5"
"40" 160507 1600 NA NA 1.09883 NA "Bocatoma" "mp2.5"
"41" 160507 1700 NA NA 2.17083 NA "Bocatoma" "mp2.5"
"42" 160507 1800 NA NA 2.58434 NA "Bocatoma" "mp2.5"
"43" 160507 1900 NA NA 11.5779 NA "Bocatoma" "mp2.5"
"44" 160507 2000 NA NA 8.41125 NA "Bocatoma" "mp2.5"
"45" 160507 2100 NA NA 17.9119 NA "Bocatoma" "mp2.5"
"46" 160507 2200 NA NA 110.987 NA "Bocatoma" "mp2.5"
"47" 160507 2300 NA NA 118.917 NA "Bocatoma" "mp2.5"
"48" 160508 0 NA NA 73.9983 NA "Bocatoma" "mp2.5"
"49" 160508 100 NA NA 61.5516 NA "Bocatoma" "mp2.5"
"50" 160508 200 NA NA 42.6058 NA "Bocatoma" "mp2.5"
"51" 160508 300 NA NA 30.8116 NA "Bocatoma" "mp2.5"
"52" 160508 400 NA NA 27.915 NA "Bocatoma" "mp2.5"
"53" 160508 500 NA NA 24.5241 NA "Bocatoma" "mp2.5"
"54" 160508 600 NA NA 21.3658 NA "Bocatoma" "mp2.5"
"55" 160508 700 NA NA 16.1425 NA "Bocatoma" "mp2.5"
"56" 160508 800 NA NA 13.5525 NA "Bocatoma" "mp2.5"
"57" 160508 900 NA NA 15.525 NA "Bocatoma" "mp2.5"
"58" 160508 1000 NA NA 23.3975 NA "Bocatoma" "mp2.5"
"59" 160508 1100 NA NA 13.2309 NA "Bocatoma" "mp2.5"
"60" 160508 1200 NA NA 3.29533 NA "Bocatoma" "mp2.5"
"61" 160508 1300 NA NA 4.13667 NA "Bocatoma" "mp2.5"
"62" 160508 1400 NA NA 3.54641 NA "Bocatoma" "mp2.5"
"63" 160508 1500 NA NA 1.72983 NA "Bocatoma" "mp2.5"
"64" 160508 1600 NA NA 0.988085 NA "Bocatoma" "mp2.5"
"65" 160508 1700 NA NA 2.0265 NA "Bocatoma" "mp2.5"
"66" 160508 1800 NA NA 3.85766 NA "Bocatoma" "mp2.5"
"67" 160508 1900 NA NA 14.115 NA "Bocatoma" "mp2.5"
"68" 160508 2000 NA NA 8.81358 NA "Bocatoma" "mp2.5"
"69" 160508 2100 NA NA 53.7206 NA "Bocatoma" "mp2.5"
"70" 160508 2200 NA NA 99.5 NA "Bocatoma" "mp2.5"
"71" 160508 2300 NA NA 60.8292 NA "Bocatoma" "mp2.5"
"72" 160509 0 NA NA 20.725 NA "Bocatoma" "mp2.5"
"73" 160509 100 NA NA 19.4091 NA "Bocatoma" "mp2.5"
"74" 160509 200 NA NA 18.0333 NA "Bocatoma" "mp2.5"
"75" 160509 300 NA NA 15.6116 NA "Bocatoma" "mp2.5"
"76" 160509 400 NA NA 16.4341 NA "Bocatoma" "mp2.5"
"77" 160509 500 NA NA 15.1116 NA "Bocatoma" "mp2.5"
"78" 160509 600 NA NA 10.175 NA "Bocatoma" "mp2.5"
"79" 160509 700 NA NA 7.67699 NA "Bocatoma" "mp2.5"
"80" 160509 800 NA NA 8.03792 NA "Bocatoma" "mp2.5"
"81" 160509 900 NA NA 9.01416 NA "Bocatoma" "mp2.5"
