"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 190325 100 NA NA 1.125 NA "Club_de_Empleados" "no"
"2" 190325 200 NA NA 0.085 NA "Club_de_Empleados" "no"
"3" 190325 300 NA NA 65.8101 NA "Club_de_Empleados" "no"
"4" 190325 400 NA NA 285 NA "Club_de_Empleados" "no"
"5" 190325 500 NA NA 9.52 NA "Club_de_Empleados" "no"
"6" 190325 600 NA NA 13.95 NA "Club_de_Empleados" "no"
"7" 190325 700 NA NA 10.45 NA "Club_de_Empleados" "no"
"8" 190325 800 NA NA 5.367 NA "Club_de_Empleados" "no"
"9" 190325 900 NA NA 1.926 NA "Club_de_Empleados" "no"
"10" 190325 1000 NA NA 1.843 NA "Club_de_Empleados" "no"
"11" 190325 1100 NA NA 1.566 NA "Club_de_Empleados" "no"
"12" 190325 1200 NA NA 1.567 NA "Club_de_Empleados" "no"
"13" 190325 1300 NA NA 1.162 NA "Club_de_Empleados" "no"
"14" 190325 1400 NA NA 1.298 NA "Club_de_Empleados" "no"
"15" 190325 1500 NA NA 4.79 NA "Club_de_Empleados" "no"
"16" 190325 1600 NA NA 2.772 NA "Club_de_Empleados" "no"
"17" 190325 1700 NA NA 1.766 NA "Club_de_Empleados" "no"
"18" 190325 1800 NA NA 1.56 NA "Club_de_Empleados" "no"
"19" 190325 1900 NA NA 15.52 NA "Club_de_Empleados" "no"
"20" 190325 2000 NA NA 18.46 NA "Club_de_Empleados" "no"
"21" 190325 2100 NA NA 9.8 NA "Club_de_Empleados" "no"
"22" 190325 2200 NA NA 8.78 NA "Club_de_Empleados" "no"
"23" 190325 2300 NA NA 3.366 NA "Club_de_Empleados" "no"
"24" 190326 0 NA NA 2.956 NA "Club_de_Empleados" "no"
"25" 190326 100 NA NA 2.358 NA "Club_de_Empleados" "no"
"26" 190326 200 NA NA 0.577 NA "Club_de_Empleados" "no"
"27" 190326 300 NA NA 2.848 NA "Club_de_Empleados" "no"
"28" 190326 400 NA NA 2.42 NA "Club_de_Empleados" "no"
"29" 190326 500 NA NA 8.8 NA "Club_de_Empleados" "no"
"30" 190326 600 NA NA 36.69 NA "Club_de_Empleados" "no"
"31" 190326 700 NA NA 71.48 NA "Club_de_Empleados" "no"
"32" 190326 800 NA NA 22.99 NA "Club_de_Empleados" "no"
"33" 190326 900 NA NA 7.135 NA "Club_de_Empleados" "no"
"34" 190326 1000 NA NA 1.398 NA "Club_de_Empleados" "no"
"35" 190326 1100 NA NA 1.07 NA "Club_de_Empleados" "no"
