"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 161126 100 NA 1 NA NA "Hualqui" "mp2.5"
"2" 161126 200 NA NA 1.878 NA "Hualqui" "mp2.5"
"3" 161126 300 NA NA 4.68 NA "Hualqui" "mp2.5"
"4" 161126 400 NA NA 2.159 NA "Hualqui" "mp2.5"
"5" 161126 500 NA NA 2.375 NA "Hualqui" "mp2.5"
"6" 161126 600 NA NA 3.725 NA "Hualqui" "mp2.5"
"7" 161126 700 NA NA 7.465 NA "Hualqui" "mp2.5"
"8" 161126 800 NA NA 5.818 NA "Hualqui" "mp2.5"
"9" 161126 900 NA NA 6.735 NA "Hualqui" "mp2.5"
"10" 161126 1000 NA NA 4.074 NA "Hualqui" "mp2.5"
"11" 161126 1100 NA NA 5.112 NA "Hualqui" "mp2.5"
"12" 161126 1200 NA NA 5.403 NA "Hualqui" "mp2.5"
"13" 161126 1300 NA 1 NA NA "Hualqui" "mp2.5"
"14" 161126 1400 NA NA 4.059 NA "Hualqui" "mp2.5"
"15" 161126 1500 NA NA 6.059 NA "Hualqui" "mp2.5"
"16" 161126 1600 NA NA 3.222 NA "Hualqui" "mp2.5"
"17" 161126 1700 NA NA 3.906 NA "Hualqui" "mp2.5"
"18" 161126 1800 NA NA 3.894 NA "Hualqui" "mp2.5"
"19" 161126 1900 NA NA 4.291 NA "Hualqui" "mp2.5"
"20" 161126 2000 NA NA 3.822 NA "Hualqui" "mp2.5"
"21" 161126 2100 NA NA 5.375 NA "Hualqui" "mp2.5"
"22" 161126 2200 NA NA 11.33 NA "Hualqui" "mp2.5"
"23" 161126 2300 NA NA 12.39 NA "Hualqui" "mp2.5"
"24" 161127 0 NA NA 14.72 NA "Hualqui" "mp2.5"
"25" 161127 100 NA NA 10.45 NA "Hualqui" "mp2.5"
"26" 161127 200 NA NA 10.97 NA "Hualqui" "mp2.5"
"27" 161127 300 NA NA 8.94 NA "Hualqui" "mp2.5"
"28" 161127 400 NA NA 4.848 NA "Hualqui" "mp2.5"
"29" 161127 500 NA NA 7.143 NA "Hualqui" "mp2.5"
"30" 161127 600 NA NA 3.997 NA "Hualqui" "mp2.5"
"31" 161127 700 NA NA 5.291 NA "Hualqui" "mp2.5"
"32" 161127 800 NA 1 NA NA "Hualqui" "mp2.5"
"33" 161127 900 NA 1 NA NA "Hualqui" "mp2.5"
"34" 161127 1000 NA NA 1.326 NA "Hualqui" "mp2.5"
"35" 161127 1100 NA 1 NA NA "Hualqui" "mp2.5"
"36" 161127 1200 NA 1 NA NA "Hualqui" "mp2.5"
"37" 161127 1300 NA NA 1.17 NA "Hualqui" "mp2.5"
"38" 161127 1400 NA NA 2.352 NA "Hualqui" "mp2.5"
"39" 161127 1500 NA NA 1.175 NA "Hualqui" "mp2.5"
"40" 161127 1600 NA NA 1.838 NA "Hualqui" "mp2.5"
"41" 161127 1700 NA NA 1.589 NA "Hualqui" "mp2.5"
"42" 161127 1800 NA NA 5.181 NA "Hualqui" "mp2.5"
"43" 161127 1900 NA NA 6.851 NA "Hualqui" "mp2.5"
"44" 161127 2000 NA NA 7.921 NA "Hualqui" "mp2.5"
"45" 161127 2100 NA NA 12.18 NA "Hualqui" "mp2.5"
"46" 161127 2200 NA NA 14.16 NA "Hualqui" "mp2.5"
"47" 161127 2300 NA NA 20.04 NA "Hualqui" "mp2.5"
"48" 161128 0 NA NA 8.97 NA "Hualqui" "mp2.5"
"49" 161128 100 NA NA 11.08 NA "Hualqui" "mp2.5"
"50" 161128 200 NA NA 7.584 NA "Hualqui" "mp2.5"
"51" 161128 300 NA NA 6.862 NA "Hualqui" "mp2.5"
"52" 161128 400 NA NA 6.347 NA "Hualqui" "mp2.5"
"53" 161128 500 NA NA 5.275 NA "Hualqui" "mp2.5"
"54" 161128 600 NA NA 2.346 NA "Hualqui" "mp2.5"
"55" 161128 700 NA NA 7.202 NA "Hualqui" "mp2.5"
"56" 161128 800 NA 1 NA NA "Hualqui" "mp2.5"
"57" 161128 900 NA 1 NA NA "Hualqui" "mp2.5"
"58" 161128 1000 NA 1 NA NA "Hualqui" "mp2.5"
"59" 161128 1100 NA 1 NA NA "Hualqui" "mp2.5"
"60" 161128 1200 NA 1 NA NA "Hualqui" "mp2.5"
"61" 161128 1300 NA 1 NA NA "Hualqui" "mp2.5"
"62" 161128 1400 NA 1 NA NA "Hualqui" "mp2.5"
"63" 161128 1500 NA NA 3.306 NA "Hualqui" "mp2.5"
"64" 161128 1600 NA NA 13.56 NA "Hualqui" "mp2.5"
"65" 161128 1700 NA NA 13.87 NA "Hualqui" "mp2.5"
"66" 161128 1800 NA NA 9.22 NA "Hualqui" "mp2.5"
"67" 161128 1900 NA NA 5.177 NA "Hualqui" "mp2.5"
"68" 161128 2000 NA NA 2.168 NA "Hualqui" "mp2.5"
"69" 161128 2100 NA NA 11.55 NA "Hualqui" "mp2.5"
"70" 161128 2200 NA NA 19.35 NA "Hualqui" "mp2.5"
"71" 161128 2300 NA NA 17.16 NA "Hualqui" "mp2.5"
