"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 90107 100 NA 0.15 NA NA "INIA_Chillan" "co"
"2" 90107 200 NA 0.14 NA NA "INIA_Chillan" "co"
"3" 90107 300 NA 0.14 NA NA "INIA_Chillan" "co"
"4" 90107 400 NA 0.14 NA NA "INIA_Chillan" "co"
"5" 90107 500 NA 0.14 NA NA "INIA_Chillan" "co"
"6" 90107 600 NA 0.14 NA NA "INIA_Chillan" "co"
"7" 90107 700 NA 0.16 NA NA "INIA_Chillan" "co"
"8" 90107 800 NA 0.17 NA NA "INIA_Chillan" "co"
"9" 90107 900 NA 0.17 NA NA "INIA_Chillan" "co"
"10" 90107 1000 NA 0.16 NA NA "INIA_Chillan" "co"
"11" 90107 1100 NA 0.15 NA NA "INIA_Chillan" "co"
"12" 90107 1200 NA 0.15 NA NA "INIA_Chillan" "co"
"13" 90107 1300 NA 0.13 NA NA "INIA_Chillan" "co"
"14" 90107 1400 NA 0.13 NA NA "INIA_Chillan" "co"
"15" 90107 1500 NA 0.12 NA NA "INIA_Chillan" "co"
"16" 90107 1600 NA 0.11 NA NA "INIA_Chillan" "co"
"17" 90107 1700 NA 0.11 NA NA "INIA_Chillan" "co"
"18" 90107 1800 NA 0.13 NA NA "INIA_Chillan" "co"
"19" 90107 1900 NA 0.14 NA NA "INIA_Chillan" "co"
"20" 90107 2000 NA 0.17 NA NA "INIA_Chillan" "co"
"21" 90107 2100 NA 0.25 NA NA "INIA_Chillan" "co"
"22" 90107 2200 NA 0.24 NA NA "INIA_Chillan" "co"
"23" 90107 2300 NA 0.21 NA NA "INIA_Chillan" "co"
"24" 90108 0 NA 0.17 NA NA "INIA_Chillan" "co"
"25" 90108 100 NA 0.14 NA NA "INIA_Chillan" "co"
"26" 90108 200 NA 0.13 NA NA "INIA_Chillan" "co"
"27" 90108 300 NA 0.13 NA NA "INIA_Chillan" "co"
"28" 90108 400 NA 0.13 NA NA "INIA_Chillan" "co"
"29" 90108 500 NA 0.13 NA NA "INIA_Chillan" "co"
"30" 90108 600 NA 0.14 NA NA "INIA_Chillan" "co"
"31" 90108 700 NA 0.15 NA NA "INIA_Chillan" "co"
"32" 90108 800 NA 0.16 NA NA "INIA_Chillan" "co"
"33" 90108 900 NA 0.16 NA NA "INIA_Chillan" "co"
"34" 90108 1000 NA 0.15 NA NA "INIA_Chillan" "co"
"35" 90108 1100 NA 0.15 NA NA "INIA_Chillan" "co"
"36" 90108 1200 NA 0.16 NA NA "INIA_Chillan" "co"
"37" 90108 1300 NA 0.15 NA NA "INIA_Chillan" "co"
"38" 90108 1400 NA 0.14 NA NA "INIA_Chillan" "co"
"39" 90108 1500 NA 0.13 NA NA "INIA_Chillan" "co"
"40" 90108 1600 NA 0.12 NA NA "INIA_Chillan" "co"
"41" 90108 1700 NA 0.12 NA NA "INIA_Chillan" "co"
"42" 90108 1800 NA 0.12 NA NA "INIA_Chillan" "co"
"43" 90108 1900 NA 0.14 NA NA "INIA_Chillan" "co"
"44" 90108 2000 NA 0.17 NA NA "INIA_Chillan" "co"
"45" 90108 2100 NA 0.19 NA NA "INIA_Chillan" "co"
"46" 90108 2200 NA 0.24 NA NA "INIA_Chillan" "co"
"47" 90108 2300 NA 0.24 NA NA "INIA_Chillan" "co"
"48" 90109 0 NA 0.23 NA NA "INIA_Chillan" "co"
"49" 90109 100 NA 0.17 NA NA "INIA_Chillan" "co"
"50" 90109 200 NA 0.14 NA NA "INIA_Chillan" "co"
"51" 90109 300 NA 0.14 NA NA "INIA_Chillan" "co"
"52" 90109 400 NA 0.14 NA NA "INIA_Chillan" "co"
"53" 90109 500 NA 0.15 NA NA "INIA_Chillan" "co"
"54" 90109 600 NA 0.14 NA NA "INIA_Chillan" "co"
"55" 90109 700 NA 0.16 NA NA "INIA_Chillan" "co"
"56" 90109 800 NA 0.17 NA NA "INIA_Chillan" "co"
"57" 90109 900 NA 0.16 NA NA "INIA_Chillan" "co"
