"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 200208 100 NA NA 0.05 NA "Lautaro" "co"
"2" 200208 200 NA NA 0.07 NA "Lautaro" "co"
"3" 200208 300 NA NA 0.05 NA "Lautaro" "co"
"4" 200208 400 NA NA 0.04 NA "Lautaro" "co"
"5" 200208 500 NA NA 0.05 NA "Lautaro" "co"
"6" 200208 600 NA NA 0.09 NA "Lautaro" "co"
"7" 200208 700 NA NA 0.07 NA "Lautaro" "co"
"8" 200208 800 NA NA 0.05 NA "Lautaro" "co"
"9" 200208 900 NA NA 0.05 NA "Lautaro" "co"
"10" 200208 1000 NA NA 0.07 NA "Lautaro" "co"
"11" 200208 1100 NA NA 0.09 NA "Lautaro" "co"
"12" 200208 1200 NA NA 0.09 NA "Lautaro" "co"
"13" 200208 1300 NA NA 0.03 NA "Lautaro" "co"
"14" 200208 1400 NA NA 0.03 NA "Lautaro" "co"
"15" 200208 1500 NA NA 0.03 NA "Lautaro" "co"
"16" 200208 1600 NA NA 0.05 NA "Lautaro" "co"
"17" 200208 1700 NA NA 0.02 NA "Lautaro" "co"
"18" 200208 1800 NA NA 0.04 NA "Lautaro" "co"
"19" 200208 1900 NA NA 0.06 NA "Lautaro" "co"
"20" 200208 2000 NA NA 0.06 NA "Lautaro" "co"
"21" 200208 2100 NA NA 0.07 NA "Lautaro" "co"
"22" 200208 2200 NA NA 0.19 NA "Lautaro" "co"
"23" 200208 2300 NA NA 0.07 NA "Lautaro" "co"
"24" 200209 0 NA NA 0.04 NA "Lautaro" "co"
"25" 200209 100 NA NA 0.08 NA "Lautaro" "co"
"26" 200209 200 NA NA NA NA "Lautaro" "co"
"27" 200209 300 NA NA 0.07 NA "Lautaro" "co"
"28" 200209 400 NA NA 0.1 NA "Lautaro" "co"
"29" 200209 500 NA NA 0.12 NA "Lautaro" "co"
"30" 200209 600 NA NA 0.14 NA "Lautaro" "co"
"31" 200209 700 NA NA 0.11 NA "Lautaro" "co"
"32" 200209 800 NA NA 0.06 NA "Lautaro" "co"
"33" 200209 900 NA NA 0.07 NA "Lautaro" "co"
"34" 200209 1000 NA NA 0.09 NA "Lautaro" "co"
"35" 200209 1100 NA NA 0.09 NA "Lautaro" "co"
"36" 200209 1200 NA NA 0.04 NA "Lautaro" "co"
"37" 200209 1300 NA NA 0.03 NA "Lautaro" "co"
"38" 200209 1400 NA NA 0.06 NA "Lautaro" "co"
"39" 200209 1500 NA NA 0.09 NA "Lautaro" "co"
"40" 200209 1600 NA NA 0.09 NA "Lautaro" "co"
"41" 200209 1700 NA NA 0.06 NA "Lautaro" "co"
"42" 200209 1800 NA NA 0.18 NA "Lautaro" "co"
"43" 200209 1900 NA NA NA NA "Lautaro" "co"
"44" 200209 2000 NA NA NA NA "Lautaro" "co"
"45" 200209 2100 NA NA 0.09 NA "Lautaro" "co"
"46" 200209 2200 NA NA 0.06 NA "Lautaro" "co"
"47" 200209 2300 NA NA 0.03 NA "Lautaro" "co"
"48" 200210 0 NA NA 0.05 NA "Lautaro" "co"
"49" 200210 100 NA NA 0.06 NA "Lautaro" "co"
"50" 200210 200 NA NA 0.04 NA "Lautaro" "co"
"51" 200210 300 NA NA 0.05 NA "Lautaro" "co"
"52" 200210 400 NA NA 0.06 NA "Lautaro" "co"
"53" 200210 500 NA NA 0.07 NA "Lautaro" "co"
"54" 200210 600 NA NA 0.13 NA "Lautaro" "co"
"55" 200210 700 NA NA 0.15 NA "Lautaro" "co"
"56" 200210 800 NA NA 0.04 NA "Lautaro" "co"
"57" 200210 900 NA NA 0.04 NA "Lautaro" "co"
"58" 200210 1000 NA NA 0.06 NA "Lautaro" "co"
"59" 200210 1100 NA NA 0.03 NA "Lautaro" "co"
"60" 200210 1200 NA NA 0.04 NA "Lautaro" "co"
"61" 200210 1300 NA NA 0.06 NA "Lautaro" "co"
"62" 200210 1400 NA NA 0.05 NA "Lautaro" "co"
"63" 200210 1500 NA NA 0.04 NA "Lautaro" "co"
"64" 200210 1600 NA NA 0.03 NA "Lautaro" "co"
"65" 200210 1700 NA NA 0.05 NA "Lautaro" "co"
"66" 200210 1800 NA NA 0.08 NA "Lautaro" "co"
"67" 200210 1900 NA NA 0.2 NA "Lautaro" "co"
"68" 200210 2000 NA NA 0.17 NA "Lautaro" "co"
"69" 200210 2100 NA NA 0.11 NA "Lautaro" "co"
"70" 200210 2200 NA NA 0.1 NA "Lautaro" "co"
"71" 200210 2300 NA NA 0.08 NA "Lautaro" "co"
"72" 200211 0 NA NA 0.04 NA "Lautaro" "co"
"73" 200211 100 NA NA 0.06 NA "Lautaro" "co"
"74" 200211 200 NA NA 0.14 NA "Lautaro" "co"
"75" 200211 300 NA NA 0.15 NA "Lautaro" "co"
"76" 200211 400 NA NA 0.1 NA "Lautaro" "co"
"77" 200211 500 NA NA 0.04 NA "Lautaro" "co"
"78" 200211 600 NA NA 0.05 NA "Lautaro" "co"
"79" 200211 700 NA NA 0.09 NA "Lautaro" "co"
"80" 200211 800 NA NA 0.07 NA "Lautaro" "co"
"81" 200211 900 NA NA 0.06 NA "Lautaro" "co"
"82" 200211 1000 NA NA 0.06 NA "Lautaro" "co"
"83" 200211 1100 NA NA 0.08 NA "Lautaro" "co"
"84" 200211 1200 NA NA 0.08 NA "Lautaro" "co"
"85" 200211 1300 NA NA 0.04 NA "Lautaro" "co"
"86" 200211 1400 NA NA 0.03 NA "Lautaro" "co"
