"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 90809 100 NA NA 63.6749 NA "Meteorologica_Chiguayante" "mp10"
"2" 90809 200 NA NA 89.1499 NA "Meteorologica_Chiguayante" "mp10"
"3" 90809 300 NA NA 76.6421 NA "Meteorologica_Chiguayante" "mp10"
"4" 90809 400 NA NA 36.1725 NA "Meteorologica_Chiguayante" "mp10"
"5" 90809 500 NA NA 37.175 NA "Meteorologica_Chiguayante" "mp10"
"6" 90809 600 NA NA 24.23 NA "Meteorologica_Chiguayante" "mp10"
"7" 90809 700 NA NA 34.3275 NA "Meteorologica_Chiguayante" "mp10"
"8" 90809 800 NA NA 27.895 NA "Meteorologica_Chiguayante" "mp10"
"9" 90809 900 NA NA 25.4 NA "Meteorologica_Chiguayante" "mp10"
"10" 90809 1000 NA NA 37.665 NA "Meteorologica_Chiguayante" "mp10"
"11" 90809 1100 NA NA 38.7125 NA "Meteorologica_Chiguayante" "mp10"
"12" 90809 1200 NA NA 47.8925 NA "Meteorologica_Chiguayante" "mp10"
"13" 90809 1300 NA NA 48.6199 NA "Meteorologica_Chiguayante" "mp10"
"14" 90809 1400 NA NA 29.8875 NA "Meteorologica_Chiguayante" "mp10"
"15" 90809 1500 NA NA 23.215 NA "Meteorologica_Chiguayante" "mp10"
"16" 90809 1600 NA NA 14.0175 NA "Meteorologica_Chiguayante" "mp10"
"17" 90809 1700 NA NA 22.16 NA "Meteorologica_Chiguayante" "mp10"
"18" 90809 1800 NA NA 23.61 NA "Meteorologica_Chiguayante" "mp10"
"19" 90809 1900 NA NA 46.8199 NA "Meteorologica_Chiguayante" "mp10"
"20" 90809 2000 NA NA 41.0275 NA "Meteorologica_Chiguayante" "mp10"
"21" 90809 2100 NA NA 47.8325 NA "Meteorologica_Chiguayante" "mp10"
"22" 90809 2200 NA NA 31.9025 NA "Meteorologica_Chiguayante" "mp10"
"23" 90809 2300 NA NA 43.6024 NA "Meteorologica_Chiguayante" "mp10"
"24" 90810 0 NA NA 48.7825 NA "Meteorologica_Chiguayante" "mp10"
"25" 90810 100 NA NA 35.7874 NA "Meteorologica_Chiguayante" "mp10"
"26" 90810 200 NA NA 39.9675 NA "Meteorologica_Chiguayante" "mp10"
