"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 210319 100 NA 15 NA NA "Cauquenes_Sivica" "mp10"
"2" 210319 200 NA 18 NA NA "Cauquenes_Sivica" "mp10"
"3" 210319 300 NA 21 NA NA "Cauquenes_Sivica" "mp10"
"4" 210319 400 NA 17 NA NA "Cauquenes_Sivica" "mp10"
"5" 210319 500 NA 24 NA NA "Cauquenes_Sivica" "mp10"
"6" 210319 600 NA 51 NA NA "Cauquenes_Sivica" "mp10"
"7" 210319 700 NA 61 NA NA "Cauquenes_Sivica" "mp10"
"8" 210319 800 NA 40 NA NA "Cauquenes_Sivica" "mp10"
"9" 210319 900 NA 34 NA NA "Cauquenes_Sivica" "mp10"
"10" 210319 1000 NA 17 NA NA "Cauquenes_Sivica" "mp10"
"11" 210319 1100 NA 16 NA NA "Cauquenes_Sivica" "mp10"
"12" 210319 1200 NA 21 NA NA "Cauquenes_Sivica" "mp10"
"13" 210319 1300 NA 22 NA NA "Cauquenes_Sivica" "mp10"
"14" 210319 1400 NA 23 NA NA "Cauquenes_Sivica" "mp10"
"15" 210319 1500 NA 57 NA NA "Cauquenes_Sivica" "mp10"
"16" 210319 1600 NA 36 NA NA "Cauquenes_Sivica" "mp10"
"17" 210319 1700 NA 40 NA NA "Cauquenes_Sivica" "mp10"
"18" 210319 1800 NA 30 NA NA "Cauquenes_Sivica" "mp10"
"19" 210319 1900 NA 25 NA NA "Cauquenes_Sivica" "mp10"
"20" 210319 2000 NA 21 NA NA "Cauquenes_Sivica" "mp10"
"21" 210319 2100 NA 29 NA NA "Cauquenes_Sivica" "mp10"
"22" 210319 2200 NA 19 NA NA "Cauquenes_Sivica" "mp10"
"23" 210319 2300 NA 17 NA NA "Cauquenes_Sivica" "mp10"
"24" 210320 0 NA 8 NA NA "Cauquenes_Sivica" "mp10"
"25" 210320 100 NA 10 NA NA "Cauquenes_Sivica" "mp10"
"26" 210320 200 NA 10 NA NA "Cauquenes_Sivica" "mp10"
"27" 210320 300 NA 15 NA NA "Cauquenes_Sivica" "mp10"
"28" 210320 400 NA 16 NA NA "Cauquenes_Sivica" "mp10"
"29" 210320 500 NA 20 NA NA "Cauquenes_Sivica" "mp10"
"30" 210320 600 NA 30 NA NA "Cauquenes_Sivica" "mp10"
"31" 210320 700 NA 22 NA NA "Cauquenes_Sivica" "mp10"
"32" 210320 800 NA 23 NA NA "Cauquenes_Sivica" "mp10"
"33" 210320 900 NA 8 NA NA "Cauquenes_Sivica" "mp10"
"34" 210320 1000 NA 7 NA NA "Cauquenes_Sivica" "mp10"
"35" 210320 1100 NA 7 NA NA "Cauquenes_Sivica" "mp10"
"36" 210320 1200 NA 6 NA NA "Cauquenes_Sivica" "mp10"
"37" 210320 1300 NA 8 NA NA "Cauquenes_Sivica" "mp10"
"38" 210320 1400 NA 6 NA NA "Cauquenes_Sivica" "mp10"
"39" 210320 1500 NA 9 NA NA "Cauquenes_Sivica" "mp10"
"40" 210320 1600 NA 8 NA NA "Cauquenes_Sivica" "mp10"
"41" 210320 1700 NA 15 NA NA "Cauquenes_Sivica" "mp10"
"42" 210320 1800 NA 16 NA NA "Cauquenes_Sivica" "mp10"
"43" 210320 1900 NA 19 NA NA "Cauquenes_Sivica" "mp10"
"44" 210320 2000 NA 15 NA NA "Cauquenes_Sivica" "mp10"
"45" 210320 2100 NA 12 NA NA "Cauquenes_Sivica" "mp10"
"46" 210320 2200 NA 17 NA NA "Cauquenes_Sivica" "mp10"
"47" 210320 2300 NA 22 NA NA "Cauquenes_Sivica" "mp10"
"48" 210321 0 NA 15 NA NA "Cauquenes_Sivica" "mp10"
"49" 210321 100 NA 12 NA NA "Cauquenes_Sivica" "mp10"
"50" 210321 200 NA 12 NA NA "Cauquenes_Sivica" "mp10"
"51" 210321 300 NA 21 NA NA "Cauquenes_Sivica" "mp10"
"52" 210321 400 NA 16 NA NA "Cauquenes_Sivica" "mp10"
"53" 210321 500 NA 15 NA NA "Cauquenes_Sivica" "mp10"
"54" 210321 600 NA 16 NA NA "Cauquenes_Sivica" "mp10"
"55" 210321 700 NA 16 NA NA "Cauquenes_Sivica" "mp10"
"56" 210321 800 NA 24 NA NA "Cauquenes_Sivica" "mp10"
"57" 210321 900 NA 22 NA NA "Cauquenes_Sivica" "mp10"
