"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 90201 0 NA 0.0963124 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"2" 90202 0 NA 0.0814373 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"3" 90203 0 NA 0.1105 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"4" 90204 0 NA 0.0930103 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"5" 90205 0 NA 0.047927 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"6" 90206 0 NA 0.0926666 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"7" 90207 0 NA 0.13526 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"8" 90208 0 NA 0.183281 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"9" 90209 0 NA 0.0492954 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"10" 90210 0 NA 0.0739062 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"11" 90211 0 NA 0.0731978 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"12" 90212 0 NA 0.077427 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"13" 90213 0 NA 0.0489166 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"14" 90214 0 NA 0.0392708 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"15" 90215 0 NA 0.0261354 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"16" 90216 0 NA 0.0558749 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"17" 90217 0 NA 0.0547603 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"18" 90218 0 NA 0.0364375 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"19" 90219 0 NA 0.0804455 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"20" 90220 0 NA 0.0560625 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"21" 90221 0 NA 0.0997915 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"22" 90222 0 NA 0.066427 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"23" 90223 0 NA 0.0355937 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"24" 90224 0 NA 0.027052 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"25" 90225 0 NA 0.034427 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"26" 90226 0 NA 0.0312395 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"27" 90227 0 NA 0.0207738 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"28" 90228 0 NA 0.0195521 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"29" 90301 0 NA 0.0701249 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"30" 90302 0 NA 0.0701978 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"31" 90303 0 NA 0.0336666 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"32" 90304 0 NA 0.0731354 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"33" 90305 0 NA 0.0747916 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"34" 90306 0 NA 0.115859 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"35" 90307 0 NA 0.133302 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"36" 90308 0 NA 0.191146 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"37" 90309 0 NA 0.0726874 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"38" 90310 0 NA 0.0149062 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"39" 90311 0 NA 0.139178 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"40" 90312 0 NA 0.115948 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"41" 90313 0 NA 0.0932499 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"42" 90314 0 NA 0.0541458 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"43" 90315 0 NA 0.1755 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"44" 90316 0 NA 0.0597082 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"45" 90317 0 NA 0.0808123 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"46" 90318 0 NA 0.0897812 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"47" 90319 0 NA 0.0721353 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"48" 90320 0 NA 0.166065 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"49" 90321 0 NA 0.294271 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"50" 90322 0 NA 0.229541 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"51" 90323 0 NA 0.165812 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"52" 90324 0 NA 0.100856 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"53" 90325 0 NA 0.201416 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"54" 90326 0 NA 0.187257 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"55" 90327 0 NA 0.118614 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"56" 90328 0 NA 0.11983 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
"57" 90329 0 NA 0.0720137 NA NA "Teno_CEMENTOS_BIO_BIO" "co"
