"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 90201 0 NA 1.5066 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"2" 90202 0 NA 3.72194 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"3" 90203 0 NA 2.98357 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"4" 90204 0 NA 3.14502 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"5" 90205 0 NA 3.47678 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"6" 90206 0 NA 4.9007 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"7" 90207 0 NA 5.4122 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"8" 90208 0 NA 5.29566 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"9" 90209 0 NA 3.4692 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"10" 90210 0 NA 5.01637 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"11" 90211 0 NA 4.97985 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"12" 90212 0 NA 5.9714 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"13" 90213 0 NA 3.98955 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"14" 90214 0 NA 2.48233 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"15" 90215 0 NA 0.490854 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"16" 90216 0 NA 2.92318 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"17" 90217 0 NA 5.34257 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"18" 90218 0 NA 1.22281 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"19" 90219 0 NA 3.39816 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"20" 90220 0 NA 3.48837 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"21" 90221 0 NA 4.20904 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"22" 90222 0 NA 3.02824 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"23" 90223 0 NA 2.40654 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"24" 90224 0 NA 2.07556 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"25" 90225 0 NA 4.19257 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"26" 90226 0 NA 3.53421 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"27" 90227 0 NA 1.50114 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"28" 90228 0 NA 0.777009 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"29" 90301 0 NA 2.76664 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"30" 90302 0 NA 2.83887 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"31" 90303 0 NA 1.40227 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"32" 90304 0 NA 6.96729 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"33" 90305 0 NA 5.24109 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"34" 90306 0 NA 8.11853 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"35" 90307 0 NA 7.1082 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"36" 90308 0 NA 7.91338 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"37" 90309 0 NA 2.88324 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"38" 90310 0 NA 0.882176 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"39" 90311 0 NA 9.51764 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"40" 90312 0 NA 9.89557 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"41" 90313 0 NA 7.53392 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"42" 90314 0 NA 4.68945 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"43" 90315 0 NA 5.64233 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"44" 90316 0 NA 5.18813 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"45" 90317 0 NA 7.86552 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"46" 90318 0 NA 9.29965 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"47" 90319 0 NA 5.48397 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"48" 90320 0 NA 11.7496 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"49" 90321 0 NA 10.7277 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"50" 90322 0 NA 8.39369 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"51" 90323 0 NA 8.65811 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"52" 90324 0 NA 4.82799 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"53" 90325 0 NA 13.9536 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"54" 90326 0 NA 9.99487 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"55" 90327 0 NA 4.39447 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"56" 90328 0 NA 5.78795 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"57" 90329 0 NA 4.29961 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"58" 90330 0 NA 5.95837 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"59" 90331 0 NA 3.71199 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"60" 90401 0 NA NA NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"61" 90402 0 NA NA NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"62" 90403 0 NA NA NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"63" 90404 0 NA NA NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"64" 90405 0 NA NA NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"65" 90406 0 NA NA NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"66" 90407 0 NA NA NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"67" 90408 0 NA NA NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"68" 90409 0 NA NA NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"69" 90410 0 NA NA NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"70" 90411 0 NA NA NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"71" 90412 0 NA NA NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"72" 90413 0 NA NA NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"73" 90414 0 NA NA NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"74" 90415 0 NA NA NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"75" 90416 0 NA NA NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"76" 90417 0 NA NA NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"77" 90418 0 NA NA NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"78" 90419 0 NA NA NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"79" 90420 0 NA NA NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"80" 90421 0 NA NA NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"81" 90422 0 NA NA NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"82" 90423 0 NA NA NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"83" 90424 0 NA NA NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"84" 90425 0 NA NA NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"85" 90426 0 NA NA NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"86" 90427 0 NA NA NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"87" 90428 0 NA NA NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"88" 90429 0 NA NA NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"89" 90430 0 NA NA NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"90" 90501 0 NA 6.85921 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"91" 90502 0 NA 1.6638 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"92" 90503 0 NA 3.27987 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
"93" 90504 0 NA 5.31292 NA NA "Teno_CEMENTOS_BIO_BIO" "no2"
