"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 40214 100 NA 0.01308 NA NA "Vcodegua" "hcnm"
"2" 40214 200 NA 0.01308 NA NA "Vcodegua" "hcnm"
"3" 40214 300 NA 0.01308 NA NA "Vcodegua" "hcnm"
"4" 40214 400 NA 0.01308 NA NA "Vcodegua" "hcnm"
"5" 40214 500 NA 0.01308 NA NA "Vcodegua" "hcnm"
"6" 40214 600 NA 0.01308 NA NA "Vcodegua" "hcnm"
"7" 40214 700 NA 0.01308 NA NA "Vcodegua" "hcnm"
"8" 40214 800 NA 0.01308 NA NA "Vcodegua" "hcnm"
"9" 40214 900 NA 0.01308 NA NA "Vcodegua" "hcnm"
"10" 40214 1000 NA 0.01308 NA NA "Vcodegua" "hcnm"
"11" 40214 1100 NA 0.01308 NA NA "Vcodegua" "hcnm"
"12" 40214 1200 NA 0.01308 NA NA "Vcodegua" "hcnm"
"13" 40214 1300 NA 0.01308 NA NA "Vcodegua" "hcnm"
"14" 40214 1400 NA 0.01308 NA NA "Vcodegua" "hcnm"
"15" 40214 1500 NA 0.01308 NA NA "Vcodegua" "hcnm"
"16" 40214 1600 NA 0.01308 NA NA "Vcodegua" "hcnm"
"17" 40214 1700 NA 0.01308 NA NA "Vcodegua" "hcnm"
"18" 40214 1800 NA 0.01308 NA NA "Vcodegua" "hcnm"
"19" 40214 1900 NA 0.01308 NA NA "Vcodegua" "hcnm"
"20" 40214 2000 NA 0.01308 NA NA "Vcodegua" "hcnm"
"21" 40214 2100 NA 0.01308 NA NA "Vcodegua" "hcnm"
"22" 40214 2200 NA 0.00327 NA NA "Vcodegua" "hcnm"
"23" 40214 2300 NA 0.01308 NA NA "Vcodegua" "hcnm"
"24" 40215 0 NA 0.01308 NA NA "Vcodegua" "hcnm"
"25" 40215 100 NA 0.01308 NA NA "Vcodegua" "hcnm"
"26" 40215 200 NA 0.01308 NA NA "Vcodegua" "hcnm"
"27" 40215 300 NA 0.01308 NA NA "Vcodegua" "hcnm"
"28" 40215 400 NA 0.01308 NA NA "Vcodegua" "hcnm"
"29" 40215 500 NA 0.01308 NA NA "Vcodegua" "hcnm"
"30" 40215 600 NA 0.01308 NA NA "Vcodegua" "hcnm"
"31" 40215 700 NA 0.01308 NA NA "Vcodegua" "hcnm"
"32" 40215 800 NA 0.01308 NA NA "Vcodegua" "hcnm"
"33" 40215 900 NA 0.01308 NA NA "Vcodegua" "hcnm"
"34" 40215 1000 NA 0.01308 NA NA "Vcodegua" "hcnm"
"35" 40215 1100 NA 0.01308 NA NA "Vcodegua" "hcnm"
"36" 40215 1200 NA 0.01308 NA NA "Vcodegua" "hcnm"
"37" 40215 1300 NA 0.01308 NA NA "Vcodegua" "hcnm"
"38" 40215 1400 NA 0.01308 NA NA "Vcodegua" "hcnm"
"39" 40215 1500 NA 0.01308 NA NA "Vcodegua" "hcnm"
"40" 40215 1600 NA 0.01308 NA NA "Vcodegua" "hcnm"
"41" 40215 1700 NA 0.01308 NA NA "Vcodegua" "hcnm"
"42" 40215 1800 NA 0.01308 NA NA "Vcodegua" "hcnm"
"43" 40215 1900 NA 0.01308 NA NA "Vcodegua" "hcnm"
"44" 40215 2000 NA 0.01308 NA NA "Vcodegua" "hcnm"
"45" 40215 2100 NA 0.01308 NA NA "Vcodegua" "hcnm"
"46" 40215 2200 NA 0.01308 NA NA "Vcodegua" "hcnm"
"47" 40215 2300 NA 0.01308 NA NA "Vcodegua" "hcnm"
"48" 40216 0 NA 0.01308 NA NA "Vcodegua" "hcnm"
"49" 40216 100 NA 0.00327 NA NA "Vcodegua" "hcnm"
"50" 40216 200 NA 0.01308 NA NA "Vcodegua" "hcnm"
"51" 40216 300 NA 0.01308 NA NA "Vcodegua" "hcnm"
"52" 40216 400 NA 0.01308 NA NA "Vcodegua" "hcnm"
"53" 40216 500 NA 0.01308 NA NA "Vcodegua" "hcnm"
"54" 40216 600 NA 0.01308 NA NA "Vcodegua" "hcnm"
"55" 40216 700 NA 0.01308 NA NA "Vcodegua" "hcnm"
"56" 40216 800 NA 0.01308 NA NA "Vcodegua" "hcnm"
"57" 40216 900 NA 0.01308 NA NA "Vcodegua" "hcnm"
"58" 40216 1000 NA 0.01308 NA NA "Vcodegua" "hcnm"
"59" 40216 1100 NA 0.01308 NA NA "Vcodegua" "hcnm"
"60" 40216 1200 NA 0.01308 NA NA "Vcodegua" "hcnm"
"61" 40216 1300 NA 0.01308 NA NA "Vcodegua" "hcnm"
"62" 40216 1400 NA 0.01308 NA NA "Vcodegua" "hcnm"
"63" 40216 1500 NA 0.01308 NA NA "Vcodegua" "hcnm"
"64" 40216 1600 NA 0.01308 NA NA "Vcodegua" "hcnm"
"65" 40216 1700 NA 0.01308 NA NA "Vcodegua" "hcnm"
"66" 40216 1800 NA 0.01308 NA NA "Vcodegua" "hcnm"
"67" 40216 1900 NA 0.01308 NA NA "Vcodegua" "hcnm"
"68" 40216 2000 NA 0.01308 NA NA "Vcodegua" "hcnm"
"69" 40216 2100 NA 0.01308 NA NA "Vcodegua" "hcnm"
"70" 40216 2200 NA 0.01308 NA NA "Vcodegua" "hcnm"
"71" 40216 2300 NA 0.01308 NA NA "Vcodegua" "hcnm"
"72" 40217 0 NA 0.01308 NA NA "Vcodegua" "hcnm"
"73" 40217 100 NA 0.01308 NA NA "Vcodegua" "hcnm"
"74" 40217 200 NA 0.01308 NA NA "Vcodegua" "hcnm"
"75" 40217 300 NA 0.01308 NA NA "Vcodegua" "hcnm"
"76" 40217 400 NA 0.01308 NA NA "Vcodegua" "hcnm"
"77" 40217 500 NA 0.00327 NA NA "Vcodegua" "hcnm"
"78" 40217 600 NA 0.01308 NA NA "Vcodegua" "hcnm"
"79" 40217 700 NA 0.01308 NA NA "Vcodegua" "hcnm"
"80" 40217 800 NA 0.01308 NA NA "Vcodegua" "hcnm"
"81" 40217 900 NA 0.01308 NA NA "Vcodegua" "hcnm"
"82" 40217 1000 NA 0.01308 NA NA "Vcodegua" "hcnm"
"83" 40217 1100 NA 0.01308 NA NA "Vcodegua" "hcnm"
"84" 40217 1200 NA 0.01308 NA NA "Vcodegua" "hcnm"
"85" 40217 1300 NA 0.01308 NA NA "Vcodegua" "hcnm"
"86" 40217 1400 NA 0.01308 NA NA "Vcodegua" "hcnm"
"87" 40217 1500 NA 0.01308 NA NA "Vcodegua" "hcnm"
"88" 40217 1600 NA 0.01308 NA NA "Vcodegua" "hcnm"
"89" 40217 1700 NA 0.01308 NA NA "Vcodegua" "hcnm"
"90" 40217 1800 NA 0.01308 NA NA "Vcodegua" "hcnm"
"91" 40217 1900 NA 0.01308 NA NA "Vcodegua" "hcnm"
"92" 40217 2000 NA 0.01308 NA NA "Vcodegua" "hcnm"
"93" 40217 2100 NA 0.01308 NA NA "Vcodegua" "hcnm"
"94" 40217 2200 NA 0.01308 NA NA "Vcodegua" "hcnm"
"95" 40217 2300 NA 0.01308 NA NA "Vcodegua" "hcnm"
"96" 40218 0 NA 0.01308 NA NA "Vcodegua" "hcnm"
"97" 40218 100 NA 0.01308 NA NA "Vcodegua" "hcnm"
"98" 40218 200 NA 0.01308 NA NA "Vcodegua" "hcnm"
"99" 40218 300 NA 0.01308 NA NA "Vcodegua" "hcnm"
"100" 40218 400 NA 0.01308 NA NA "Vcodegua" "hcnm"
"101" 40218 500 NA 0.01308 NA NA "Vcodegua" "hcnm"
"102" 40218 600 NA 0.01308 NA NA "Vcodegua" "hcnm"
"103" 40218 700 NA 0.01308 NA NA "Vcodegua" "hcnm"
"104" 40218 800 NA 0.01308 NA NA "Vcodegua" "hcnm"
"105" 40218 900 NA 0.01308 NA NA "Vcodegua" "hcnm"
"106" 40218 1000 NA 0.01308 NA NA "Vcodegua" "hcnm"
