"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 80701 100 NA NA NA NA "Vmvc" "so2"
"2" 80701 200 NA NA NA NA "Vmvc" "so2"
"3" 80701 300 NA NA NA NA "Vmvc" "so2"
"4" 80701 400 NA NA NA NA "Vmvc" "so2"
"5" 80701 500 NA NA NA NA "Vmvc" "so2"
"6" 80701 600 NA NA NA NA "Vmvc" "so2"
"7" 80701 700 NA NA NA NA "Vmvc" "so2"
"8" 80701 800 NA NA NA NA "Vmvc" "so2"
"9" 80701 900 NA NA NA NA "Vmvc" "so2"
"10" 80701 1000 NA NA NA NA "Vmvc" "so2"
"11" 80701 1100 NA NA NA NA "Vmvc" "so2"
"12" 80701 1200 NA NA NA NA "Vmvc" "so2"
"13" 80701 1300 NA NA NA NA "Vmvc" "so2"
"14" 80701 1400 NA NA NA NA "Vmvc" "so2"
"15" 80701 1500 NA NA NA NA "Vmvc" "so2"
"16" 80701 1600 NA NA NA NA "Vmvc" "so2"
"17" 80701 1700 NA NA NA NA "Vmvc" "so2"
"18" 80701 1800 NA NA NA NA "Vmvc" "so2"
"19" 80701 1900 NA NA NA NA "Vmvc" "so2"
"20" 80701 2000 NA NA NA NA "Vmvc" "so2"
"21" 80701 2100 NA NA NA NA "Vmvc" "so2"
"22" 80701 2200 NA NA NA NA "Vmvc" "so2"
"23" 80701 2300 NA NA NA NA "Vmvc" "so2"
"24" 80702 0 NA NA NA NA "Vmvc" "so2"
"25" 80702 100 NA NA NA NA "Vmvc" "so2"
"26" 80702 200 NA NA NA NA "Vmvc" "so2"
"27" 80702 300 NA NA NA NA "Vmvc" "so2"
"28" 80702 400 NA NA NA NA "Vmvc" "so2"
"29" 80702 500 NA NA NA NA "Vmvc" "so2"
"30" 80702 600 NA NA NA NA "Vmvc" "so2"
"31" 80702 700 NA NA NA NA "Vmvc" "so2"
"32" 80702 800 NA NA NA NA "Vmvc" "so2"
"33" 80702 900 NA NA NA NA "Vmvc" "so2"
"34" 80702 1000 NA NA NA NA "Vmvc" "so2"
"35" 80702 1100 NA NA NA NA "Vmvc" "so2"
"36" 80702 1200 NA NA NA NA "Vmvc" "so2"
"37" 80702 1300 NA NA NA NA "Vmvc" "so2"
"38" 80702 1400 NA NA NA NA "Vmvc" "so2"
"39" 80702 1500 NA NA NA NA "Vmvc" "so2"
"40" 80702 1600 NA NA NA NA "Vmvc" "so2"
"41" 80702 1700 NA NA NA NA "Vmvc" "so2"
"42" 80702 1800 NA NA NA NA "Vmvc" "so2"
"43" 80702 1900 NA NA NA NA "Vmvc" "so2"
"44" 80702 2000 NA NA NA NA "Vmvc" "so2"
"45" 80702 2100 NA NA NA NA "Vmvc" "so2"
"46" 80702 2200 NA NA NA NA "Vmvc" "so2"
"47" 80702 2300 NA NA NA NA "Vmvc" "so2"
"48" 80703 0 NA NA NA NA "Vmvc" "so2"
"49" 80703 100 NA NA NA NA "Vmvc" "so2"
"50" 80703 200 NA NA NA NA "Vmvc" "so2"
"51" 80703 300 NA NA NA NA "Vmvc" "so2"
"52" 80703 400 NA NA NA NA "Vmvc" "so2"
"53" 80703 500 NA NA NA NA "Vmvc" "so2"
"54" 80703 600 NA NA NA NA "Vmvc" "so2"
"55" 80703 700 NA NA NA NA "Vmvc" "so2"
"56" 80703 800 NA NA NA NA "Vmvc" "so2"
"57" 80703 900 NA NA NA NA "Vmvc" "so2"
"58" 80703 1000 NA NA NA NA "Vmvc" "so2"
"59" 80703 1100 NA NA NA NA "Vmvc" "so2"
"60" 80703 1200 NA NA NA NA "Vmvc" "so2"
"61" 80703 1300 NA NA NA NA "Vmvc" "so2"
"62" 80703 1400 NA NA NA NA "Vmvc" "so2"
"63" 80703 1500 NA NA NA NA "Vmvc" "so2"
"64" 80703 1600 NA NA NA NA "Vmvc" "so2"
"65" 80703 1700 NA NA NA NA "Vmvc" "so2"
"66" 80703 1800 NA NA NA NA "Vmvc" "so2"
"67" 80703 1900 NA NA NA NA "Vmvc" "so2"
"68" 80703 2000 NA NA NA NA "Vmvc" "so2"
"69" 80703 2100 NA NA NA NA "Vmvc" "so2"
