"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 40401 100 NA 5 NA NA "Vrancagua_I" "nox"
"2" 40401 200 NA 15.9 NA NA "Vrancagua_I" "nox"
"3" 40401 300 NA 11.8 NA NA "Vrancagua_I" "nox"
"4" 40401 400 NA 12.3 NA NA "Vrancagua_I" "nox"
"5" 40401 500 NA 21.9 NA NA "Vrancagua_I" "nox"
"6" 40401 600 NA 61.6 NA NA "Vrancagua_I" "nox"
"7" 40401 700 NA 128.5 NA NA "Vrancagua_I" "nox"
"8" 40401 800 NA 79.2997 NA NA "Vrancagua_I" "nox"
"9" 40401 900 NA 43.4 NA NA "Vrancagua_I" "nox"
"10" 40401 1000 NA 33.4 NA NA "Vrancagua_I" "nox"
"11" 40401 1100 NA 15.4 NA NA "Vrancagua_I" "nox"
"12" 40401 1200 NA 17.2 NA NA "Vrancagua_I" "nox"
"13" 40401 1300 NA 15.1 NA NA "Vrancagua_I" "nox"
"14" 40401 1400 NA 19.1 NA NA "Vrancagua_I" "nox"
"15" 40401 1500 NA 17.9 NA NA "Vrancagua_I" "nox"
"16" 40401 1600 NA NA NA NA "Vrancagua_I" "nox"
"17" 40401 1700 NA NA NA NA "Vrancagua_I" "nox"
"18" 40401 1800 NA NA NA NA "Vrancagua_I" "nox"
"19" 40401 1900 NA 64.2997 NA NA "Vrancagua_I" "nox"
"20" 40401 2000 NA 116.7 NA NA "Vrancagua_I" "nox"
"21" 40401 2100 NA 133.7 NA NA "Vrancagua_I" "nox"
"22" 40401 2200 NA 55.5 NA NA "Vrancagua_I" "nox"
"23" 40401 2300 NA 83.2 NA NA "Vrancagua_I" "nox"
"24" 40402 0 NA 110.3 NA NA "Vrancagua_I" "nox"
"25" 40402 100 NA 80.2 NA NA "Vrancagua_I" "nox"
"26" 40402 200 NA 23.1 NA NA "Vrancagua_I" "nox"
"27" 40402 300 NA 15.4 NA NA "Vrancagua_I" "nox"
"28" 40402 400 NA 17.1 NA NA "Vrancagua_I" "nox"
"29" 40402 500 NA 23.6 NA NA "Vrancagua_I" "nox"
"30" 40402 600 NA 64.1 NA NA "Vrancagua_I" "nox"
"31" 40402 700 NA 160.6 NA NA "Vrancagua_I" "nox"
"32" 40402 800 NA 58.5 NA NA "Vrancagua_I" "nox"
"33" 40402 900 NA 33.1 NA NA "Vrancagua_I" "nox"
"34" 40402 1000 NA 28.2 NA NA "Vrancagua_I" "nox"
"35" 40402 1100 NA 18.2 NA NA "Vrancagua_I" "nox"
"36" 40402 1200 NA 22.5 NA NA "Vrancagua_I" "nox"
"37" 40402 1300 NA 18.7 NA NA "Vrancagua_I" "nox"
"38" 40402 1400 NA 14.5 NA NA "Vrancagua_I" "nox"
"39" 40402 1500 NA 11 NA NA "Vrancagua_I" "nox"
"40" 40402 1600 NA 8.79999 NA NA "Vrancagua_I" "nox"
"41" 40402 1700 NA 9.5 NA NA "Vrancagua_I" "nox"
"42" 40402 1800 NA 20.3 NA NA "Vrancagua_I" "nox"
"43" 40402 1900 NA 29.6 NA NA "Vrancagua_I" "nox"
"44" 40402 2000 NA 29.6 NA NA "Vrancagua_I" "nox"
"45" 40402 2100 NA 35.3 NA NA "Vrancagua_I" "nox"
"46" 40402 2200 NA 31.3 NA NA "Vrancagua_I" "nox"
"47" 40402 2300 NA 26.2 NA NA "Vrancagua_I" "nox"
"48" 40403 0 NA 21 NA NA "Vrancagua_I" "nox"
"49" 40403 100 NA 18.1 NA NA "Vrancagua_I" "nox"
"50" 40403 200 NA 14.7 NA NA "Vrancagua_I" "nox"
"51" 40403 300 NA 17.3 NA NA "Vrancagua_I" "nox"
"52" 40403 400 NA 23.7 NA NA "Vrancagua_I" "nox"
"53" 40403 500 NA 20.1 NA NA "Vrancagua_I" "nox"
"54" 40403 600 NA 70.7 NA NA "Vrancagua_I" "nox"
"55" 40403 700 NA 47.8 NA NA "Vrancagua_I" "nox"
"56" 40403 800 NA 26.4 NA NA "Vrancagua_I" "nox"
"57" 40403 900 NA 41.9 NA NA "Vrancagua_I" "nox"
"58" 40403 1000 NA 31.3 NA NA "Vrancagua_I" "nox"
"59" 40403 1100 NA 14.1 NA NA "Vrancagua_I" "nox"
"60" 40403 1200 NA 13.4 NA NA "Vrancagua_I" "nox"
"61" 40403 1300 NA 9.79999 NA NA "Vrancagua_I" "nox"
"62" 40403 1400 NA 7.3 NA NA "Vrancagua_I" "nox"
"63" 40403 1500 NA 6.7 NA NA "Vrancagua_I" "nox"
"64" 40403 1600 NA 6.89999 NA NA "Vrancagua_I" "nox"
"65" 40403 1700 NA 8 NA NA "Vrancagua_I" "nox"
"66" 40403 1800 NA 20.6 NA NA "Vrancagua_I" "nox"
"67" 40403 1900 NA 40.4 NA NA "Vrancagua_I" "nox"
"68" 40403 2000 NA 75.2 NA NA "Vrancagua_I" "nox"
"69" 40403 2100 NA 48.2 NA NA "Vrancagua_I" "nox"
"70" 40403 2200 NA 31.4 NA NA "Vrancagua_I" "nox"
"71" 40403 2300 NA 26.6 NA NA "Vrancagua_I" "nox"
"72" 40404 0 NA 32.1 NA NA "Vrancagua_I" "nox"
"73" 40404 100 NA 15.1 NA NA "Vrancagua_I" "nox"
"74" 40404 200 NA 12.3 NA NA "Vrancagua_I" "nox"
"75" 40404 300 NA 16.8 NA NA "Vrancagua_I" "nox"
"76" 40404 400 NA 25.8 NA NA "Vrancagua_I" "nox"
"77" 40404 500 NA 48.8 NA NA "Vrancagua_I" "nox"
