"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 40401 100 NA 9.09998 NA NA "Vrancagua_I" "o3"
"2" 40401 200 NA 1.7 NA NA "Vrancagua_I" "o3"
"3" 40401 300 NA 2.2 NA NA "Vrancagua_I" "o3"
"4" 40401 400 NA 1.3 NA NA "Vrancagua_I" "o3"
"5" 40401 500 NA 1.2 NA NA "Vrancagua_I" "o3"
"6" 40401 600 NA 14 NA NA "Vrancagua_I" "o3"
"7" 40401 700 NA 2.2 NA NA "Vrancagua_I" "o3"
"8" 40401 800 NA 2 NA NA "Vrancagua_I" "o3"
"9" 40401 900 NA 2.6 NA NA "Vrancagua_I" "o3"
"10" 40401 1000 NA 5.5 NA NA "Vrancagua_I" "o3"
"11" 40401 1100 NA 9.7 NA NA "Vrancagua_I" "o3"
"12" 40401 1200 NA 9.39998 NA NA "Vrancagua_I" "o3"
"13" 40401 1300 NA 9.5 NA NA "Vrancagua_I" "o3"
"14" 40401 1400 NA 8 NA NA "Vrancagua_I" "o3"
"15" 40401 1500 NA 9.5 NA NA "Vrancagua_I" "o3"
"16" 40401 1600 NA NA NA NA "Vrancagua_I" "o3"
"17" 40401 1700 NA NA NA NA "Vrancagua_I" "o3"
"18" 40401 1800 NA NA NA NA "Vrancagua_I" "o3"
"19" 40401 1900 NA 0.5 NA NA "Vrancagua_I" "o3"
"20" 40401 2000 NA 2.1 NA NA "Vrancagua_I" "o3"
"21" 40401 2100 NA 2 NA NA "Vrancagua_I" "o3"
"22" 40401 2200 NA 14 NA NA "Vrancagua_I" "o3"
"23" 40401 2300 NA 2.7 NA NA "Vrancagua_I" "o3"
"24" 40402 0 NA 1.8 NA NA "Vrancagua_I" "o3"
"25" 40402 100 NA 1.1 NA NA "Vrancagua_I" "o3"
"26" 40402 200 NA 0.5 NA NA "Vrancagua_I" "o3"
"27" 40402 300 NA 0.9 NA NA "Vrancagua_I" "o3"
"28" 40402 400 NA 1.3 NA NA "Vrancagua_I" "o3"
"29" 40402 500 NA 1.3 NA NA "Vrancagua_I" "o3"
"30" 40402 600 NA 14 NA NA "Vrancagua_I" "o3"
"31" 40402 700 NA 2.1 NA NA "Vrancagua_I" "o3"
"32" 40402 800 NA 3.3 NA NA "Vrancagua_I" "o3"
"33" 40402 900 NA 10 NA NA "Vrancagua_I" "o3"
"34" 40402 1000 NA 18.4 NA NA "Vrancagua_I" "o3"
"35" 40402 1100 NA 26.7 NA NA "Vrancagua_I" "o3"
"36" 40402 1200 NA 28.3 NA NA "Vrancagua_I" "o3"
"37" 40402 1300 NA 31 NA NA "Vrancagua_I" "o3"
"38" 40402 1400 NA 40 NA NA "Vrancagua_I" "o3"
"39" 40402 1500 NA 40.3 NA NA "Vrancagua_I" "o3"
"40" 40402 1600 NA 42.1 NA NA "Vrancagua_I" "o3"
"41" 40402 1700 NA 39.9 NA NA "Vrancagua_I" "o3"
"42" 40402 1800 NA 25.4 NA NA "Vrancagua_I" "o3"
"43" 40402 1900 NA 16.9 NA NA "Vrancagua_I" "o3"
"44" 40402 2000 NA 11.7 NA NA "Vrancagua_I" "o3"
"45" 40402 2100 NA 6.1 NA NA "Vrancagua_I" "o3"
"46" 40402 2200 NA 9.5 NA NA "Vrancagua_I" "o3"
"47" 40402 2300 NA 6.1 NA NA "Vrancagua_I" "o3"
"48" 40403 0 NA 6.5 NA NA "Vrancagua_I" "o3"
