"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 40101 100 NA 0 NA NA "Vsewell" "so2"
"2" 40101 200 NA 0 NA NA "Vsewell" "so2"
"3" 40101 300 NA 0 NA NA "Vsewell" "so2"
"4" 40101 400 NA 0 NA NA "Vsewell" "so2"
"5" 40101 500 NA 0 NA NA "Vsewell" "so2"
"6" 40101 600 NA 0 NA NA "Vsewell" "so2"
"7" 40101 700 NA 0 NA NA "Vsewell" "so2"
"8" 40101 800 NA 0 NA NA "Vsewell" "so2"
"9" 40101 900 NA 0 NA NA "Vsewell" "so2"
"10" 40101 1000 NA 0 NA NA "Vsewell" "so2"
"11" 40101 1100 NA 0 NA NA "Vsewell" "so2"
"12" 40101 1200 NA 0 NA NA "Vsewell" "so2"
"13" 40101 1300 NA 0 NA NA "Vsewell" "so2"
"14" 40101 1400 NA 0 NA NA "Vsewell" "so2"
"15" 40101 1500 NA 0 NA NA "Vsewell" "so2"
"16" 40101 1600 NA 0 NA NA "Vsewell" "so2"
"17" 40101 1700 NA 0 NA NA "Vsewell" "so2"
"18" 40101 1800 NA 0 NA NA "Vsewell" "so2"
"19" 40101 1900 NA 0 NA NA "Vsewell" "so2"
"20" 40101 2000 NA 0 NA NA "Vsewell" "so2"
"21" 40101 2100 NA 0 NA NA "Vsewell" "so2"
"22" 40101 2200 NA 0 NA NA "Vsewell" "so2"
"23" 40101 2300 NA 0 NA NA "Vsewell" "so2"
"24" 40102 0 NA 20.96 NA NA "Vsewell" "so2"
"25" 40102 100 NA 0 NA NA "Vsewell" "so2"
"26" 40102 200 NA 0 NA NA "Vsewell" "so2"
"27" 40102 300 NA 0 NA NA "Vsewell" "so2"
"28" 40102 400 NA 0 NA NA "Vsewell" "so2"
"29" 40102 500 NA 0 NA NA "Vsewell" "so2"
"30" 40102 600 NA 0 NA NA "Vsewell" "so2"
"31" 40102 700 NA 0 NA NA "Vsewell" "so2"
"32" 40102 800 NA 0 NA NA "Vsewell" "so2"
"33" 40102 900 NA 0 NA NA "Vsewell" "so2"
"34" 40102 1000 NA 5.24 NA NA "Vsewell" "so2"
"35" 40102 1100 NA 2.62 NA NA "Vsewell" "so2"
"36" 40102 1200 NA 0 NA NA "Vsewell" "so2"
"37" 40102 1300 NA 0 NA NA "Vsewell" "so2"
"38" 40102 1400 NA 0 NA NA "Vsewell" "so2"
"39" 40102 1500 NA 0 NA NA "Vsewell" "so2"
"40" 40102 1600 NA 0 NA NA "Vsewell" "so2"
"41" 40102 1700 NA 0 NA NA "Vsewell" "so2"
"42" 40102 1800 NA 0 NA NA "Vsewell" "so2"
"43" 40102 1900 NA 0 NA NA "Vsewell" "so2"
"44" 40102 2000 NA 2.62 NA NA "Vsewell" "so2"
"45" 40102 2100 NA 13.1 NA NA "Vsewell" "so2"
"46" 40102 2200 NA 13.1 NA NA "Vsewell" "so2"
"47" 40102 2300 NA 5.24 NA NA "Vsewell" "so2"
"48" 40103 0 NA 5.24 NA NA "Vsewell" "so2"
"49" 40103 100 NA 0 NA NA "Vsewell" "so2"
"50" 40103 200 NA 0 NA NA "Vsewell" "so2"
"51" 40103 300 NA 0 NA NA "Vsewell" "so2"
"52" 40103 400 NA 0 NA NA "Vsewell" "so2"
"53" 40103 500 NA 0 NA NA "Vsewell" "so2"
"54" 40103 600 NA 0 NA NA "Vsewell" "so2"
"55" 40103 700 NA 0 NA NA "Vsewell" "so2"
"56" 40103 800 NA 0 NA NA "Vsewell" "so2"
"57" 40103 900 NA 0 NA NA "Vsewell" "so2"
"58" 40103 1000 NA 0 NA NA "Vsewell" "so2"
"59" 40103 1100 NA 0 NA NA "Vsewell" "so2"
"60" 40103 1200 NA 0 NA NA "Vsewell" "so2"
"61" 40103 1300 NA 0 NA NA "Vsewell" "so2"
"62" 40103 1400 NA 0 NA NA "Vsewell" "so2"
"63" 40103 1500 NA 0 NA NA "Vsewell" "so2"
"64" 40103 1600 NA 0 NA NA "Vsewell" "so2"
"65" 40103 1700 NA 0 NA NA "Vsewell" "so2"
"66" 40103 1800 NA 0 NA NA "Vsewell" "so2"
"67" 40103 1900 NA 0 NA NA "Vsewell" "so2"
"68" 40103 2000 NA 0 NA NA "Vsewell" "so2"
"69" 40103 2100 NA 0 NA NA "Vsewell" "so2"
"70" 40103 2200 NA 0 NA NA "Vsewell" "so2"
"71" 40103 2300 NA 0 NA NA "Vsewell" "so2"
"72" 40104 0 NA 0 NA NA "Vsewell" "so2"
"73" 40104 100 NA 0 NA NA "Vsewell" "so2"
"74" 40104 200 NA 0 NA NA "Vsewell" "so2"
