"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 160219 100 NA NA 0.16475 NA "colmo" "co"
"2" 160219 200 NA NA 0.146916 NA "colmo" "co"
"3" 160219 300 NA NA 0.1375 NA "colmo" "co"
"4" 160219 400 NA NA 0.1425 NA "colmo" "co"
"5" 160219 500 NA NA 0.147 NA "colmo" "co"
"6" 160219 600 NA NA 0.170166 NA "colmo" "co"
"7" 160219 700 NA NA 0.226416 NA "colmo" "co"
"8" 160219 800 NA NA 0.222333 NA "colmo" "co"
"9" 160219 900 NA NA 0.212 NA "colmo" "co"
"10" 160219 1000 NA NA 0.209 NA "colmo" "co"
"11" 160219 1100 NA NA 0.190583 NA "colmo" "co"
"12" 160219 1200 NA NA 0.197417 NA "colmo" "co"
"13" 160219 1300 NA NA 0.189916 NA "colmo" "co"
"14" 160219 1400 NA NA 0.19725 NA "colmo" "co"
"15" 160219 1500 NA NA 0.190917 NA "colmo" "co"
"16" 160219 1600 NA NA 0.199083 NA "colmo" "co"
"17" 160219 1700 NA NA 0.195916 NA "colmo" "co"
"18" 160219 1800 NA NA 0.183666 NA "colmo" "co"
"19" 160219 1900 NA NA 0.160583 NA "colmo" "co"
"20" 160219 2000 NA NA 0.153666 NA "colmo" "co"
"21" 160219 2100 NA NA 0.195667 NA "colmo" "co"
"22" 160219 2200 NA NA 0.176583 NA "colmo" "co"
"23" 160219 2300 NA NA 0.246416 NA "colmo" "co"
"24" 160220 0 NA NA 0.254583 NA "colmo" "co"
"25" 160220 100 NA NA 0.243166 NA "colmo" "co"
"26" 160220 200 NA NA 0.228083 NA "colmo" "co"
"27" 160220 300 NA NA 0.229416 NA "colmo" "co"
"28" 160220 400 NA NA 0.214083 NA "colmo" "co"
"29" 160220 500 NA NA 0.17925 NA "colmo" "co"
"30" 160220 600 NA NA 0.220416 NA "colmo" "co"
"31" 160220 700 NA NA 0.22225 NA "colmo" "co"
"32" 160220 800 NA NA 0.20675 NA "colmo" "co"
"33" 160220 900 NA NA 0.193 NA "colmo" "co"
"34" 160220 1000 NA NA 0.197333 NA "colmo" "co"
"35" 160220 1100 NA NA 0.190083 NA "colmo" "co"
"36" 160220 1200 NA NA 0.2015 NA "colmo" "co"
"37" 160220 1300 NA NA 0.189167 NA "colmo" "co"
"38" 160220 1400 NA NA 0.182416 NA "colmo" "co"
"39" 160220 1500 NA NA 0.175583 NA "colmo" "co"
"40" 160220 1600 NA NA 0.16575 NA "colmo" "co"
"41" 160220 1700 NA NA 0.147916 NA "colmo" "co"
"42" 160220 1800 NA NA 0.14625 NA "colmo" "co"
"43" 160220 1900 NA NA 0.147583 NA "colmo" "co"
"44" 160220 2000 NA NA 0.13525 NA "colmo" "co"
"45" 160220 2100 NA NA 0.179667 NA "colmo" "co"
"46" 160220 2200 NA NA 0.19625 NA "colmo" "co"
"47" 160220 2300 NA NA 0.226666 NA "colmo" "co"
"48" 160221 0 NA NA 0.18925 NA "colmo" "co"
"49" 160221 100 NA NA 0.216083 NA "colmo" "co"
"50" 160221 200 NA NA 0.319166 NA "colmo" "co"
"51" 160221 300 NA NA 0.164917 NA "colmo" "co"
"52" 160221 400 NA NA 0.1585 NA "colmo" "co"
"53" 160221 500 NA NA 0.175083 NA "colmo" "co"
"54" 160221 600 NA NA 0.190166 NA "colmo" "co"
"55" 160221 700 NA NA 0.177166 NA "colmo" "co"
"56" 160221 800 NA NA 0.176333 NA "colmo" "co"
"57" 160221 900 NA NA 0.149416 NA "colmo" "co"
"58" 160221 1000 NA NA 0.1435 NA "colmo" "co"
"59" 160221 1100 NA NA 0.147 NA "colmo" "co"
"60" 160221 1200 NA NA 0.140333 NA "colmo" "co"
"61" 160221 1300 NA NA 0.139667 NA "colmo" "co"
"62" 160221 1400 NA NA 0.144083 NA "colmo" "co"
"63" 160221 1500 NA NA 0.151917 NA "colmo" "co"
"64" 160221 1600 NA NA 0.141833 NA "colmo" "co"
"65" 160221 1700 NA NA 0.140416 NA "colmo" "co"
"66" 160221 1800 NA NA 0.130416 NA "colmo" "co"
"67" 160221 1900 NA NA 0.138 NA "colmo" "co"
"68" 160221 2000 NA NA 0.169083 NA "colmo" "co"
"69" 160221 2100 NA NA 0.20675 NA "colmo" "co"
"70" 160221 2200 NA NA 0.177333 NA "colmo" "co"
"71" 160221 2300 NA NA 0.163916 NA "colmo" "co"
"72" 160222 0 NA NA 0.166083 NA "colmo" "co"
"73" 160222 100 NA NA 0.154917 NA "colmo" "co"
"74" 160222 200 NA NA 0.149166 NA "colmo" "co"
"75" 160222 300 NA NA 0.14225 NA "colmo" "co"
"76" 160222 400 NA NA 0.159583 NA "colmo" "co"
"77" 160222 500 NA NA 0.142666 NA "colmo" "co"
"78" 160222 600 NA NA 0.1665 NA "colmo" "co"
"79" 160222 700 NA NA 0.16325 NA "colmo" "co"
"80" 160222 800 NA NA 0.147333 NA "colmo" "co"
"81" 160222 900 NA NA 0.1275 NA "colmo" "co"
"82" 160222 1000 NA NA 0.130416 NA "colmo" "co"
"83" 160222 1100 NA NA 0.138083 NA "colmo" "co"
"84" 160222 1200 NA NA 0.125583 NA "colmo" "co"
"85" 160222 1300 NA NA 0.116 NA "colmo" "co"
"86" 160222 1400 NA NA 0.119333 NA "colmo" "co"
"87" 160222 1500 NA NA 0.127333 NA "colmo" "co"
"88" 160222 1600 NA NA 0.1245 NA "colmo" "co"
"89" 160222 1700 NA NA 0.126583 NA "colmo" "co"
"90" 160222 1800 NA NA 0.126083 NA "colmo" "co"
"91" 160222 1900 NA NA 0.121167 NA "colmo" "co"
"92" 160222 2000 NA NA 0.127833 NA "colmo" "co"
"93" 160222 2100 NA NA 0.12825 NA "colmo" "co"
"94" 160222 2200 NA NA 0.14325 NA "colmo" "co"
"95" 160222 2300 NA NA 0.14125 NA "colmo" "co"
"96" 160223 0 NA NA 0.123833 NA "colmo" "co"
"97" 160223 100 NA NA 0.112666 NA "colmo" "co"
"98" 160223 200 NA NA 0.1165 NA "colmo" "co"
"99" 160223 300 NA NA 0.111833 NA "colmo" "co"
"100" 160223 400 NA NA 0.115667 NA "colmo" "co"
"101" 160223 500 NA NA 0.124667 NA "colmo" "co"
"102" 160223 600 NA NA 0.22225 NA "colmo" "co"
"103" 160223 700 NA NA 0.20125 NA "colmo" "co"
"104" 160223 800 NA NA 0.174166 NA "colmo" "co"
"105" 160223 900 NA NA 0.171166 NA "colmo" "co"
"106" 160223 1000 NA NA 0.15075 NA "colmo" "co"
"107" 160223 1100 NA NA 0.144166 NA "colmo" "co"
"108" 160223 1200 NA NA 0.146 NA "colmo" "co"
"109" 160223 1300 NA NA 0.1525 NA "colmo" "co"
"110" 160223 1400 NA NA 0.142416 NA "colmo" "co"
"111" 160223 1500 NA NA 0.135833 NA "colmo" "co"
"112" 160223 1600 NA NA 0.127083 NA "colmo" "co"
"113" 160223 1700 NA NA 0.130333 NA "colmo" "co"
"114" 160223 1800 NA NA 0.11975 NA "colmo" "co"
"115" 160223 1900 NA NA 0.114917 NA "colmo" "co"
"116" 160223 2000 NA NA 0.12525 NA "colmo" "co"
"117" 160223 2100 NA NA 0.14075 NA "colmo" "co"
"118" 160223 2200 NA NA 0.139333 NA "colmo" "co"
"119" 160223 2300 NA NA 0.174666 NA "colmo" "co"
"120" 160224 0 NA NA 0.138833 NA "colmo" "co"
"121" 160224 100 NA NA 0.14925 NA "colmo" "co"
"122" 160224 200 NA NA 0.13625 NA "colmo" "co"
"123" 160224 300 NA NA 0.133 NA "colmo" "co"
"124" 160224 400 NA NA 0.1245 NA "colmo" "co"
"125" 160224 500 NA NA 0.14125 NA "colmo" "co"
"126" 160224 600 NA NA 0.1505 NA "colmo" "co"
"127" 160224 700 NA NA 0.146916 NA "colmo" "co"
"128" 160224 800 NA NA 0.137917 NA "colmo" "co"
"129" 160224 900 NA NA 0.165916 NA "colmo" "co"
"130" 160224 1000 NA NA 0.209583 NA "colmo" "co"
"131" 160224 1100 NA NA 0.1631 NA "colmo" "co"
"132" 160224 1200 NA NA NA NA "colmo" "co"
"133" 160224 1300 NA NA 0.21375 NA "colmo" "co"
"134" 160224 1400 NA NA 0.208333 NA "colmo" "co"
"135" 160224 1500 NA NA 0.206833 NA "colmo" "co"
"136" 160224 1600 NA NA 0.210166 NA "colmo" "co"
"137" 160224 1700 NA NA 0.208333 NA "colmo" "co"
"138" 160224 1800 NA NA 0.216833 NA "colmo" "co"
"139" 160224 1900 NA NA 0.229167 NA "colmo" "co"
"140" 160224 2000 NA NA 0.247833 NA "colmo" "co"
"141" 160224 2100 NA NA 0.24875 NA "colmo" "co"
"142" 160224 2200 NA NA 0.261833 NA "colmo" "co"
"143" 160224 2300 NA NA 0.267666 NA "colmo" "co"
"144" 160225 0 NA NA 0.251166 NA "colmo" "co"
"145" 160225 100 NA NA 0.226833 NA "colmo" "co"
"146" 160225 200 NA NA 0.20075 NA "colmo" "co"
"147" 160225 300 NA NA 0.204583 NA "colmo" "co"
"148" 160225 400 NA NA 0.203583 NA "colmo" "co"
"149" 160225 500 NA NA 0.20875 NA "colmo" "co"
"150" 160225 600 NA NA 0.261499 NA "colmo" "co"
"151" 160225 700 NA NA 0.291833 NA "colmo" "co"
"152" 160225 800 NA NA 0.255916 NA "colmo" "co"
"153" 160225 900 NA NA 0.215916 NA "colmo" "co"
"154" 160225 1000 NA NA 0.211916 NA "colmo" "co"
"155" 160225 1100 NA NA 0.217583 NA "colmo" "co"
"156" 160225 1200 NA NA 0.2195 NA "colmo" "co"
"157" 160225 1300 NA NA 0.22175 NA "colmo" "co"
"158" 160225 1400 NA NA 0.23125 NA "colmo" "co"
"159" 160225 1500 NA NA 0.209333 NA "colmo" "co"
"160" 160225 1600 NA NA 0.181333 NA "colmo" "co"
"161" 160225 1700 NA NA 0.18075 NA "colmo" "co"
"162" 160225 1800 NA NA 0.173916 NA "colmo" "co"
"163" 160225 1900 NA NA 0.1865 NA "colmo" "co"
"164" 160225 2000 NA NA 0.200083 NA "colmo" "co"
"165" 160225 2100 NA NA 0.149 NA "colmo" "co"
"166" 160225 2200 NA NA 0.173416 NA "colmo" "co"
"167" 160225 2300 NA NA 0.154833 NA "colmo" "co"
"168" 160226 0 NA NA 0.164417 NA "colmo" "co"
"169" 160226 100 NA NA 0.150167 NA "colmo" "co"
"170" 160226 200 NA NA 0.150666 NA "colmo" "co"
"171" 160226 300 NA NA 0.165916 NA "colmo" "co"
"172" 160226 400 NA NA 0.168083 NA "colmo" "co"
"173" 160226 500 NA NA 0.158166 NA "colmo" "co"
"174" 160226 600 NA NA 0.214083 NA "colmo" "co"
"175" 160226 700 NA NA 0.19075 NA "colmo" "co"
"176" 160226 800 NA NA 0.1985 NA "colmo" "co"
"177" 160226 900 NA NA 0.2095 NA "colmo" "co"
"178" 160226 1000 NA NA 0.219833 NA "colmo" "co"
"179" 160226 1100 NA NA 0.202 NA "colmo" "co"
"180" 160226 1200 NA NA 0.197545 NA "colmo" "co"
"181" 160226 1300 NA NA 0.18 NA "colmo" "co"
"182" 160226 1400 NA NA 0.181666 NA "colmo" "co"
"183" 160226 1500 NA NA 0.184083 NA "colmo" "co"
"184" 160226 1600 NA NA 0.182 NA "colmo" "co"
"185" 160226 1700 NA NA 0.1855 NA "colmo" "co"
"186" 160226 1800 NA NA 0.191 NA "colmo" "co"
"187" 160226 1900 NA NA 0.184083 NA "colmo" "co"
"188" 160226 2000 NA NA 0.1855 NA "colmo" "co"
"189" 160226 2100 NA NA 0.202 NA "colmo" "co"
"190" 160226 2200 NA NA 0.216333 NA "colmo" "co"
"191" 160226 2300 NA NA 0.237833 NA "colmo" "co"
"192" 160227 0 NA NA 0.20375 NA "colmo" "co"
"193" 160227 100 NA NA 0.21975 NA "colmo" "co"
"194" 160227 200 NA NA 0.210917 NA "colmo" "co"
"195" 160227 300 NA NA 0.199583 NA "colmo" "co"
"196" 160227 400 NA NA 0.199333 NA "colmo" "co"
"197" 160227 500 NA NA 0.188833 NA "colmo" "co"
"198" 160227 600 NA NA 0.213333 NA "colmo" "co"
"199" 160227 700 NA NA 0.25225 NA "colmo" "co"
"200" 160227 800 NA NA 0.270666 NA "colmo" "co"
"201" 160227 900 NA NA 0.21875 NA "colmo" "co"
"202" 160227 1000 NA NA 0.1985 NA "colmo" "co"
"203" 160227 1100 NA NA 0.18575 NA "colmo" "co"
"204" 160227 1200 NA NA 0.186333 NA "colmo" "co"
"205" 160227 1300 NA NA 0.21025 NA "colmo" "co"
"206" 160227 1400 NA NA 0.192166 NA "colmo" "co"
"207" 160227 1500 NA NA 0.183083 NA "colmo" "co"
"208" 160227 1600 NA NA 0.180917 NA "colmo" "co"
"209" 160227 1700 NA NA 0.171166 NA "colmo" "co"
"210" 160227 1800 NA NA 0.176083 NA "colmo" "co"
"211" 160227 1900 NA NA 0.707999 NA "colmo" "co"
"212" 160227 2000 NA NA 1.17833 NA "colmo" "co"
"213" 160227 2100 NA NA 0.474583 NA "colmo" "co"
"214" 160227 2200 NA NA 0.335083 NA "colmo" "co"
"215" 160227 2300 NA NA 0.281 NA "colmo" "co"
"216" 160228 0 NA NA 0.227333 NA "colmo" "co"
"217" 160228 100 NA NA 0.215083 NA "colmo" "co"
"218" 160228 200 NA NA 0.228166 NA "colmo" "co"
"219" 160228 300 NA NA 0.22675 NA "colmo" "co"
"220" 160228 400 NA NA 0.347 NA "colmo" "co"
"221" 160228 500 NA NA 0.204916 NA "colmo" "co"
"222" 160228 600 NA NA 0.207916 NA "colmo" "co"
"223" 160228 700 NA NA 0.222833 NA "colmo" "co"
"224" 160228 800 NA NA 0.260416 NA "colmo" "co"
"225" 160228 900 NA NA 0.239666 NA "colmo" "co"
"226" 160228 1000 NA NA 0.19925 NA "colmo" "co"
"227" 160228 1100 NA NA 0.197666 NA "colmo" "co"
"228" 160228 1200 NA NA 0.195416 NA "colmo" "co"
"229" 160228 1300 NA NA 0.2 NA "colmo" "co"
"230" 160228 1400 NA NA 0.18225 NA "colmo" "co"
"231" 160228 1500 NA NA 0.192833 NA "colmo" "co"
"232" 160228 1600 NA NA 0.18475 NA "colmo" "co"
"233" 160228 1700 NA NA 0.172416 NA "colmo" "co"
"234" 160228 1800 NA NA 0.165667 NA "colmo" "co"
"235" 160228 1900 NA NA 0.165916 NA "colmo" "co"
"236" 160228 2000 NA NA 0.199167 NA "colmo" "co"
"237" 160228 2100 NA NA 0.229916 NA "colmo" "co"
"238" 160228 2200 NA NA 0.200666 NA "colmo" "co"
"239" 160228 2300 NA NA 0.210583 NA "colmo" "co"
"240" 160229 0 NA NA 0.202833 NA "colmo" "co"
"241" 160229 100 NA NA 0.175583 NA "colmo" "co"
"242" 160229 200 NA NA 0.176083 NA "colmo" "co"
"243" 160229 300 NA NA 0.182916 NA "colmo" "co"
"244" 160229 400 NA NA 0.1785 NA "colmo" "co"
"245" 160229 500 NA NA 0.182916 NA "colmo" "co"
"246" 160229 600 NA NA 0.264916 NA "colmo" "co"
"247" 160229 700 NA NA 0.242333 NA "colmo" "co"
"248" 160229 800 NA NA 0.221333 NA "colmo" "co"
"249" 160229 900 NA NA 0.179916 NA "colmo" "co"
"250" 160229 1000 NA NA 0.196833 NA "colmo" "co"
"251" 160229 1100 NA NA 0.187 NA "colmo" "co"
"252" 160229 1200 NA NA 0.1775 NA "colmo" "co"
"253" 160229 1300 NA NA 0.160583 NA "colmo" "co"
"254" 160229 1400 NA NA 0.16975 NA "colmo" "co"
"255" 160229 1500 NA NA 0.167083 NA "colmo" "co"
"256" 160229 1600 NA NA 0.161417 NA "colmo" "co"
"257" 160229 1700 NA NA 0.158166 NA "colmo" "co"
"258" 160229 1800 NA NA 0.172083 NA "colmo" "co"
"259" 160229 1900 NA NA 0.164583 NA "colmo" "co"
"260" 160229 2000 NA NA 0.15375 NA "colmo" "co"
"261" 160229 2100 NA NA 0.182166 NA "colmo" "co"
"262" 160229 2200 NA NA 0.16375 NA "colmo" "co"
"263" 160229 2300 NA NA 0.149416 NA "colmo" "co"
"264" 160301 0 NA NA 0.148083 NA "colmo" "co"
"265" 160301 100 NA NA 0.147583 NA "colmo" "co"
"266" 160301 200 NA NA 0.15775 NA "colmo" "co"
"267" 160301 300 NA NA 0.151583 NA "colmo" "co"
"268" 160301 400 NA NA 0.16275 NA "colmo" "co"
"269" 160301 500 NA NA 0.1775 NA "colmo" "co"
"270" 160301 600 NA NA 0.215167 NA "colmo" "co"
"271" 160301 700 NA NA 0.21875 NA "colmo" "co"
"272" 160301 800 NA NA 0.221833 NA "colmo" "co"
"273" 160301 900 NA NA 0.20775 NA "colmo" "co"
"274" 160301 1000 NA NA 0.24325 NA "colmo" "co"
"275" 160301 1100 NA NA NA NA "colmo" "co"
"276" 160301 1200 NA NA NA NA "colmo" "co"
"277" 160301 1300 NA NA 0.2925 NA "colmo" "co"
"278" 160301 1400 NA NA 0.300333 NA "colmo" "co"
"279" 160301 1500 NA NA 0.298583 NA "colmo" "co"
"280" 160301 1600 NA NA 0.34075 NA "colmo" "co"
"281" 160301 1700 NA NA 0.205583 NA "colmo" "co"
"282" 160301 1800 NA NA 0.20225 NA "colmo" "co"
"283" 160301 1900 NA NA 0.202333 NA "colmo" "co"
"284" 160301 2000 NA NA 0.205583 NA "colmo" "co"
"285" 160301 2100 NA NA 0.21025 NA "colmo" "co"
"286" 160301 2200 NA NA 0.240583 NA "colmo" "co"
"287" 160301 2300 NA NA 0.20275 NA "colmo" "co"
"288" 160302 0 NA NA 0.200083 NA "colmo" "co"
"289" 160302 100 NA NA 0.204833 NA "colmo" "co"
"290" 160302 200 NA NA 0.207833 NA "colmo" "co"
"291" 160302 300 NA NA 0.204833 NA "colmo" "co"
