"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 160201 100 NA NA 2.031 NA "junta_de_vecinos" "hct"
"2" 160201 200 NA NA 1.941 NA "junta_de_vecinos" "hct"
"3" 160201 300 NA NA 1.934 NA "junta_de_vecinos" "hct"
"4" 160201 400 NA NA 1.975 NA "junta_de_vecinos" "hct"
"5" 160201 500 NA NA 2.05 NA "junta_de_vecinos" "hct"
"6" 160201 600 NA NA 2.173 NA "junta_de_vecinos" "hct"
"7" 160201 700 NA NA 2.238 NA "junta_de_vecinos" "hct"
"8" 160201 800 NA NA 2.124 NA "junta_de_vecinos" "hct"
"9" 160201 900 NA NA 1.965 NA "junta_de_vecinos" "hct"
"10" 160201 1000 NA NA 1.867 NA "junta_de_vecinos" "hct"
"11" 160201 1100 NA NA 1.902 NA "junta_de_vecinos" "hct"
"12" 160201 1200 NA NA 1.843 NA "junta_de_vecinos" "hct"
"13" 160201 1300 NA NA 1.762 NA "junta_de_vecinos" "hct"
"14" 160201 1400 NA NA 1.712 NA "junta_de_vecinos" "hct"
"15" 160201 1500 NA NA 1.789 NA "junta_de_vecinos" "hct"
"16" 160201 1600 NA NA 1.768 NA "junta_de_vecinos" "hct"
"17" 160201 1700 NA NA 1.806 NA "junta_de_vecinos" "hct"
"18" 160201 1800 NA NA 1.846 NA "junta_de_vecinos" "hct"
"19" 160201 1900 NA NA 1.887 NA "junta_de_vecinos" "hct"
"20" 160201 2000 NA NA 1.952 NA "junta_de_vecinos" "hct"
"21" 160201 2100 NA NA 1.809 NA "junta_de_vecinos" "hct"
"22" 160201 2200 NA NA 1.949 NA "junta_de_vecinos" "hct"
"23" 160201 2300 NA NA 1.93 NA "junta_de_vecinos" "hct"
"24" 160202 0 NA NA 1.907 NA "junta_de_vecinos" "hct"
"25" 160202 100 NA NA 1.952 NA "junta_de_vecinos" "hct"
"26" 160202 200 NA NA 1.945 NA "junta_de_vecinos" "hct"
"27" 160202 300 NA NA 1.939 NA "junta_de_vecinos" "hct"
"28" 160202 400 NA NA 1.952 NA "junta_de_vecinos" "hct"
"29" 160202 500 NA NA 1.978 NA "junta_de_vecinos" "hct"
"30" 160202 600 NA NA 2.005 NA "junta_de_vecinos" "hct"
"31" 160202 700 NA NA 2.083 NA "junta_de_vecinos" "hct"
"32" 160202 800 NA NA 1.988 NA "junta_de_vecinos" "hct"
"33" 160202 900 NA NA 1.986 NA "junta_de_vecinos" "hct"
"34" 160202 1000 NA NA 1.973 NA "junta_de_vecinos" "hct"
"35" 160202 1100 NA NA 1.89 NA "junta_de_vecinos" "hct"
"36" 160202 1200 NA NA 1.789 NA "junta_de_vecinos" "hct"
