"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 40101 0 NA 52.5 NA NA "la_cruz_melon" "mp10"
"2" 40201 0 NA 50.4 NA NA "la_cruz_melon" "mp10"
"3" 40301 0 NA 55.5 NA NA "la_cruz_melon" "mp10"
"4" 40401 0 NA 43.4 NA NA "la_cruz_melon" "mp10"
"5" 40501 0 NA 67.3 NA NA "la_cruz_melon" "mp10"
"6" 40601 0 NA 51.2 NA NA "la_cruz_melon" "mp10"
"7" 40701 0 NA 39.2727 NA NA "la_cruz_melon" "mp10"
"8" 40801 0 NA 39.7 NA NA "la_cruz_melon" "mp10"
"9" 40901 0 NA 34.5455 NA NA "la_cruz_melon" "mp10"
"10" 41001 0 NA 37 NA NA "la_cruz_melon" "mp10"
"11" 41101 0 NA 41.2 NA NA "la_cruz_melon" "mp10"
"12" 41201 0 NA 54.5455 NA NA "la_cruz_melon" "mp10"
"13" 50101 0 NA 66.2727 NA NA "la_cruz_melon" "mp10"
"14" 50201 0 NA 59 NA NA "la_cruz_melon" "mp10"
"15" 50301 0 NA 53.1 NA NA "la_cruz_melon" "mp10"
"16" 50401 0 NA 59.7 NA NA "la_cruz_melon" "mp10"
"17" 50501 0 NA 41.4 NA NA "la_cruz_melon" "mp10"
"18" 50601 0 NA 37.9 NA NA "la_cruz_melon" "mp10"
"19" 50701 0 NA 49.1 NA NA "la_cruz_melon" "mp10"
"20" 50801 0 NA 35.2727 NA NA "la_cruz_melon" "mp10"
"21" 50901 0 NA 34.6 NA NA "la_cruz_melon" "mp10"
"22" 51001 0 NA 40 NA NA "la_cruz_melon" "mp10"
"23" 51101 0 NA 39.1 NA NA "la_cruz_melon" "mp10"
"24" 51201 0 NA 40.8 NA NA "la_cruz_melon" "mp10"
"25" 60101 0 NA 47.3636 NA NA "la_cruz_melon" "mp10"
"26" 60201 0 NA 51 NA NA "la_cruz_melon" "mp10"
"27" 60301 0 NA 60.9 NA NA "la_cruz_melon" "mp10"
"28" 60401 0 NA 64.9091 NA NA "la_cruz_melon" "mp10"
"29" 60501 0 NA 77.4545 NA NA "la_cruz_melon" "mp10"
"30" 60601 0 NA 45.1 NA NA "la_cruz_melon" "mp10"
"31" 60701 0 NA 33.3 NA NA "la_cruz_melon" "mp10"
"32" 60801 0 NA 38.9 NA NA "la_cruz_melon" "mp10"
"33" 60901 0 NA 42.8 NA NA "la_cruz_melon" "mp10"
"34" 61001 0 NA 35.5424 NA NA "la_cruz_melon" "mp10"
"35" 61101 0 NA 42.5913 NA NA "la_cruz_melon" "mp10"
"36" 61201 0 NA 48.9208 NA NA "la_cruz_melon" "mp10"
"37" 70101 0 NA 52.9678 NA NA "la_cruz_melon" "mp10"
"38" 70201 0 NA 45.5803 NA NA "la_cruz_melon" "mp10"
"39" 70301 0 NA 56.7503 NA NA "la_cruz_melon" "mp10"
"40" 70401 0 NA 62.8293 NA NA "la_cruz_melon" "mp10"
"41" 70501 0 NA 78.5113 NA NA "la_cruz_melon" "mp10"
"42" 70601 0 NA 56.5394 NA NA "la_cruz_melon" "mp10"
"43" 70701 0 NA 47.6094 NA NA "la_cruz_melon" "mp10"
"44" 70801 0 NA 45.4992 NA NA "la_cruz_melon" "mp10"
"45" 70901 0 NA 40.765 NA NA "la_cruz_melon" "mp10"
"46" 71001 0 NA 39.4511 NA NA "la_cruz_melon" "mp10"
"47" 71101 0 NA 42.043 NA NA "la_cruz_melon" "mp10"
"48" 71201 0 NA 39.3635 NA NA "la_cruz_melon" "mp10"
"49" 80101 0 NA 40.5651 NA NA "la_cruz_melon" "mp10"
"50" 80201 0 NA 39.7103 NA NA "la_cruz_melon" "mp10"
"51" 80301 0 NA 44.4939 NA NA "la_cruz_melon" "mp10"
"52" 80401 0 NA 48.2328 NA NA "la_cruz_melon" "mp10"
"53" 80501 0 NA 60.6058 NA NA "la_cruz_melon" "mp10"
"54" 80601 0 NA 49.1813 NA NA "la_cruz_melon" "mp10"
"55" 80701 0 NA 39.7392 NA NA "la_cruz_melon" "mp10"
"56" 80801 0 NA 31.9081 NA NA "la_cruz_melon" "mp10"
"57" 80901 0 NA 34.8414 NA NA "la_cruz_melon" "mp10"
"58" 81001 0 NA 37.328 NA NA "la_cruz_melon" "mp10"
"59" 81101 0 NA 36.5577 NA NA "la_cruz_melon" "mp10"
"60" 81201 0 NA 41.3548 NA NA "la_cruz_melon" "mp10"
"61" 90101 0 NA 48.6075 NA NA "la_cruz_melon" "mp10"
"62" 90201 0 NA 48.0112 NA NA "la_cruz_melon" "mp10"
"63" 90301 0 NA 48.298 NA NA "la_cruz_melon" "mp10"
"64" 90401 0 NA 53.9312 NA NA "la_cruz_melon" "mp10"
"65" 90501 0 NA 59.2249 NA NA "la_cruz_melon" "mp10"
"66" 90601 0 NA 63.9929 NA NA "la_cruz_melon" "mp10"
"67" 90701 0 NA 40.5323 NA NA "la_cruz_melon" "mp10"
"68" 90801 0 NA 38.4994 NA NA "la_cruz_melon" "mp10"
"69" 90901 0 NA 33.9079 NA NA "la_cruz_melon" "mp10"
"70" 91001 0 NA 40.9178 NA NA "la_cruz_melon" "mp10"
"71" 91101 0 NA 34.5973 NA NA "la_cruz_melon" "mp10"
"72" 91201 0 NA 40.9418 NA NA "la_cruz_melon" "mp10"
