"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 160301 100 NA NA 1.318 NA "las_gaviotas" "hct"
"2" 160301 200 NA NA 1.318 NA "las_gaviotas" "hct"
"3" 160301 300 NA NA 1.318 NA "las_gaviotas" "hct"
"4" 160301 400 NA NA 1.318 NA "las_gaviotas" "hct"
"5" 160301 500 NA NA 1.327 NA "las_gaviotas" "hct"
"6" 160301 600 NA NA 1.324 NA "las_gaviotas" "hct"
"7" 160301 700 NA NA 1.318 NA "las_gaviotas" "hct"
"8" 160301 800 NA NA 1.333 NA "las_gaviotas" "hct"
"9" 160301 900 NA NA 1.324 NA "las_gaviotas" "hct"
"10" 160301 1000 NA NA 1.327 NA "las_gaviotas" "hct"
"11" 160301 1100 NA NA 1.349 NA "las_gaviotas" "hct"
"12" 160301 1200 NA NA 1.319 NA "las_gaviotas" "hct"
"13" 160301 1300 NA NA 1.318 NA "las_gaviotas" "hct"
"14" 160301 1400 NA NA 1.318 NA "las_gaviotas" "hct"
"15" 160301 1500 NA NA 1.318 NA "las_gaviotas" "hct"
"16" 160301 1600 NA NA 1.318 NA "las_gaviotas" "hct"
"17" 160301 1700 NA NA 1.319 NA "las_gaviotas" "hct"
"18" 160301 1800 NA NA 1.319 NA "las_gaviotas" "hct"
"19" 160301 1900 NA NA 1.323 NA "las_gaviotas" "hct"
"20" 160301 2000 NA NA 1.321 NA "las_gaviotas" "hct"
"21" 160301 2100 NA NA 1.341 NA "las_gaviotas" "hct"
"22" 160301 2200 NA NA 1.36 NA "las_gaviotas" "hct"
"23" 160301 2300 NA NA 1.319 NA "las_gaviotas" "hct"
"24" 160302 0 NA NA 1.319 NA "las_gaviotas" "hct"
"25" 160302 100 NA NA 1.323 NA "las_gaviotas" "hct"
"26" 160302 200 NA NA 1.321 NA "las_gaviotas" "hct"
"27" 160302 300 NA NA 1.321 NA "las_gaviotas" "hct"
"28" 160302 400 NA NA 1.32 NA "las_gaviotas" "hct"
"29" 160302 500 NA NA 1.32 NA "las_gaviotas" "hct"
"30" 160302 600 NA NA 1.327 NA "las_gaviotas" "hct"
"31" 160302 700 NA NA 1.32 NA "las_gaviotas" "hct"
"32" 160302 800 NA NA 1.32 NA "las_gaviotas" "hct"
"33" 160302 900 NA NA 1.322 NA "las_gaviotas" "hct"
