"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 180915 100 NA NA 1.829 NA "loncura" "hct"
"2" 180915 200 NA NA 1.841 NA "loncura" "hct"
"3" 180915 300 NA NA 1.862 NA "loncura" "hct"
"4" 180915 400 NA NA 1.858 NA "loncura" "hct"
"5" 180915 500 NA NA 1.896 NA "loncura" "hct"
"6" 180915 600 NA NA 1.857 NA "loncura" "hct"
"7" 180915 700 NA NA 1.826 NA "loncura" "hct"
"8" 180915 800 NA NA 1.81 NA "loncura" "hct"
"9" 180915 900 NA NA 1.86 NA "loncura" "hct"
"10" 180915 1000 NA NA 1.927 NA "loncura" "hct"
"11" 180915 1100 NA NA 1.893 NA "loncura" "hct"
"12" 180915 1200 NA NA 1.858 NA "loncura" "hct"
"13" 180915 1300 NA NA 1.836 NA "loncura" "hct"
"14" 180915 1400 NA NA 1.86 NA "loncura" "hct"
"15" 180915 1500 NA NA 1.847 NA "loncura" "hct"
"16" 180915 1600 NA NA 1.878 NA "loncura" "hct"
"17" 180915 1700 NA NA 1.867 NA "loncura" "hct"
"18" 180915 1800 NA NA 1.893 NA "loncura" "hct"
"19" 180915 1900 NA NA 1.901 NA "loncura" "hct"
"20" 180915 2000 NA NA 2.145 NA "loncura" "hct"
"21" 180915 2100 NA NA 2.073 NA "loncura" "hct"
"22" 180915 2200 NA NA 1.903 NA "loncura" "hct"
"23" 180915 2300 NA NA 1.885 NA "loncura" "hct"
"24" 180916 0 NA NA 1.857 NA "loncura" "hct"
"25" 180916 100 NA NA 1.881 NA "loncura" "hct"
"26" 180916 200 NA NA 1.865 NA "loncura" "hct"
"27" 180916 300 NA NA 1.903 NA "loncura" "hct"
"28" 180916 400 NA NA 1.885 NA "loncura" "hct"
"29" 180916 500 NA NA 1.886 NA "loncura" "hct"
"30" 180916 600 NA NA 2.102 NA "loncura" "hct"
"31" 180916 700 NA NA 1.888 NA "loncura" "hct"
"32" 180916 800 NA NA 1.881 NA "loncura" "hct"
