"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 71222 100 NA 0.0819999 NA NA "manzanar" "co"
"2" 71222 200 NA 0.049 NA NA "manzanar" "co"
"3" 71222 300 NA 0.028 NA NA "manzanar" "co"
"4" 71222 400 NA 0.011 NA NA "manzanar" "co"
"5" 71222 500 NA 0.013 NA NA "manzanar" "co"
"6" 71222 600 NA 0.025 NA NA "manzanar" "co"
"7" 71222 700 NA 0.029 NA NA "manzanar" "co"
"8" 71222 800 NA 0.147 NA NA "manzanar" "co"
"9" 71222 900 NA 0.126 NA NA "manzanar" "co"
"10" 71222 1000 NA 0.127 NA NA "manzanar" "co"
"11" 71222 1100 NA 0.114 NA NA "manzanar" "co"
"12" 71222 1200 NA 0.0779998 NA NA "manzanar" "co"
"13" 71222 1300 NA 0.139 NA NA "manzanar" "co"
"14" 71222 1400 NA 0.108 NA NA "manzanar" "co"
"15" 71222 1500 NA 0.081 NA NA "manzanar" "co"
"16" 71222 1600 NA 0.0669998 NA NA "manzanar" "co"
"17" 71222 1700 NA 0.054 NA NA "manzanar" "co"
"18" 71222 1800 NA 0.047 NA NA "manzanar" "co"
"19" 71222 1900 NA 0.071 NA NA "manzanar" "co"
"20" 71222 2000 NA 0.086 NA NA "manzanar" "co"
"21" 71222 2100 NA 0.0919999 NA NA "manzanar" "co"
"22" 71222 2200 NA 0.074 NA NA "manzanar" "co"
"23" 71222 2300 NA 0.12 NA NA "manzanar" "co"
"24" 71223 0 NA 0.192 NA NA "manzanar" "co"
"25" 71223 100 NA 0.166 NA NA "manzanar" "co"
"26" 71223 200 NA 0.149 NA NA "manzanar" "co"
"27" 71223 300 NA 0.149 NA NA "manzanar" "co"
"28" 71223 400 NA 0.139 NA NA "manzanar" "co"
"29" 71223 500 NA 0.145 NA NA "manzanar" "co"
"30" 71223 600 NA 0.166 NA NA "manzanar" "co"
"31" 71223 700 NA 0.183 NA NA "manzanar" "co"
"32" 71223 800 NA 0.146 NA NA "manzanar" "co"
"33" 71223 900 NA 0.122 NA NA "manzanar" "co"
"34" 71223 1000 NA 0.0929998 NA NA "manzanar" "co"
"35" 71223 1100 NA 0.0749998 NA NA "manzanar" "co"
"36" 71223 1200 NA 0.0549999 NA NA "manzanar" "co"
"37" 71223 1300 NA 0.034 NA NA "manzanar" "co"
"38" 71223 1400 NA 0.02 NA NA "manzanar" "co"
"39" 71223 1500 NA 0.013 NA NA "manzanar" "co"
"40" 71223 1600 NA 0.013 NA NA "manzanar" "co"
"41" 71223 1700 NA 0.013 NA NA "manzanar" "co"
"42" 71223 1800 NA 0.00899999 NA NA "manzanar" "co"
"43" 71223 1900 NA 0.014 NA NA "manzanar" "co"
"44" 71223 2000 NA 0.031 NA NA "manzanar" "co"
"45" 71223 2100 NA 0.0459999 NA NA "manzanar" "co"
"46" 71223 2200 NA 0.0549999 NA NA "manzanar" "co"
"47" 71223 2300 NA 0.0599999 NA NA "manzanar" "co"
"48" 71224 0 NA 0.11 NA NA "manzanar" "co"
"49" 71224 100 NA 0.109 NA NA "manzanar" "co"
"50" 71224 200 NA 0.079 NA NA "manzanar" "co"
"51" 71224 300 NA 0.0869999 NA NA "manzanar" "co"
"52" 71224 400 NA 0.0929998 NA NA "manzanar" "co"
"53" 71224 500 NA 0.0779998 NA NA "manzanar" "co"
"54" 71224 600 NA 0.0829998 NA NA "manzanar" "co"
"55" 71224 700 NA 0.0979998 NA NA "manzanar" "co"
"56" 71224 800 NA 0.0749998 NA NA "manzanar" "co"
"57" 71224 900 NA 0.0549999 NA NA "manzanar" "co"
"58" 71224 1000 NA 0.051 NA NA "manzanar" "co"
"59" 71224 1100 NA 0.036 NA NA "manzanar" "co"
"60" 71224 1200 NA 0.029 NA NA "manzanar" "co"
"61" 71224 1300 NA 0.016 NA NA "manzanar" "co"
"62" 71224 1400 NA 0.00999999 NA NA "manzanar" "co"
"63" 71224 1500 NA 0 NA NA "manzanar" "co"
"64" 71224 1600 NA 0.003 NA NA "manzanar" "co"
"65" 71224 1700 NA 0.018 NA NA "manzanar" "co"
"66" 71224 1800 NA 0.037 NA NA "manzanar" "co"
"67" 71224 1900 NA 0.049 NA NA "manzanar" "co"
"68" 71224 2000 NA 0.059 NA NA "manzanar" "co"
"69" 71224 2100 NA 0.073 NA NA "manzanar" "co"
"70" 71224 2200 NA 0.058 NA NA "manzanar" "co"
"71" 71224 2300 NA 0.054 NA NA "manzanar" "co"
"72" 71225 0 NA 0.104 NA NA "manzanar" "co"
"73" 71225 100 NA 0.104 NA NA "manzanar" "co"
"74" 71225 200 NA 0.099 NA NA "manzanar" "co"
"75" 71225 300 NA 0.102 NA NA "manzanar" "co"
"76" 71225 400 NA 0.103 NA NA "manzanar" "co"
"77" 71225 500 NA 0.0999998 NA NA "manzanar" "co"
"78" 71225 600 NA 0.103 NA NA "manzanar" "co"
"79" 71225 700 NA 0.102 NA NA "manzanar" "co"
"80" 71225 800 NA 0.0899998 NA NA "manzanar" "co"
"81" 71225 900 NA 0.0879998 NA NA "manzanar" "co"
"82" 71225 1000 NA 0.073 NA NA "manzanar" "co"
"83" 71225 1100 NA 0.071 NA NA "manzanar" "co"
"84" 71225 1200 NA 0.061 NA NA "manzanar" "co"
"85" 71225 1300 NA 0.034 NA NA "manzanar" "co"
"86" 71225 1400 NA 0.014 NA NA "manzanar" "co"
"87" 71225 1500 NA 0 NA NA "manzanar" "co"
"88" 71225 1600 NA 0.016 NA NA "manzanar" "co"
"89" 71225 1700 NA 0.025 NA NA "manzanar" "co"
"90" 71225 1800 NA 0.021 NA NA "manzanar" "co"
"91" 71225 1900 NA 0.00899999 NA NA "manzanar" "co"
