"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 150224 100 NA 18.7817 NA NA "quintero" "mp10"
"2" 150224 200 NA 18.7905 NA NA "quintero" "mp10"
"3" 150224 300 NA 18.7608 NA NA "quintero" "mp10"
"4" 150224 400 NA 18.809 NA NA "quintero" "mp10"
"5" 150224 500 NA 18.8538 NA NA "quintero" "mp10"
"6" 150224 600 NA 18.8213 NA NA "quintero" "mp10"
"7" 150224 700 NA 18.7673 NA NA "quintero" "mp10"
"8" 150224 800 NA 18.7228 NA NA "quintero" "mp10"
"9" 150224 900 NA 18.7038 NA NA "quintero" "mp10"
"10" 150224 1000 NA 18.7902 NA NA "quintero" "mp10"
"11" 150224 1100 NA 18.6032 NA NA "quintero" "mp10"
"12" 150224 1200 NA 18.7073 NA NA "quintero" "mp10"
"13" 150224 1300 NA 19.1495 NA NA "quintero" "mp10"
"14" 150224 1400 NA 19.6355 NA NA "quintero" "mp10"
"15" 150224 1500 NA 19.4482 NA NA "quintero" "mp10"
"16" 150224 1600 NA 20.2343 NA NA "quintero" "mp10"
"17" 150224 1700 NA 19.0878 NA NA "quintero" "mp10"
"18" 150224 1800 NA 18.7515 NA NA "quintero" "mp10"
"19" 150224 1900 NA 18.8725 NA NA "quintero" "mp10"
"20" 150224 2000 NA 18.8693 NA NA "quintero" "mp10"
"21" 150224 2100 NA 18.9172 NA NA "quintero" "mp10"
"22" 150224 2200 NA 18.9013 NA NA "quintero" "mp10"
"23" 150224 2300 NA 18.897 NA NA "quintero" "mp10"
"24" 150225 0 NA 18.9116 NA NA "quintero" "mp10"
"25" 150225 100 NA 18.8503 NA NA "quintero" "mp10"
"26" 150225 200 NA 18.8495 NA NA "quintero" "mp10"
"27" 150225 300 NA 18.8143 NA NA "quintero" "mp10"
"28" 150225 400 NA 18.7882 NA NA "quintero" "mp10"
"29" 150225 500 NA 18.823 NA NA "quintero" "mp10"
"30" 150225 600 NA 18.7712 NA NA "quintero" "mp10"
"31" 150225 700 NA 18.8261 NA NA "quintero" "mp10"
"32" 150225 800 NA 19.3943 NA NA "quintero" "mp10"
"33" 150225 900 NA 20.3263 NA NA "quintero" "mp10"
"34" 150225 1000 NA 19.9382 NA NA "quintero" "mp10"
"35" 150225 1100 NA 19.9165 NA NA "quintero" "mp10"
"36" 150225 1200 NA 22.293 NA NA "quintero" "mp10"
"37" 150225 1300 NA 25.0517 NA NA "quintero" "mp10"
"38" 150225 1400 NA 24.5135 NA NA "quintero" "mp10"
"39" 150225 1500 NA 25.2367 NA NA "quintero" "mp10"
"40" 150225 1600 NA 25.373 NA NA "quintero" "mp10"
"41" 150225 1700 NA 23.5742 NA NA "quintero" "mp10"
"42" 150225 1800 NA 19.3245 NA NA "quintero" "mp10"
"43" 150225 1900 NA 18.66 NA NA "quintero" "mp10"
"44" 150225 2000 NA 18.5968 NA NA "quintero" "mp10"
"45" 150225 2100 NA 18.609 NA NA "quintero" "mp10"
"46" 150225 2200 NA 18.5912 NA NA "quintero" "mp10"
"47" 150225 2300 NA 18.6075 NA NA "quintero" "mp10"
"48" 150226 0 NA 18.5555 NA NA "quintero" "mp10"
"49" 150226 100 NA 18.5915 NA NA "quintero" "mp10"
"50" 150226 200 NA 18.5973 NA NA "quintero" "mp10"
"51" 150226 300 NA 18.5817 NA NA "quintero" "mp10"
"52" 150226 400 NA 18.5678 NA NA "quintero" "mp10"
"53" 150226 500 NA 18.6095 NA NA "quintero" "mp10"
"54" 150226 600 NA 18.5917 NA NA "quintero" "mp10"
"55" 150226 700 NA 18.5842 NA NA "quintero" "mp10"
"56" 150226 800 NA 18.5462 NA NA "quintero" "mp10"
"57" 150226 900 NA 18.5682 NA NA "quintero" "mp10"
"58" 150226 1000 NA 19.9487 NA NA "quintero" "mp10"
"59" 150226 1100 NA 21.2082 NA NA "quintero" "mp10"
"60" 150226 1200 NA 21.2903 NA NA "quintero" "mp10"
"61" 150226 1300 NA 22.0067 NA NA "quintero" "mp10"
