"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 141031 100 NA NA 25.4948 NA "quintero" "o3"
"2" 141031 200 NA NA 22.1371 NA "quintero" "o3"
"3" 141031 300 NA NA 10.1045 NA "quintero" "o3"
"4" 141031 400 NA NA 5.43214 NA "quintero" "o3"
"5" 141031 500 NA NA 7.5874 NA "quintero" "o3"
"6" 141031 600 NA NA 7.47883 NA "quintero" "o3"
"7" 141031 700 NA NA 9.73286 NA "quintero" "o3"
"8" 141031 800 NA NA 10.8737 NA "quintero" "o3"
"9" 141031 900 NA NA 17.3698 NA "quintero" "o3"
"10" 141031 1000 NA NA 23.657 NA "quintero" "o3"
"11" 141031 1100 NA NA 24.6202 NA "quintero" "o3"
"12" 141031 1200 NA NA 25.8348 NA "quintero" "o3"
"13" 141031 1300 NA NA 27.3728 NA "quintero" "o3"
"14" 141031 1400 NA NA 27.8652 NA "quintero" "o3"
"15" 141031 1500 NA NA 28.07 NA "quintero" "o3"
"16" 141031 1600 NA NA 28.2756 NA "quintero" "o3"
"17" 141031 1700 NA NA 29.8923 NA "quintero" "o3"
"18" 141031 1800 NA NA 33.5775 NA "quintero" "o3"
"19" 141031 1900 NA NA 30.049 NA "quintero" "o3"
"20" 141031 2000 NA NA 28.5428 NA "quintero" "o3"
"21" 141031 2100 NA NA 28.8387 NA "quintero" "o3"
"22" 141031 2200 NA NA 24.8225 NA "quintero" "o3"
"23" 141031 2300 NA NA 15.5948 NA "quintero" "o3"
"24" 141101 0 NA NA 17.4721 NA "quintero" "o3"
"25" 141101 100 NA NA 14.5968 NA "quintero" "o3"
"26" 141101 200 NA NA 10.3447 NA "quintero" "o3"
"27" 141101 300 NA NA 9.26367 NA "quintero" "o3"
"28" 141101 400 NA NA 9.1826 NA "quintero" "o3"
"29" 141101 500 NA NA 8.48929 NA "quintero" "o3"
"30" 141101 600 NA NA 11.2352 NA "quintero" "o3"
"31" 141101 700 NA NA 14.2865 NA "quintero" "o3"
"32" 141101 800 NA NA 20.1276 NA "quintero" "o3"
"33" 141101 900 NA NA 15.708 NA "quintero" "o3"
"34" 141101 1000 NA NA 19.961 NA "quintero" "o3"
"35" 141101 1100 NA NA 24.7221 NA "quintero" "o3"
"36" 141101 1200 NA NA 26.0985 NA "quintero" "o3"
"37" 141101 1300 NA NA 25.0548 NA "quintero" "o3"
"38" 141101 1400 NA NA 26.2378 NA "quintero" "o3"
"39" 141101 1500 NA NA 27.3745 NA "quintero" "o3"
"40" 141101 1600 NA NA 28.0335 NA "quintero" "o3"
"41" 141101 1700 NA NA 25.0146 NA "quintero" "o3"
"42" 141101 1800 NA NA 24.1187 NA "quintero" "o3"
"43" 141101 1900 NA NA 22.4057 NA "quintero" "o3"
"44" 141101 2000 NA NA 21.4587 NA "quintero" "o3"
"45" 141101 2100 NA NA 23.1799 NA "quintero" "o3"
"46" 141101 2200 NA NA 25.0138 NA "quintero" "o3"
"47" 141101 2300 NA NA 24.9662 NA "quintero" "o3"
"48" 141102 0 NA NA 25.9148 NA "quintero" "o3"
"49" 141102 100 NA NA 24.0568 NA "quintero" "o3"
"50" 141102 200 NA NA 23.846 NA "quintero" "o3"
"51" 141102 300 NA NA 17.5324 NA "quintero" "o3"
"52" 141102 400 NA NA 14.7615 NA "quintero" "o3"
"53" 141102 500 NA NA 16.4891 NA "quintero" "o3"
"54" 141102 600 NA NA 15.8748 NA "quintero" "o3"
"55" 141102 700 NA NA 16.8852 NA "quintero" "o3"
"56" 141102 800 NA NA 21.2878 NA "quintero" "o3"
"57" 141102 900 NA NA 24.461 NA "quintero" "o3"
"58" 141102 1000 NA NA 26.9005 NA "quintero" "o3"
"59" 141102 1100 NA NA 28.291 NA "quintero" "o3"
"60" 141102 1200 NA NA 26.98 NA "quintero" "o3"
"61" 141102 1300 NA NA 27.0433 NA "quintero" "o3"
"62" 141102 1400 NA NA 29.5998 NA "quintero" "o3"
"63" 141102 1500 NA NA 29.2395 NA "quintero" "o3"
"64" 141102 1600 NA NA 27.5968 NA "quintero" "o3"
"65" 141102 1700 NA NA 27.0845 NA "quintero" "o3"
"66" 141102 1800 NA NA 26.2138 NA "quintero" "o3"
"67" 141102 1900 NA NA 24.3962 NA "quintero" "o3"
"68" 141102 2000 NA NA 23.0178 NA "quintero" "o3"
"69" 141102 2100 NA NA 21.0996 NA "quintero" "o3"
"70" 141102 2200 NA NA 18.0583 NA "quintero" "o3"
"71" 141102 2300 NA NA 18.5377 NA "quintero" "o3"
"72" 141103 0 NA NA 16.5877 NA "quintero" "o3"
"73" 141103 100 NA NA 17.0938 NA "quintero" "o3"
"74" 141103 200 NA NA 17.9341 NA "quintero" "o3"
"75" 141103 300 NA NA 18.8018 NA "quintero" "o3"
"76" 141103 400 NA NA 17.1548 NA "quintero" "o3"
"77" 141103 500 NA NA 14.6916 NA "quintero" "o3"
"78" 141103 600 NA NA 12.9785 NA "quintero" "o3"
"79" 141103 700 NA NA 12.4763 NA "quintero" "o3"
"80" 141103 800 NA NA 16.5966 NA "quintero" "o3"
"81" 141103 900 NA NA 19.651 NA "quintero" "o3"
"82" 141103 1000 NA NA 23.7588 NA "quintero" "o3"
"83" 141103 1100 NA NA 25.0178 NA "quintero" "o3"
"84" 141103 1200 NA NA 24.1416 NA "quintero" "o3"
"85" 141103 1300 NA NA 25.263 NA "quintero" "o3"
"86" 141103 1400 NA NA 26.2885 NA "quintero" "o3"
"87" 141103 1500 NA NA 29.9395 NA "quintero" "o3"
"88" 141103 1600 NA NA 30.2273 NA "quintero" "o3"
"89" 141103 1700 NA NA 27.9618 NA "quintero" "o3"
"90" 141103 1800 NA NA 26.5821 NA "quintero" "o3"
"91" 141103 1900 NA NA 26.3049 NA "quintero" "o3"
"92" 141103 2000 NA NA 25.4253 NA "quintero" "o3"
"93" 141103 2100 NA NA 24.2318 NA "quintero" "o3"
"94" 141103 2200 NA NA 23.8655 NA "quintero" "o3"
"95" 141103 2300 NA NA 24.1146 NA "quintero" "o3"
"96" 141104 0 NA NA 5.72061 NA "quintero" "o3"
"97" 141104 100 NA NA 9.73132 NA "quintero" "o3"
"98" 141104 200 NA NA 6.79653 NA "quintero" "o3"
"99" 141104 300 NA NA 4.93078 NA "quintero" "o3"
"100" 141104 400 NA NA 7.02607 NA "quintero" "o3"
"101" 141104 500 NA NA 6.32628 NA "quintero" "o3"
"102" 141104 600 NA NA 8.99791 NA "quintero" "o3"
"103" 141104 700 NA NA 12.2736 NA "quintero" "o3"
"104" 141104 800 NA NA 16.2995 NA "quintero" "o3"
"105" 141104 900 NA NA NA NA "quintero" "o3"
"106" 141104 1000 NA NA 20.4561 NA "quintero" "o3"
