"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 170901 100 NA NA 1.90077 NA "ventanas" "hct"
"2" 170901 200 NA NA 1.9029 NA "ventanas" "hct"
"3" 170901 300 NA NA 1.88957 NA "ventanas" "hct"
"4" 170901 400 NA NA 1.89032 NA "ventanas" "hct"
"5" 170901 500 NA NA 1.88522 NA "ventanas" "hct"
"6" 170901 600 NA NA 1.90413 NA "ventanas" "hct"
"7" 170901 700 NA NA 1.90527 NA "ventanas" "hct"
"8" 170901 800 NA NA 1.90178 NA "ventanas" "hct"
"9" 170901 900 NA NA 1.88927 NA "ventanas" "hct"
"10" 170901 1000 NA NA 1.88868 NA "ventanas" "hct"
"11" 170901 1100 NA NA 1.89143 NA "ventanas" "hct"
"12" 170901 1200 NA NA 1.89187 NA "ventanas" "hct"
"13" 170901 1300 NA NA 1.89018 NA "ventanas" "hct"
"14" 170901 1400 NA NA NA NA "ventanas" "hct"
"15" 170901 1500 NA NA NA NA "ventanas" "hct"
"16" 170901 1600 NA NA 1.85923 NA "ventanas" "hct"
"17" 170901 1700 NA NA 1.8593 NA "ventanas" "hct"
"18" 170901 1800 NA NA 1.8634 NA "ventanas" "hct"
"19" 170901 1900 NA NA 1.86655 NA "ventanas" "hct"
"20" 170901 2000 NA NA 1.90738 NA "ventanas" "hct"
"21" 170901 2100 NA NA 1.91262 NA "ventanas" "hct"
"22" 170901 2200 NA NA 1.9066 NA "ventanas" "hct"
"23" 170901 2300 NA NA 1.87752 NA "ventanas" "hct"
"24" 170902 0 NA NA 1.87747 NA "ventanas" "hct"
"25" 170902 100 NA NA 1.86192 NA "ventanas" "hct"
"26" 170902 200 NA NA 1.88827 NA "ventanas" "hct"
"27" 170902 300 NA NA 1.86418 NA "ventanas" "hct"
"28" 170902 400 NA NA 1.85243 NA "ventanas" "hct"
"29" 170902 500 NA NA 1.8479 NA "ventanas" "hct"
"30" 170902 600 NA NA 1.84793 NA "ventanas" "hct"
"31" 170902 700 NA NA 1.90332 NA "ventanas" "hct"
"32" 170902 800 NA NA 1.91967 NA "ventanas" "hct"
"33" 170902 900 NA NA 1.88318 NA "ventanas" "hct"
"34" 170902 1000 NA NA 1.89618 NA "ventanas" "hct"
"35" 170902 1100 NA NA 1.89908 NA "ventanas" "hct"
"36" 170902 1200 NA NA 1.87312 NA "ventanas" "hct"
"37" 170902 1300 NA NA 1.86623 NA "ventanas" "hct"
"38" 170902 1400 NA NA 1.85867 NA "ventanas" "hct"
"39" 170902 1500 NA NA 1.85085 NA "ventanas" "hct"
"40" 170902 1600 NA NA 1.84778 NA "ventanas" "hct"
"41" 170902 1700 NA NA 1.84568 NA "ventanas" "hct"
"42" 170902 1800 NA NA 1.84465 NA "ventanas" "hct"
"43" 170902 1900 NA NA 1.84557 NA "ventanas" "hct"
"44" 170902 2000 NA NA 1.87237 NA "ventanas" "hct"
"45" 170902 2100 NA NA 1.87037 NA "ventanas" "hct"
"46" 170902 2200 NA NA 1.86568 NA "ventanas" "hct"
"47" 170902 2300 NA NA 1.8585 NA "ventanas" "hct"
"48" 170903 0 NA NA 1.86463 NA "ventanas" "hct"
"49" 170903 100 NA NA 1.84587 NA "ventanas" "hct"
"50" 170903 200 NA NA 1.88697 NA "ventanas" "hct"
"51" 170903 300 NA NA 1.9115 NA "ventanas" "hct"
"52" 170903 400 NA NA 1.86998 NA "ventanas" "hct"
"53" 170903 500 NA NA 1.89108 NA "ventanas" "hct"
"54" 170903 600 NA NA 1.86933 NA "ventanas" "hct"
"55" 170903 700 NA NA 1.90687 NA "ventanas" "hct"
"56" 170903 800 NA NA 1.87405 NA "ventanas" "hct"
"57" 170903 900 NA NA 1.87915 NA "ventanas" "hct"
"58" 170903 1000 NA NA 1.90318 NA "ventanas" "hct"
"59" 170903 1100 NA NA 1.88957 NA "ventanas" "hct"
"60" 170903 1200 NA NA 1.88193 NA "ventanas" "hct"
"61" 170903 1300 NA NA 1.89275 NA "ventanas" "hct"
"62" 170903 1400 NA NA 1.87175 NA "ventanas" "hct"
"63" 170903 1500 NA NA 1.88007 NA "ventanas" "hct"
"64" 170903 1600 NA NA 1.86828 NA "ventanas" "hct"
"65" 170903 1700 NA NA 1.86328 NA "ventanas" "hct"
"66" 170903 1800 NA NA 1.85605 NA "ventanas" "hct"
"67" 170903 1900 NA NA 1.8765 NA "ventanas" "hct"
"68" 170903 2000 NA NA 1.87885 NA "ventanas" "hct"
"69" 170903 2100 NA NA 1.8542 NA "ventanas" "hct"
"70" 170903 2200 NA NA 1.84725 NA "ventanas" "hct"
"71" 170903 2300 NA NA 1.8613 NA "ventanas" "hct"
"72" 170904 0 NA NA 1.86728 NA "ventanas" "hct"
"73" 170904 100 NA NA 1.88342 NA "ventanas" "hct"
"74" 170904 200 NA NA 1.8875 NA "ventanas" "hct"
"75" 170904 300 NA NA 1.8639 NA "ventanas" "hct"
"76" 170904 400 NA NA 1.8627 NA "ventanas" "hct"
"77" 170904 500 NA NA 1.91213 NA "ventanas" "hct"
"78" 170904 600 NA NA 1.8698 NA "ventanas" "hct"
"79" 170904 700 NA NA 1.89653 NA "ventanas" "hct"
"80" 170904 800 NA NA 1.91225 NA "ventanas" "hct"
"81" 170904 900 NA NA 1.92467 NA "ventanas" "hct"
"82" 170904 1000 NA NA 1.89563 NA "ventanas" "hct"
"83" 170904 1100 NA NA 1.89785 NA "ventanas" "hct"
"84" 170904 1200 NA NA 1.90545 NA "ventanas" "hct"
"85" 170904 1300 NA NA 1.9117 NA "ventanas" "hct"
"86" 170904 1400 NA NA 1.88965 NA "ventanas" "hct"
"87" 170904 1500 NA NA 1.86183 NA "ventanas" "hct"
"88" 170904 1600 NA NA 1.84685 NA "ventanas" "hct"
"89" 170904 1700 NA NA 1.84465 NA "ventanas" "hct"
"90" 170904 1800 NA NA 1.8431 NA "ventanas" "hct"
"91" 170904 1900 NA NA 1.85768 NA "ventanas" "hct"
"92" 170904 2000 NA NA 1.87267 NA "ventanas" "hct"
"93" 170904 2100 NA NA 1.86868 NA "ventanas" "hct"
"94" 170904 2200 NA NA 1.8741 NA "ventanas" "hct"
"95" 170904 2300 NA NA 1.852 NA "ventanas" "hct"
"96" 170905 0 NA NA 1.85722 NA "ventanas" "hct"
"97" 170905 100 NA NA 1.89567 NA "ventanas" "hct"
"98" 170905 200 NA NA 1.9611 NA "ventanas" "hct"
"99" 170905 300 NA NA 1.91662 NA "ventanas" "hct"
"100" 170905 400 NA NA 1.87835 NA "ventanas" "hct"
"101" 170905 500 NA NA 1.88972 NA "ventanas" "hct"
"102" 170905 600 NA NA 1.88308 NA "ventanas" "hct"
"103" 170905 700 NA NA 1.88522 NA "ventanas" "hct"
"104" 170905 800 NA NA 1.88387 NA "ventanas" "hct"
"105" 170905 900 NA NA 1.9262 NA "ventanas" "hct"
"106" 170905 1000 NA NA 1.93212 NA "ventanas" "hct"
"107" 170905 1100 NA NA 1.95222 NA "ventanas" "hct"
"108" 170905 1200 NA NA 1.87767 NA "ventanas" "hct"
"109" 170905 1300 NA NA 1.8646 NA "ventanas" "hct"
"110" 170905 1400 NA NA 1.8627 NA "ventanas" "hct"
"111" 170905 1500 NA NA 1.85613 NA "ventanas" "hct"
"112" 170905 1600 NA NA 1.84518 NA "ventanas" "hct"
"113" 170905 1700 NA NA 1.83763 NA "ventanas" "hct"
"114" 170905 1800 NA NA 1.84115 NA "ventanas" "hct"
"115" 170905 1900 NA NA 1.84105 NA "ventanas" "hct"
"116" 170905 2000 NA NA 1.85645 NA "ventanas" "hct"
"117" 170905 2100 NA NA 1.84372 NA "ventanas" "hct"
"118" 170905 2200 NA NA 1.85315 NA "ventanas" "hct"
