"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 130101 100 NA 85.3999 NA NA "ventanas" "mp10"
"2" 130101 200 NA 48.8 NA NA "ventanas" "mp10"
"3" 130101 300 NA 47.8 NA NA "ventanas" "mp10"
"4" 130101 400 NA 39.7 NA NA "ventanas" "mp10"
"5" 130101 500 NA 32.2 NA NA "ventanas" "mp10"
"6" 130101 600 NA 57.4 NA NA "ventanas" "mp10"
"7" 130101 700 NA 17.5 NA NA "ventanas" "mp10"
"8" 130101 800 NA 43.2 NA NA "ventanas" "mp10"
"9" 130101 900 NA 46.1 NA NA "ventanas" "mp10"
"10" 130101 1000 NA 41.2 NA NA "ventanas" "mp10"
"11" 130101 1100 NA 76.2999 NA NA "ventanas" "mp10"
"12" 130101 1200 NA 74.3999 NA NA "ventanas" "mp10"
"13" 130101 1300 NA 39.2 NA NA "ventanas" "mp10"
"14" 130101 1400 NA 73.7 NA NA "ventanas" "mp10"
"15" 130101 1500 NA 27.4 NA NA "ventanas" "mp10"
"16" 130101 1600 NA 15.3 NA NA "ventanas" "mp10"
"17" 130101 1700 NA 61.9 NA NA "ventanas" "mp10"
"18" 130101 1800 NA 35.4 NA NA "ventanas" "mp10"
"19" 130101 1900 NA 118.9 NA NA "ventanas" "mp10"
"20" 130101 2000 NA 47.3 NA NA "ventanas" "mp10"
"21" 130101 2100 NA 24.3 NA NA "ventanas" "mp10"
"22" 130101 2200 NA 40.4 NA NA "ventanas" "mp10"
"23" 130101 2300 NA 17.5 NA NA "ventanas" "mp10"
"24" 130102 0 NA 26.3 NA NA "ventanas" "mp10"
"25" 130102 100 NA 20.3 NA NA "ventanas" "mp10"
"26" 130102 200 NA 51 NA NA "ventanas" "mp10"
"27" 130102 300 NA 32.2 NA NA "ventanas" "mp10"
"28" 130102 400 NA 27.8 NA NA "ventanas" "mp10"
"29" 130102 500 NA 10.3 NA NA "ventanas" "mp10"
"30" 130102 600 NA NA NA NA "ventanas" "mp10"
"31" 130102 700 NA NA NA NA "ventanas" "mp10"
"32" 130102 800 NA NA NA NA "ventanas" "mp10"
"33" 130102 900 NA NA NA NA "ventanas" "mp10"
"34" 130102 1000 NA NA NA NA "ventanas" "mp10"
"35" 130102 1100 NA NA NA NA "ventanas" "mp10"
"36" 130102 1200 NA NA NA NA "ventanas" "mp10"
"37" 130102 1300 NA NA NA NA "ventanas" "mp10"
"38" 130102 1400 NA NA NA NA "ventanas" "mp10"
"39" 130102 1500 NA NA NA NA "ventanas" "mp10"
"40" 130102 1600 NA NA NA NA "ventanas" "mp10"
"41" 130102 1700 NA NA NA NA "ventanas" "mp10"
