"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 130101 0 NA 1.87391 NA NA "ventanas" "no2"
"2" 130102 0 NA NA NA NA "ventanas" "no2"
"3" 130103 0 NA NA NA NA "ventanas" "no2"
"4" 130104 0 NA 3.16778 NA NA "ventanas" "no2"
"5" 130105 0 NA 3.77003 NA NA "ventanas" "no2"
"6" 130106 0 NA 3.44625 NA NA "ventanas" "no2"
"7" 130107 0 NA 6.29039 NA NA "ventanas" "no2"
"8" 130108 0 NA 7.33045 NA NA "ventanas" "no2"
"9" 130109 0 NA NA NA NA "ventanas" "no2"
"10" 130110 0 NA NA NA NA "ventanas" "no2"
"11" 130111 0 NA 6.67579 NA NA "ventanas" "no2"
"12" 130112 0 NA 4.24899 NA NA "ventanas" "no2"
"13" 130113 0 NA 5.42487 NA NA "ventanas" "no2"
"14" 130114 0 NA 8.08218 NA NA "ventanas" "no2"
"15" 130115 0 NA 6.09203 NA NA "ventanas" "no2"
"16" 130116 0 NA 6.56321 NA NA "ventanas" "no2"
"17" 130117 0 NA 6.56738 NA NA "ventanas" "no2"
"18" 130118 0 NA 7.63901 NA NA "ventanas" "no2"
"19" 130119 0 NA 7.04273 NA NA "ventanas" "no2"
"20" 130120 0 NA 6.44229 NA NA "ventanas" "no2"
"21" 130121 0 NA 7.91005 NA NA "ventanas" "no2"
"22" 130122 0 NA 8.98167 NA NA "ventanas" "no2"
"23" 130123 0 NA 7.43886 NA NA "ventanas" "no2"
"24" 130124 0 NA 4.72434 NA NA "ventanas" "no2"
"25" 130125 0 NA 6.36723 NA NA "ventanas" "no2"
"26" 130126 0 NA 6.2755 NA NA "ventanas" "no2"
"27" 130127 0 NA 5.4332 NA NA "ventanas" "no2"
"28" 130128 0 NA 5.03231 NA NA "ventanas" "no2"
"29" 130129 0 NA NA NA NA "ventanas" "no2"
"30" 130130 0 NA 6.85927 NA NA "ventanas" "no2"
"31" 130131 0 NA 5.70424 NA NA "ventanas" "no2"
"32" 130201 0 NA NA NA NA "ventanas" "no2"
"33" 130202 0 NA 19.1667 NA NA "ventanas" "no2"
"34" 130203 0 NA 13.0365 NA NA "ventanas" "no2"
"35" 130204 0 NA 9.35568 NA NA "ventanas" "no2"
"36" 130205 0 NA 12.966 NA NA "ventanas" "no2"
"37" 130206 0 NA 12.2448 NA NA "ventanas" "no2"
"38" 130207 0 NA 13.9145 NA NA "ventanas" "no2"
"39" 130208 0 NA 11.4216 NA NA "ventanas" "no2"
"40" 130209 0 NA 11.649 NA NA "ventanas" "no2"
"41" 130210 0 NA 10.2066 NA NA "ventanas" "no2"
"42" 130211 0 NA 10.724 NA NA "ventanas" "no2"
"43" 130212 0 NA 10.8807 NA NA "ventanas" "no2"
"44" 130213 0 NA 13.9537 NA NA "ventanas" "no2"
"45" 130214 0 NA 15.3726 NA NA "ventanas" "no2"
"46" 130215 0 NA 8.88176 NA NA "ventanas" "no2"
"47" 130216 0 NA 11.0062 NA NA "ventanas" "no2"
"48" 130217 0 NA 10.6926 NA NA "ventanas" "no2"
"49" 130218 0 NA 11.8685 NA NA "ventanas" "no2"
"50" 130219 0 NA 18.2574 NA NA "ventanas" "no2"
"51" 130220 0 NA 18.1633 NA NA "ventanas" "no2"
"52" 130221 0 NA 9.03854 NA NA "ventanas" "no2"
"53" 130222 0 NA 12.5284 NA NA "ventanas" "no2"
