"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 130313 100 NA NA 13.216 NA "ventanas" "nox"
"2" 130313 200 NA NA 13.9781 NA "ventanas" "nox"
"3" 130313 300 NA NA 11.1225 NA "ventanas" "nox"
"4" 130313 400 NA NA 11.7445 NA "ventanas" "nox"
"5" 130313 500 NA NA 11.7708 NA "ventanas" "nox"
"6" 130313 600 NA NA 14.2973 NA "ventanas" "nox"
"7" 130313 700 NA NA 29.0438 NA "ventanas" "nox"
"8" 130313 800 NA NA 45.2252 NA "ventanas" "nox"
"9" 130313 900 NA NA 59.5921 NA "ventanas" "nox"
"10" 130313 1000 NA NA 31.7443 NA "ventanas" "nox"
"11" 130313 1100 NA NA 10.6193 NA "ventanas" "nox"
"12" 130313 1200 NA NA 10.9243 NA "ventanas" "nox"
"13" 130313 1300 NA NA 12.939 NA "ventanas" "nox"
"14" 130313 1400 NA NA 12.4595 NA "ventanas" "nox"
"15" 130313 1500 NA NA 11.3243 NA "ventanas" "nox"
"16" 130313 1600 NA NA 10.2556 NA "ventanas" "nox"
"17" 130313 1700 NA NA 10.7392 NA "ventanas" "nox"
"18" 130313 1800 NA NA 19.6376 NA "ventanas" "nox"
"19" 130313 1900 NA NA 27.8876 NA "ventanas" "nox"
"20" 130313 2000 NA NA 10.4142 NA "ventanas" "nox"
"21" 130313 2100 NA NA 11.8355 NA "ventanas" "nox"
"22" 130313 2200 NA NA 10.497 NA "ventanas" "nox"
"23" 130313 2300 NA NA 13.1545 NA "ventanas" "nox"
"24" 130314 0 NA NA 15.8773 NA "ventanas" "nox"
"25" 130314 100 NA NA 12.7255 NA "ventanas" "nox"
"26" 130314 200 NA NA 9.74532 NA "ventanas" "nox"
"27" 130314 300 NA NA 8.88982 NA "ventanas" "nox"
"28" 130314 400 NA NA 10.8156 NA "ventanas" "nox"
"29" 130314 500 NA NA 9.94731 NA "ventanas" "nox"
"30" 130314 600 NA NA 20.7186 NA "ventanas" "nox"
"31" 130314 700 NA NA 19.1703 NA "ventanas" "nox"
"32" 130314 800 NA NA 19.6831 NA "ventanas" "nox"
"33" 130314 900 NA NA 19.0323 NA "ventanas" "nox"
"34" 130314 1000 NA NA 11.684 NA "ventanas" "nox"
"35" 130314 1100 NA NA 14.5365 NA "ventanas" "nox"
"36" 130314 1200 NA NA 12.1435 NA "ventanas" "nox"
"37" 130314 1300 NA NA 10.4553 NA "ventanas" "nox"
"38" 130314 1400 NA NA 10.7435 NA "ventanas" "nox"
"39" 130314 1500 NA NA 11.657 NA "ventanas" "nox"
"40" 130314 1600 NA NA 10.3686 NA "ventanas" "nox"
