"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 110617 100 NA 0.214583 NA NA "CESFAM_Lago_Ranco" "co"
"2" 110617 200 NA 0.20725 NA NA "CESFAM_Lago_Ranco" "co"
"3" 110617 300 NA 0.2295 NA NA "CESFAM_Lago_Ranco" "co"
"4" 110617 400 NA 0.22925 NA NA "CESFAM_Lago_Ranco" "co"
"5" 110617 500 NA 0.1705 NA NA "CESFAM_Lago_Ranco" "co"
"6" 110617 600 NA 0.152333 NA NA "CESFAM_Lago_Ranco" "co"
"7" 110617 700 NA 0.199167 NA NA "CESFAM_Lago_Ranco" "co"
"8" 110617 800 NA 0.25725 NA NA "CESFAM_Lago_Ranco" "co"
"9" 110617 900 NA 0.2975 NA NA "CESFAM_Lago_Ranco" "co"
"10" 110617 1000 NA 0.287083 NA NA "CESFAM_Lago_Ranco" "co"
"11" 110617 1100 NA 0.505583 NA NA "CESFAM_Lago_Ranco" "co"
"12" 110617 1200 NA 0.440167 NA NA "CESFAM_Lago_Ranco" "co"
"13" 110617 1300 NA 0.444083 NA NA "CESFAM_Lago_Ranco" "co"
"14" 110617 1400 NA 0.366333 NA NA "CESFAM_Lago_Ranco" "co"
"15" 110617 1500 NA 0.284333 NA NA "CESFAM_Lago_Ranco" "co"
"16" 110617 1600 NA 0.5005 NA NA "CESFAM_Lago_Ranco" "co"
"17" 110617 1700 NA 0.364167 NA NA "CESFAM_Lago_Ranco" "co"
"18" 110617 1800 NA 0.31825 NA NA "CESFAM_Lago_Ranco" "co"
"19" 110617 1900 NA 0.319417 NA NA "CESFAM_Lago_Ranco" "co"
"20" 110617 2000 NA 0.514999 NA NA "CESFAM_Lago_Ranco" "co"
"21" 110617 2100 NA 0.455833 NA NA "CESFAM_Lago_Ranco" "co"
"22" 110617 2200 NA 0.285417 NA NA "CESFAM_Lago_Ranco" "co"
"23" 110617 2300 NA 0.198167 NA NA "CESFAM_Lago_Ranco" "co"
"24" 110618 0 NA 0.25075 NA NA "CESFAM_Lago_Ranco" "co"
"25" 110618 100 NA 0.22075 NA NA "CESFAM_Lago_Ranco" "co"
"26" 110618 200 NA 0.163083 NA NA "CESFAM_Lago_Ranco" "co"
"27" 110618 300 NA 0.153 NA NA "CESFAM_Lago_Ranco" "co"
"28" 110618 400 NA 0.176583 NA NA "CESFAM_Lago_Ranco" "co"
