"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 80101 100 NA NA NA NA "Consultorio_Mafil" "no"
"2" 80101 200 NA NA NA NA "Consultorio_Mafil" "no"
"3" 80101 300 NA NA NA NA "Consultorio_Mafil" "no"
"4" 80101 400 NA NA NA NA "Consultorio_Mafil" "no"
"5" 80101 500 NA NA NA NA "Consultorio_Mafil" "no"
"6" 80101 600 NA NA NA NA "Consultorio_Mafil" "no"
"7" 80101 700 NA NA NA NA "Consultorio_Mafil" "no"
"8" 80101 800 NA NA NA NA "Consultorio_Mafil" "no"
"9" 80101 900 NA NA NA NA "Consultorio_Mafil" "no"
"10" 80101 1000 NA NA NA NA "Consultorio_Mafil" "no"
"11" 80101 1100 NA NA NA NA "Consultorio_Mafil" "no"
"12" 80101 1200 NA NA NA NA "Consultorio_Mafil" "no"
"13" 80101 1300 NA NA NA NA "Consultorio_Mafil" "no"
"14" 80101 1400 NA NA NA NA "Consultorio_Mafil" "no"
"15" 80101 1500 NA NA NA NA "Consultorio_Mafil" "no"
"16" 80101 1600 NA NA NA NA "Consultorio_Mafil" "no"
"17" 80101 1700 NA NA NA NA "Consultorio_Mafil" "no"
"18" 80101 1800 NA NA NA NA "Consultorio_Mafil" "no"
"19" 80101 1900 NA NA NA NA "Consultorio_Mafil" "no"
"20" 80101 2000 NA NA NA NA "Consultorio_Mafil" "no"
"21" 80101 2100 NA NA NA NA "Consultorio_Mafil" "no"
"22" 80101 2200 NA NA NA NA "Consultorio_Mafil" "no"
"23" 80101 2300 NA NA NA NA "Consultorio_Mafil" "no"
"24" 80102 0 NA NA NA NA "Consultorio_Mafil" "no"
"25" 80102 100 NA NA NA NA "Consultorio_Mafil" "no"
"26" 80102 200 NA NA NA NA "Consultorio_Mafil" "no"
"27" 80102 300 NA NA NA NA "Consultorio_Mafil" "no"
"28" 80102 400 NA NA NA NA "Consultorio_Mafil" "no"
"29" 80102 500 NA NA NA NA "Consultorio_Mafil" "no"
"30" 80102 600 NA NA NA NA "Consultorio_Mafil" "no"
"31" 80102 700 NA NA NA NA "Consultorio_Mafil" "no"
"32" 80102 800 NA NA NA NA "Consultorio_Mafil" "no"
"33" 80102 900 NA NA NA NA "Consultorio_Mafil" "no"
"34" 80102 1000 NA NA NA NA "Consultorio_Mafil" "no"
"35" 80102 1100 NA NA NA NA "Consultorio_Mafil" "no"
"36" 80102 1200 NA NA NA NA "Consultorio_Mafil" "no"
"37" 80102 1300 NA NA NA NA "Consultorio_Mafil" "no"
"38" 80102 1400 NA NA NA NA "Consultorio_Mafil" "no"
"39" 80102 1500 NA NA NA NA "Consultorio_Mafil" "no"
"40" 80102 1600 NA NA NA NA "Consultorio_Mafil" "no"
"41" 80102 1700 NA NA NA NA "Consultorio_Mafil" "no"
"42" 80102 1800 NA NA NA NA "Consultorio_Mafil" "no"
"43" 80102 1900 NA NA NA NA "Consultorio_Mafil" "no"
"44" 80102 2000 NA NA NA NA "Consultorio_Mafil" "no"
"45" 80102 2100 NA NA NA NA "Consultorio_Mafil" "no"
"46" 80102 2200 NA NA NA NA "Consultorio_Mafil" "no"
"47" 80102 2300 NA NA NA NA "Consultorio_Mafil" "no"
"48" 80103 0 NA NA NA NA "Consultorio_Mafil" "no"
"49" 80103 100 NA NA NA NA "Consultorio_Mafil" "no"
"50" 80103 200 NA NA NA NA "Consultorio_Mafil" "no"
"51" 80103 300 NA NA NA NA "Consultorio_Mafil" "no"
"52" 80103 400 NA NA NA NA "Consultorio_Mafil" "no"
"53" 80103 500 NA NA NA NA "Consultorio_Mafil" "no"
"54" 80103 600 NA NA NA NA "Consultorio_Mafil" "no"
"55" 80103 700 NA NA NA NA "Consultorio_Mafil" "no"
"56" 80103 800 NA NA NA NA "Consultorio_Mafil" "no"
"57" 80103 900 NA NA NA NA "Consultorio_Mafil" "no"
"58" 80103 1000 NA NA NA NA "Consultorio_Mafil" "no"
"59" 80103 1100 NA NA NA NA "Consultorio_Mafil" "no"
"60" 80103 1200 NA NA NA NA "Consultorio_Mafil" "no"
"61" 80103 1300 NA NA NA NA "Consultorio_Mafil" "no"
"62" 80103 1400 NA NA NA NA "Consultorio_Mafil" "no"
"63" 80103 1500 NA NA NA NA "Consultorio_Mafil" "no"
"64" 80103 1600 NA NA NA NA "Consultorio_Mafil" "no"
"65" 80103 1700 NA NA NA NA "Consultorio_Mafil" "no"
"66" 80103 1800 NA NA NA NA "Consultorio_Mafil" "no"
"67" 80103 1900 NA NA NA NA "Consultorio_Mafil" "no"
"68" 80103 2000 NA NA NA NA "Consultorio_Mafil" "no"
"69" 80103 2100 NA NA NA NA "Consultorio_Mafil" "no"
"70" 80103 2200 NA NA NA NA "Consultorio_Mafil" "no"
"71" 80103 2300 NA NA NA NA "Consultorio_Mafil" "no"
"72" 80104 0 NA NA NA NA "Consultorio_Mafil" "no"
"73" 80104 100 NA NA NA NA "Consultorio_Mafil" "no"
"74" 80104 200 NA NA NA NA "Consultorio_Mafil" "no"
"75" 80104 300 NA NA NA NA "Consultorio_Mafil" "no"
"76" 80104 400 NA NA NA NA "Consultorio_Mafil" "no"
"77" 80104 500 NA NA NA NA "Consultorio_Mafil" "no"
"78" 80104 600 NA NA NA NA "Consultorio_Mafil" "no"
"79" 80104 700 NA NA NA NA "Consultorio_Mafil" "no"
"80" 80104 800 NA NA NA NA "Consultorio_Mafil" "no"
"81" 80104 900 NA NA NA NA "Consultorio_Mafil" "no"
"82" 80104 1000 NA NA NA NA "Consultorio_Mafil" "no"
"83" 80104 1100 NA NA NA NA "Consultorio_Mafil" "no"
"84" 80104 1200 NA NA NA NA "Consultorio_Mafil" "no"
"85" 80104 1300 NA NA NA NA "Consultorio_Mafil" "no"
"86" 80104 1400 NA NA NA NA "Consultorio_Mafil" "no"
"87" 80104 1500 NA NA NA NA "Consultorio_Mafil" "no"
