"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 80103 0 NA 0.632929 NA NA "Vivero_Los_Castanos" "nox"
"2" 80104 0 NA NA NA NA "Vivero_Los_Castanos" "nox"
"3" 80105 0 NA 0.633997 NA NA "Vivero_Los_Castanos" "nox"
"4" 80106 0 NA NA NA NA "Vivero_Los_Castanos" "nox"
"5" 80107 0 NA NA NA NA "Vivero_Los_Castanos" "nox"
"6" 80108 0 NA NA NA NA "Vivero_Los_Castanos" "nox"
"7" 80109 0 NA NA NA NA "Vivero_Los_Castanos" "nox"
"8" 80110 0 NA NA NA NA "Vivero_Los_Castanos" "nox"
"9" 80111 0 NA NA NA NA "Vivero_Los_Castanos" "nox"
"10" 80112 0 NA NA NA NA "Vivero_Los_Castanos" "nox"
"11" 80113 0 NA NA NA NA "Vivero_Los_Castanos" "nox"
"12" 80114 0 NA NA NA NA "Vivero_Los_Castanos" "nox"
"13" 80115 0 NA 0.60063 NA NA "Vivero_Los_Castanos" "nox"
"14" 80116 0 NA NA NA NA "Vivero_Los_Castanos" "nox"
"15" 80117 0 NA NA NA NA "Vivero_Los_Castanos" "nox"
"16" 80118 0 NA 0.668784 NA NA "Vivero_Los_Castanos" "nox"
"17" 80119 0 NA 0.622543 NA NA "Vivero_Los_Castanos" "nox"
"18" 80120 0 NA NA NA NA "Vivero_Los_Castanos" "nox"
"19" 80121 0 NA 1.16542 NA NA "Vivero_Los_Castanos" "nox"
"20" 80122 0 NA 0.525865 NA NA "Vivero_Los_Castanos" "nox"
"21" 80123 0 NA 1.18349 NA NA "Vivero_Los_Castanos" "nox"
"22" 80124 0 NA 1.6382 NA NA "Vivero_Los_Castanos" "nox"
"23" 80125 0 NA NA NA NA "Vivero_Los_Castanos" "nox"
"24" 80126 0 NA NA NA NA "Vivero_Los_Castanos" "nox"
"25" 80127 0 NA NA NA NA "Vivero_Los_Castanos" "nox"
"26" 80128 0 NA 0.719404 NA NA "Vivero_Los_Castanos" "nox"
"27" 80129 0 NA NA NA NA "Vivero_Los_Castanos" "nox"
"28" 80130 0 NA NA NA NA "Vivero_Los_Castanos" "nox"
"29" 80131 0 NA NA NA NA "Vivero_Los_Castanos" "nox"
"30" 80201 0 NA 1.20538 NA NA "Vivero_Los_Castanos" "nox"
"31" 80202 0 NA NA NA NA "Vivero_Los_Castanos" "nox"
"32" 80203 0 NA 0.83079 NA NA "Vivero_Los_Castanos" "nox"
"33" 80204 0 NA 1.41785 NA NA "Vivero_Los_Castanos" "nox"
"34" 80205 0 NA 1.08673 NA NA "Vivero_Los_Castanos" "nox"
"35" 80206 0 NA 1.58829 NA NA "Vivero_Los_Castanos" "nox"
"36" 80207 0 NA 1.43221 NA NA "Vivero_Los_Castanos" "nox"
"37" 80208 0 NA NA NA NA "Vivero_Los_Castanos" "nox"
"38" 80209 0 NA 1.12587 NA NA "Vivero_Los_Castanos" "nox"
"39" 80210 0 NA NA NA NA "Vivero_Los_Castanos" "nox"
