"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 130901 100 9.90002 NA NA NA "Coyhaique_II" "no2"
"2" 130901 200 8.20003 NA NA NA "Coyhaique_II" "no2"
"3" 130901 300 4.10001 NA NA NA "Coyhaique_II" "no2"
"4" 130901 400 7.80002 NA NA NA "Coyhaique_II" "no2"
"5" 130901 500 9.80002 NA NA NA "Coyhaique_II" "no2"
"6" 130901 600 7.30002 NA NA NA "Coyhaique_II" "no2"
"7" 130901 700 6.80002 NA NA NA "Coyhaique_II" "no2"
"8" 130901 800 8.00003 NA NA NA "Coyhaique_II" "no2"
"9" 130901 900 5.20001 NA NA NA "Coyhaique_II" "no2"
"10" 130901 1000 5.10001 NA NA NA "Coyhaique_II" "no2"
"11" 130901 1100 7.70001 NA NA NA "Coyhaique_II" "no2"
"12" 130901 1200 8.30002 NA NA NA "Coyhaique_II" "no2"
"13" 130901 1300 6.40001 NA NA NA "Coyhaique_II" "no2"
"14" 130901 1400 6.00002 NA NA NA "Coyhaique_II" "no2"
"15" 130901 1500 5.10001 NA NA NA "Coyhaique_II" "no2"
"16" 130901 1600 6.00002 NA NA NA "Coyhaique_II" "no2"
"17" 130901 1700 7.10001 NA NA NA "Coyhaique_II" "no2"
"18" 130901 1800 9.30002 NA NA NA "Coyhaique_II" "no2"
"19" 130901 1900 8.90002 NA NA NA "Coyhaique_II" "no2"
"20" 130901 2000 8.10002 NA NA NA "Coyhaique_II" "no2"
"21" 130901 2100 8.60002 NA NA NA "Coyhaique_II" "no2"
"22" 130901 2200 8.30002 NA NA NA "Coyhaique_II" "no2"
"23" 130901 2300 3.50001 NA NA NA "Coyhaique_II" "no2"
"24" 130902 0 3.50001 NA NA NA "Coyhaique_II" "no2"
"25" 130902 100 2.50001 NA NA NA "Coyhaique_II" "no2"
"26" 130902 200 1 NA NA NA "Coyhaique_II" "no2"
"27" 130902 300 1 NA NA NA "Coyhaique_II" "no2"
"28" 130902 400 1 NA NA NA "Coyhaique_II" "no2"
"29" 130902 500 1 NA NA NA "Coyhaique_II" "no2"
"30" 130902 600 2.40001 NA NA NA "Coyhaique_II" "no2"
"31" 130902 700 4.90001 NA NA NA "Coyhaique_II" "no2"
"32" 130902 800 6.40001 NA NA NA "Coyhaique_II" "no2"
"33" 130902 900 5.40001 NA NA NA "Coyhaique_II" "no2"
"34" 130902 1000 4.40001 NA NA NA "Coyhaique_II" "no2"
"35" 130902 1100 5.50002 NA NA NA "Coyhaique_II" "no2"
"36" 130902 1200 5.70001 NA NA NA "Coyhaique_II" "no2"
"37" 130902 1300 4.30002 NA NA NA "Coyhaique_II" "no2"
"38" 130902 1400 5.70001 NA NA NA "Coyhaique_II" "no2"
"39" 130902 1500 7.30002 NA NA NA "Coyhaique_II" "no2"
"40" 130902 1600 8.50003 NA NA NA "Coyhaique_II" "no2"
"41" 130902 1700 11.1 NA NA NA "Coyhaique_II" "no2"
"42" 130902 1800 26.5001 NA NA NA "Coyhaique_II" "no2"
"43" 130902 1900 28.1001 NA NA NA "Coyhaique_II" "no2"
"44" 130902 2000 19.1001 NA NA NA "Coyhaique_II" "no2"
"45" 130902 2100 16.4001 NA NA NA "Coyhaique_II" "no2"
"46" 130902 2200 12.4 NA NA NA "Coyhaique_II" "no2"
