"FECHA..YYMMDD." "HORA..HHMM." "Registros.validados" "Registros.preliminares" "Registros.no.validados" "X" "identificador1" "identificador2"
"1" 150625 100 NA NA 16.7289 NA "Coyhaique_II" "nox"
"2" 150625 200 NA NA 5.39425 NA "Coyhaique_II" "nox"
"3" 150625 300 NA NA 4.66942 NA "Coyhaique_II" "nox"
"4" 150625 400 NA NA 1.79583 NA "Coyhaique_II" "nox"
"5" 150625 500 NA NA 2.78476 NA "Coyhaique_II" "nox"
"6" 150625 600 NA NA 18.7375 NA "Coyhaique_II" "nox"
"7" 150625 700 NA NA 81.9967 NA "Coyhaique_II" "nox"
"8" 150625 800 NA NA 40.1833 NA "Coyhaique_II" "nox"
"9" 150625 900 NA NA 53.1542 NA "Coyhaique_II" "nox"
"10" 150625 1000 NA NA 34.045 NA "Coyhaique_II" "nox"
"11" 150625 1100 NA NA 58.2925 NA "Coyhaique_II" "nox"
"12" 150625 1200 NA NA 52.7201 NA "Coyhaique_II" "nox"
"13" 150625 1300 NA NA 43.6299 NA "Coyhaique_II" "nox"
"14" 150625 1400 NA NA 33.3167 NA "Coyhaique_II" "nox"
"15" 150625 1500 NA NA 27.5102 NA "Coyhaique_II" "nox"
"16" 150625 1600 NA NA 66.635 NA "Coyhaique_II" "nox"
"17" 150625 1700 NA NA 38.2867 NA "Coyhaique_II" "nox"
"18" 150625 1800 NA NA 28.5345 NA "Coyhaique_II" "nox"
"19" 150625 1900 NA NA 29.2925 NA "Coyhaique_II" "nox"
"20" 150625 2000 NA NA 43.2543 NA "Coyhaique_II" "nox"
"21" 150625 2100 NA NA 33.8817 NA "Coyhaique_II" "nox"
"22" 150625 2200 NA NA 10.1397 NA "Coyhaique_II" "nox"
"23" 150625 2300 NA NA 8.23384 NA "Coyhaique_II" "nox"
"24" 150626 0 NA NA 4.3695 NA "Coyhaique_II" "nox"
"25" 150626 100 NA NA 4.86109 NA "Coyhaique_II" "nox"
"26" 150626 200 NA NA 1.54308 NA "Coyhaique_II" "nox"
"27" 150626 300 NA NA NA NA "Coyhaique_II" "nox"
"28" 150626 400 NA NA NA NA "Coyhaique_II" "nox"
"29" 150626 500 NA NA 0.213833 NA "Coyhaique_II" "nox"
"30" 150626 600 NA NA 13.5195 NA "Coyhaique_II" "nox"
"31" 150626 700 NA NA 17.9822 NA "Coyhaique_II" "nox"
"32" 150626 800 NA NA 13.5867 NA "Coyhaique_II" "nox"
"33" 150626 900 NA NA 20.9325 NA "Coyhaique_II" "nox"
"34" 150626 1000 NA NA 15.8716 NA "Coyhaique_II" "nox"
