FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
020101;0000;;3,77499;;
020102;0000;;3,83749;;
020103;0000;;2,6909;;
020104;0000;;3,27082;;
020105;0000;;3,72916;;
020106;0000;;1,39167;;
020107;0000;;3,87499;;
020108;0000;;5,70415;;
020109;0000;;6,27498;;
020110;0000;;4,49165;;
020111;0000;;10,2166;;
020112;0000;;5,97082;;
020113;0000;;14,8041;;
020114;0000;;15,1916;;
020115;0000;;7,57499;;
020116;0000;;4,44582;;
020117;0000;;7,57082;;
020118;0000;;7,81665;;
020119;0000;;5,80832;;
020120;0000;;8,3083;;
020121;0000;;6,63748;;
020122;0000;;4,59999;;
020123;0000;;14,6041;;
020124;0000;;8,41664;;
020125;0000;;8,21665;;
020126;0000;;10,0833;;
020127;0000;;22,6166;;
020128;0000;;7,28748;;
020129;0000;;6,46665;;
020130;0000;;6,48748;;
020131;0000;;35,1249;;
020201;0000;;28,2041;;
020202;0000;;2,42083;;
020203;0000;;9,74582;;
020204;0000;;5,66248;;
020205;0000;;14,7091;;
020206;0000;;27,9958;;
020207;0000;;5,25416;;
020208;0000;;5,89165;;
020209;0000;;3,51249;;
020210;0000;;10,1083;;
020211;0000;;6,92498;;
020212;0000;;19,7458;;
020213;0000;;13,0583;;
020214;0000;;9,82497;;
020215;0000;;17,225;;
020216;0000;;16,6875;;
020217;0000;;11,1791;;
020218;0000;;11,3292;;
020219;0000;;8,02498;;
020220;0000;;11,7708;;
020221;0000;;5,71249;;
020222;0000;;5,47916;;
020223;0000;;13,9708;;
020224;0000;;9,39583;;
020225;0000;;3,26249;;
020226;0000;;8,25832;;
020227;0000;;12,35;;
020228;0000;;9,14165;;
020301;0000;;9,62081;;
020302;0000;;7,11665;;
020303;0000;;14,3333;;
020304;0000;;30,5874;;
020305;0000;;11,6208;;
020306;0000;;11,1454;;
020307;0000;;17,475;;
020308;0000;;11,725;;
020309;0000;;11,7708;;
020310;0000;;21,7083;;
020311;0000;;22,7666;;
020312;0000;;16,7458;;
020313;0000;;6,94999;;
020314;0000;;12,1;;
020315;0000;;14,7583;;
020316;0000;;10,225;;
020317;0000;;7,33332;;
020318;0000;;5,76665;;
020319;0000;;10,1667;;
020320;0000;;25,5625;;
020321;0000;;6,36665;;
020322;0000;;11,45;;
020323;0000;;15,1041;;
020324;0000;;4,04166;;
020325;0000;;11,2375;;
020326;0000;;19,6041;;
020327;0000;;18,35;;
020328;0000;;6,89582;;
020329;0000;;5,99582;;
020330;0000;;11,95;;
020331;0000;;18,1666;;
020401;0000;;15,675;;
020402;0000;;8,29998;;
020403;0000;;8,24582;;
020404;0000;;5,53332;;
020405;0000;;21,3499;;
020406;0000;;3,09583;;
020407;0000;;12,2791;;
020408;0000;;7,44583;;
020409;0000;;12,0041;;
020410;0000;;4,97271;;
020411;0000;;16,3375;;
020412;0000;;6,88333;;
020413;0000;;30,725;;
020414;0000;;7,52915;;
020415;0000;;11,3;;
020416;0000;;31,2666;;
020417;0000;;8,57081;;
020418;0000;;10,0083;;
020419;0000;;33,4958;;
020420;0000;;0,599998;;
020421;0000;;7,92914;;
020422;0000;;9,84164;;
020423;0000;;13,4625;;
020424;0000;;16,6041;;
020425;0000;;17,2666;;
020426;0000;;43,9332;;
020427;0000;;1,2875;;
020428;0000;;6,62916;;
020429;0000;;17,3416;;
020430;0000;;12,55;;
020501;0000;;15,9666;;
020502;0000;;12,275;;
020503;0000;;18,0625;;
020504;0000;;22,2708;;
020505;0000;;31,575;;
020506;0000;;15,6916;;
020507;0000;;15,8958;;
020508;0000;;26,3416;;
020509;0000;;23,7999;;
020510;0000;;13,7;;
020511;0000;;2,39166;;
020512;0000;;10,0333;;
020513;0000;;6,51665;;
020514;0000;;2,80416;;
020515;0000;;24,1416;;
020516;0000;;13,2666;;
020517;0000;;8,06665;;
020518;0000;;16,3833;;
020519;0000;;9,55415;;
020520;0000;;25,2833;;
020521;0000;;13,5625;;
020522;0000;;14,6625;;
020523;0000;;11,9083;;
020524;0000;;19,2541;;
020525;0000;;0,729164;;
020526;0000;;1,28333;;
020527;0000;;6,13333;;
020528;0000;;5,21249;;
020529;0000;;10,1333;;
020530;0000;;5,82499;;
020531;0000;;24,5999;;
020601;0000;;36,9208;;
020602;0000;;15,775;;
020603;0000;;5,79165;;
020604;0000;;0,0708332;;
020605;0000;;1,04583;;
020606;0000;;7,18748;;
020607;0000;;25,9249;;
020608;0000;;21,2583;;
020609;0000;;10,5916;;
020610;0000;;5,69999;;
020611;0000;;11,1;;
020612;0000;;4,46817;;
020613;0000;;4,21665;;
020614;0000;;15,7958;;
020615;0000;;38,0541;;
020616;0000;;25,0041;;
020617;0000;;2,36666;;
020618;0000;;41,0999;;
020619;0000;;55,6166;;
020620;0000;;16,2916;;
020621;0000;;9,01664;;
020622;0000;;4,21666;;
020623;0000;;7,78748;;
020624;0000;;5,87916;;
020625;0000;;11,2666;;
020626;0000;;8,10416;;
020627;0000;;14,5166;;
020628;0000;;17,85;;
020629;0000;;30,9208;;
020630;0000;;10,6916;;
020701;0000;;34,1874;;
020702;0000;;12,3454;;
020703;0000;;25,4708;;
020704;0000;;6,52083;;
020705;0000;;1,94166;;
020706;0000;;12,1167;;
020707;0000;;37,2166;;
020708;0000;;62,8541;;
020709;0000;;30,3875;;
020710;0000;;8,48748;;
020711;0000;;9,19582;;
020712;0000;;9,08331;;
020713;0000;;7,21249;;
020714;0000;;39,0041;;
020715;0000;;15,8;;
020716;0000;;28,3208;;
020717;0000;;;;
020718;0000;;;;
020719;0000;;9,88749;;
020720;0000;;2,33749;;
020721;0000;;7,38749;;
020722;0000;;4,36249;;
020723;0000;;0,1125;;
020724;0000;;0,624999;;
020725;0000;;24,4416;;
020726;0000;;44,6499;;
020727;0000;;19,8;;
020728;0000;;1,86249;;
020729;0000;;0,1375;;
020730;0000;;4,10832;;
