FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
020901;0100;;;;
020901;0200;;;;
020901;0300;;;;
020901;0400;;;;
020901;0500;;;;
020901;0600;;;;
020901;0700;;;;
020901;0800;;;;
020901;0900;;;;
020901;1000;;;;
020901;1100;;;;
020901;1200;;;;
020901;1300;;;;
020901;1400;;;;
020901;1500;;;;
020901;1600;;;;
020901;1700;;;;
020901;1800;;;;
020901;1900;;;;
020901;2000;;;;
020901;2100;;;;
020901;2200;;;;
020901;2300;;;;
020902;0000;;;;
020902;0100;;;;
020902;0200;;;;
020902;0300;;;;
020902;0400;;;;
020902;0500;;;;
020902;0600;;;;
020902;0700;;;;
020902;0800;;;;
020902;0900;;;;
020902;1000;;;;
020902;1100;;;;
020902;1200;;;;
020902;1300;;;;
020902;1400;;;;
020902;1500;;;;
020902;1600;;;;
020902;1700;;;;
020902;1800;;;;
020902;1900;;;;
020902;2000;;;;
020902;2100;;;;
020902;2200;;;;
020902;2300;;;;
020903;0000;;;;
020903;0100;;;;
020903;0200;;;;
020903;0300;;;;
020903;0400;;;;
020903;0500;;;;
020903;0600;;;;
020903;0700;;;;
020903;0800;;;;
020903;0900;;;;
020903;1000;;;;
020903;1100;;;;
020903;1200;;;;
020903;1300;;;;
020903;1400;;;;
020903;1500;;;;
020903;1600;;;;
020903;1700;;;;
020903;1800;;;;
020903;1900;;;;
020903;2000;;;;
020903;2100;;;;
020903;2200;;;;
020903;2300;;;;
020904;0000;;;;
020904;0100;;;;
020904;0200;;;;
020904;0300;;;;
020904;0400;;;;
020904;0500;;;;
020904;0600;;;;
020904;0700;;;;
020904;0800;;;;
020904;0900;;;;
020904;1000;;;;
020904;1100;;;;
020904;1200;;;;
020904;1300;;;;
020904;1400;;;;
020904;1500;;;;
020904;1600;;;;
020904;1700;;;;
020904;1800;;;;
020904;1900;;;;
020904;2000;;;;
020904;2100;;;;
020904;2200;;;;
020904;2300;;;;
020905;0000;;;;
020905;0100;;;;
020905;0200;;;;
020905;0300;;;;
020905;0400;;;;
020905;0500;;;;
020905;0600;;;;
020905;0700;;;;
020905;0800;;;;
020905;0900;;;;
020905;1000;;;;
020905;1100;;;;
020905;1200;;;;
020905;1300;;;;
020905;1400;;;;
020905;1500;;;;
020905;1600;;;;
020905;1700;;;;
020905;1800;;;;
020905;1900;;;;
020905;2000;;;;
020905;2100;;;;
020905;2200;;;;
020905;2300;;;;
020906;0000;;;;
020906;0100;;;;
020906;0200;;;;
020906;0300;;;;
020906;0400;;;;
020906;0500;;;;
020906;0600;;;;
020906;0700;;;;
020906;0800;;;;
020906;0900;;;;
020906;1000;;;;
020906;1100;;;;
020906;1200;;;;
020906;1300;;;;
020906;1400;;;;
020906;1500;;;;
020906;1600;;;;
020906;1700;;;;
020906;1800;;;;
020906;1900;;;;
020906;2000;;;;
020906;2100;;;;
020906;2200;;;;
020906;2300;;;;
020907;0000;;;;
020907;0100;;;;
020907;0200;;;;
020907;0300;;;;
020907;0400;;;;
020907;0500;;;;
020907;0600;;;;
020907;0700;;;;
020907;0800;;;;
020907;0900;;;;
020907;1000;;;;
020907;1100;;;;
020907;1200;;;;
020907;1300;;;;
020907;1400;;;;
020907;1500;;;;
020907;1600;;;;
020907;1700;;;;
020907;1800;;;;
020907;1900;;;;
020907;2000;;;;
020907;2100;;;;
020907;2200;;;;
020907;2300;;;;
020908;0000;;;;
020908;0100;;;;
020908;0200;;;;
020908;0300;;;;
020908;0400;;;;
020908;0500;;;;
020908;0600;;;;
020908;0700;;;;
020908;0800;;;;
020908;0900;;;;
020908;1000;;;;
020908;1100;;;;
020908;1200;;;;
020908;1300;;;;
020908;1400;;;;
020908;1500;;;;
020908;1600;;;;
020908;1700;;;;
020908;1800;;;;
020908;1900;;;;
020908;2000;;;;
020908;2100;;;;
020908;2200;;;;
020908;2300;;;;
020909;0000;;;;
020909;0100;;;;
020909;0200;;;;
020909;0300;;;;
020909;0400;;;;
020909;0500;;;;
020909;0600;;;;
020909;0700;;;;
020909;0800;;;;
020909;0900;;;;
020909;1000;;;;
020909;1100;;;;
020909;1200;;;;
020909;1300;;;;
020909;1400;;;;
020909;1500;;;;
020909;1600;;;;
020909;1700;;;;
020909;1800;;;;
020909;1900;;;;
020909;2000;;;;
020909;2100;;;;
020909;2200;;;;
020909;2300;;;;
020910;0000;;;;
020910;0100;;;;
020910;0200;;;;
020910;0300;;;;
020910;0400;;;;
020910;0500;;;;
020910;0600;;;;
020910;0700;;;;
020910;0800;;;;
020910;0900;;;;
020910;1000;;;;
020910;1100;;;;
020910;1200;;;;
020910;1300;;;;
020910;1400;;;;
020910;1500;;;;
020910;1600;;;;
020910;1700;;;;
020910;1800;;;;
020910;1900;;;;
020910;2000;;;;
020910;2100;;;;
020910;2200;;;;
020910;2300;;;;
020911;0000;;;;
020911;0100;;;;
020911;0200;;;;
020911;0300;;;;
020911;0400;;;;
020911;0500;;;;
020911;0600;;;;
020911;0700;;;;
020911;0800;;;;
020911;0900;;;;
020911;1000;;;;
020911;1100;;;;
020911;1200;;;;
020911;1300;;;;
020911;1400;;;;
020911;1500;;;;
020911;1600;;;;
020911;1700;;;;
020911;1800;;;;
020911;1900;;;;
020911;2000;;;;
020911;2100;;;;
020911;2200;;;;
020911;2300;;;;
020912;0000;;;;
020912;0100;;;;
020912;0200;;;;
020912;0300;;;;
020912;0400;;;;
020912;0500;;;;
020912;0600;;;;
020912;0700;;;;
020912;0800;;;;
020912;0900;;;;
020912;1000;;;;
020912;1100;;;;
020912;1200;;;;
020912;1300;;;;
020912;1400;;;;
020912;1500;;;;
020912;1600;;;;
020912;1700;;;;
020912;1800;;;;
020912;1900;;;;
020912;2000;;;;
020912;2100;;;;
020912;2200;;;;
020912;2300;;;;
020913;0000;;;;
020913;0100;;;;
020913;0200;;;;
020913;0300;;;;
020913;0400;;;;
020913;0500;;;;
020913;0600;;;;
020913;0700;;;;
020913;0800;;;;
020913;0900;;;;
020913;1000;;;;
020913;1100;;;;
020913;1200;;;;
020913;1300;;;;
020913;1400;;;;
020913;1500;;;;
020913;1600;;;;
020913;1700;;;;
020913;1800;;;;
020913;1900;;;;
020913;2000;;;;
020913;2100;;;;
020913;2200;;;;
020913;2300;;;;
020914;0000;;;;
020914;0100;;;;
020914;0200;;;;
020914;0300;;;;
020914;0400;;;;
020914;0500;;;;
020914;0600;;;;
020914;0700;;;;
020914;0800;;;;
020914;0900;;;;
020914;1000;;;;
020914;1100;;;;
020914;1200;;;;
020914;1300;;;;
020914;1400;;;;
020914;1500;;;;
020914;1600;;;;
020914;1700;;;;
020914;1800;;;;
020914;1900;;;;
020914;2000;;;;
020914;2100;;;;
020914;2200;;;;
020914;2300;;;;
020915;0000;;;;
020915;0100;;;;
020915;0200;;;;
020915;0300;;;;
020915;0400;;;;
020915;0500;;;;
020915;0600;;;;
020915;0700;;;;
020915;0800;;;;
020915;0900;;;;
020915;1000;;;;
020915;1100;;;;
020915;1200;;;;
020915;1300;;;;
020915;1400;;;;
020915;1500;;;;
020915;1600;;;;
020915;1700;;;;
020915;1800;;;;
020915;1900;;;;
020915;2000;;;;
020915;2100;;;;
020915;2200;;;;
020915;2300;;;;
020916;0000;;;;
020916;0100;;;;
020916;0200;;;;
020916;0300;;;;
020916;0400;;;;
020916;0500;;;;
020916;0600;;;;
020916;0700;;;;
020916;0800;;;;
020916;0900;;;;
020916;1000;;;;
020916;1100;;;;
020916;1200;;;;
020916;1300;;;;
020916;1400;;;;
020916;1500;;;;
020916;1600;;;;
020916;1700;;;;
020916;1800;;;;
020916;1900;;;;
020916;2000;;;;
020916;2100;;;;
020916;2200;;;;
020916;2300;;;;
020917;0000;;;;
020917;0100;;;;
020917;0200;;;;
020917;0300;;;;
020917;0400;;;;
020917;0500;;;;
020917;0600;;;;
020917;0700;;;;
020917;0800;;;;
020917;0900;;;;
020917;1000;;;;
020917;1100;;;;
020917;1200;;;;
020917;1300;;;;
020917;1400;;;;
020917;1500;;;;
020917;1600;;;;
020917;1700;;;;
020917;1800;;;;
020917;1900;;;;
020917;2000;;;;
020917;2100;;;;
020917;2200;;;;
020917;2300;;;;
020918;0000;;;;
020918;0100;;;;
020918;0200;;;;
020918;0300;;;;
020918;0400;;;;
020918;0500;;;;
020918;0600;;;;
020918;0700;;;;
020918;0800;;;;
020918;0900;;;;
020918;1000;;;;
020918;1100;;;;
020918;1200;;;;
020918;1300;;;;
020918;1400;;;;
020918;1500;;;;
020918;1600;;;;
020918;1700;;;;
020918;1800;;;;
020918;1900;;;;
020918;2000;;;;
020918;2100;;;;
020918;2200;;;;
020918;2300;;;;
020919;0000;;;;
020919;0100;;;;
020919;0200;;;;
020919;0300;;;;
020919;0400;;;;
020919;0500;;;;
020919;0600;;;;
020919;0700;;;;
020919;0800;;;;
020919;0900;;;;
020919;1000;;;;
020919;1100;;;;
020919;1200;;;;
020919;1300;;;;
020919;1400;;;;
020919;1500;;;;
020919;1600;;;;
020919;1700;;;;
020919;1800;;;;
020919;1900;;;;
020919;2000;;;;
020919;2100;;;;
020919;2200;;;;
020919;2300;;;;
020920;0000;;;;
020920;0100;;;;
020920;0200;;;;
020920;0300;;;;
020920;0400;;;;
020920;0500;;;;
020920;0600;;;;
020920;0700;;;;
020920;0800;;;;
020920;0900;;;;
020920;1000;;;;
020920;1100;;;;
020920;1200;;;;
020920;1300;;;;
020920;1400;;;;
020920;1500;;;;
020920;1600;;;;
020920;1700;;;;
020920;1800;;;;
020920;1900;;;;
020920;2000;;;;
020920;2100;;;;
020920;2200;;;;
020920;2300;;;;
020921;0000;;;;
020921;0100;;;;
020921;0200;;;;
020921;0300;;;;
020921;0400;;;;
020921;0500;;;;
020921;0600;;;;
020921;0700;;;;
020921;0800;;;;
020921;0900;;;;
020921;1000;;;;
020921;1100;;;;
020921;1200;;;;
020921;1300;;;;
020921;1400;;;;
020921;1500;;;;
020921;1600;;;;
020921;1700;;;;
020921;1800;;;;
020921;1900;;;;
020921;2000;;;;
020921;2100;;;;
020921;2200;;;;
020921;2300;;;;
020922;0000;;;;
020922;0100;;;;
020922;0200;;;;
020922;0300;;;;
020922;0400;;;;
020922;0500;;;;
020922;0600;;;;
020922;0700;;;;
020922;0800;;;;
020922;0900;;;;
020922;1000;;;;
020922;1100;;;;
020922;1200;;;;
020922;1300;;;;
020922;1400;;;;
020922;1500;;;;
020922;1600;;;;
020922;1700;;;;
020922;1800;;;;
020922;1900;;;;
020922;2000;;;;
020922;2100;;;;
020922;2200;;;;
020922;2300;;;;
020923;0000;;;;
020923;0100;;;;
020923;0200;;;;
020923;0300;;;;
020923;0400;;;;
020923;0500;;;;
020923;0600;;;;
020923;0700;;;;
020923;0800;;;;
020923;0900;;;;
020923;1000;;;;
020923;1100;;;;
020923;1200;;;;
020923;1300;;;;
020923;1400;;;;
020923;1500;;;;
020923;1600;;;;
020923;1700;;;;
020923;1800;;;;
020923;1900;;;;
020923;2000;;;;
020923;2100;;;;
020923;2200;;;;
020923;2300;;;;
020924;0000;;;;
020924;0100;;;;
020924;0200;;;;
020924;0300;;;;
020924;0400;;;;
020924;0500;;;;
020924;0600;;;;
020924;0700;;;;
020924;0800;;;;
020924;0900;;;;
020924;1000;;;;
020924;1100;;;;
020924;1200;;;;
020924;1300;;;;
020924;1400;;;;
020924;1500;;;;
020924;1600;;;;
020924;1700;;;;
020924;1800;;;;
020924;1900;;;;
020924;2000;;;;
020924;2100;;;;
020924;2200;;;;
020924;2300;;;;
020925;0000;;;;
020925;0100;;;;
020925;0200;;;;
020925;0300;;;;
020925;0400;;;;
020925;0500;;;;
020925;0600;;;;
020925;0700;;;;
020925;0800;;;;
020925;0900;;;;
020925;1000;;;;
020925;1100;;;;
020925;1200;;;;
020925;1300;;;;
020925;1400;;;;
020925;1500;;;;
020925;1600;;;;
020925;1700;;;;
020925;1800;;;;
020925;1900;;;;
020925;2000;;;;
020925;2100;;;;
020925;2200;;;;
020925;2300;;;;
020926;0000;;;;
020926;0100;;;;
020926;0200;;;;
020926;0300;;;;
020926;0400;;;;
020926;0500;;;;
020926;0600;;;;
020926;0700;;;;
020926;0800;;;;
020926;0900;;;;
020926;1000;;;;
020926;1100;;;;
020926;1200;;;;
020926;1300;;;;
020926;1400;;;;
020926;1500;;;;
020926;1600;;;;
020926;1700;;;;
020926;1800;;;;
020926;1900;;;;
020926;2000;;;;
020926;2100;;;;
020926;2200;;;;
020926;2300;;;;
020927;0000;;;;
020927;0100;;;;
020927;0200;;;;
020927;0300;;;;
020927;0400;;;;
020927;0500;;;;
020927;0600;;;;
020927;0700;;;;
020927;0800;;;;
020927;0900;;;;
020927;1000;;;;
020927;1100;;;;
020927;1200;;;;
020927;1300;;;;
020927;1400;;;;
020927;1500;;;;
020927;1600;;;;
020927;1700;;;;
020927;1800;;;;
020927;1900;;;;
020927;2000;;;;
020927;2100;;;;
020927;2200;;;;
020927;2300;;;;
020928;0000;;;;
020928;0100;;;;
020928;0200;;;;
020928;0300;;;;
020928;0400;;;;
020928;0500;;;;
020928;0600;;;;
020928;0700;;;;
020928;0800;;;;
020928;0900;;;;
020928;1000;;;;
020928;1100;;;;
020928;1200;;;;
020928;1300;;;;
020928;1400;;;;
020928;1500;;;;
020928;1600;;;;
020928;1700;;;;
020928;1800;;;;
020928;1900;;;;
020928;2000;;;;
020928;2100;;;;
020928;2200;;;;
020928;2300;;;;
020929;0000;;;;
020929;0100;;;;
020929;0200;;;;
020929;0300;;;;
020929;0400;;;;
020929;0500;;;;
020929;0600;;;;
020929;0700;;;;
020929;0800;;;;
020929;0900;;;;
020929;1000;;;;
020929;1100;;;;
020929;1200;;;;
020929;1300;;;;
020929;1400;;;;
020929;1500;;;;
020929;1600;;;;
020929;1700;;;;
020929;1800;;;;
020929;1900;;;;
020929;2000;;;;
020929;2100;;;;
020929;2200;;;;
020929;2300;;;;
020930;0000;;;;
020930;0100;;;;
020930;0200;;;;
