FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
170429;0100;;;10,3;
170429;0200;;;10,71;
170429;0300;;;11;
170429;0400;;;10,53;
170429;0500;;;10,04;
170429;0600;;;9,64;
170429;0700;;;9,22;
170429;0800;;;9,08;
170429;0900;;;9,72;
170429;1000;;;10,98;
170429;1100;;;12,87;
170429;1200;;;16,55;
170429;1300;;;16,8;
170429;1400;;;18,13;
170429;1500;;;18,06;
170429;1600;;;16,57;
170429;1700;;;15,52;
170429;1800;;;13,36;
170429;1900;;;11,93;
170429;2000;;;11,76;
170429;2100;;;11,97;
170429;2200;;;11,75;
170429;2300;;;11,79;
170430;0000;;;11,78;
170430;0100;;;11,97;
170430;0200;;;11,26;
170430;0300;;;10,99;
170430;0400;;;11,15;
170430;0500;;;11,14;
170430;0600;;;11,43;
170430;0700;;;11,01;
170430;0800;;;10,93;
170430;0900;;;11,42;
170430;1000;;;12,05;
170430;1100;;;14,25;
170430;1200;;;17,69;
170430;1300;;;20,04;
170430;1400;;;19,81;
170430;1500;;;20,01;
170430;1600;;;19,34;
170430;1700;;;17,23;
170430;1800;;;13,99;
170430;1900;;;14,22;
170430;2000;;;13,62;
170430;2100;;;12,8;
170430;2200;;;12,63;
170430;2300;;;12,61;
170501;0000;;;12,68;
170501;0100;;;13;
170501;0200;;;12;
170501;0300;;;12;
170501;0400;;;12;
170501;0500;;;12;
170501;0600;;;12;
170501;0700;;;12;
170501;0800;;;12;
170501;0900;;;14;
170501;1000;;;15;
170501;1100;;;15;
170501;1200;;;16;
170501;1300;;;16;
170501;1400;;;16;
170501;1500;;;16;
170501;1600;;;16;
170501;1700;;;16;
170501;1800;;;15;
170501;1900;;;14;
170501;2000;;;14;
170501;2100;;;13;
170501;2200;;;13;
170501;2300;;;13;
170502;0000;;;13;
170502;0100;;;11;
170502;0200;;;11;
170502;0300;;;11;
170502;0400;;;;
170502;0500;;;;
170502;0600;;;;
170502;0700;;;;
170502;0800;;;;
170502;0900;;;;
170502;1000;;;;
170502;1100;;;;
170502;1200;;;;
170502;1300;;;;
170502;1400;;;;
170502;1500;;;;
170502;1600;;;;
170502;1700;;;;
170502;1800;;;;
170502;1900;;;;
170502;2000;;;;
170502;2100;;;;
170502;2200;;;;
170502;2300;;;;
170503;0000;;;;
170503;0100;;;;
170503;0200;;;;
170503;0300;;;;
170503;0400;;;;
170503;0500;;;;
170503;0600;;;;
170503;0700;;;;
170503;0800;;;;
170503;0900;;;;
170503;1000;;;;
170503;1100;;;;
170503;1200;;;;
170503;1300;;;;
170503;1400;;;;
170503;1500;;;;
170503;1600;;;;
170503;1700;;;;
170503;1800;;;;
170503;1900;;;;
170503;2000;;;;
170503;2100;;;;
170503;2200;;;;
170503;2300;;;;
170504;0000;;;;
170504;0100;;;;
170504;0200;;;;
170504;0300;;;;
170504;0400;;;;
170504;0500;;;;
170504;0600;;;;
170504;0700;;;;
170504;0800;;;;
170504;0900;;;;
170504;1000;;;;
170504;1100;;;;
170504;1200;;;;
170504;1300;;;;
170504;1400;;;;
170504;1500;;;;
170504;1600;;;;
170504;1700;;;;
170504;1800;;;;
170504;1900;;;;
170504;2000;;;;
170504;2100;;;;
170504;2200;;;;
170504;2300;;;;
170505;0000;;;;
170505;0100;;;;
170505;0200;;;;
170505;0300;;;;
170505;0400;;;;
170505;0500;;;;
170505;0600;;;;
170505;0700;;;;
170505;0800;;;;
170505;0900;;;;
170505;1000;;;;
170505;1100;;;;
170505;1200;;;;
170505;1300;;;;
170505;1400;;;;
170505;1500;;;;
170505;1600;;;;
170505;1700;;;;
170505;1800;;;;
170505;1900;;;;
170505;2000;;;;
170505;2100;;;;
170505;2200;;;;
170505;2300;;;;
170506;0000;;;;
170506;0100;;;;
170506;0200;;;;
170506;0300;;;;
170506;0400;;;;
170506;0500;;;;
170506;0600;;;;
170506;0700;;;;
170506;0800;;;;
170506;0900;;;;
170506;1000;;;;
170506;1100;;;;
