FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
170429;0100;;;12,1961;
170429;0200;;;13,1786;
170429;0300;;;95,0537;
170429;0400;;;43,9112;
170429;0500;;;35,8154;
170429;0600;;;25,807;
170429;0700;;;31,178;
170429;0800;;;47,1076;
170429;0900;;;37,728;
170429;1000;;;38,383;
170429;1100;;;82,923;
170429;1200;;;96,154;
170429;1300;;;88,2678;
170429;1400;;;69,7706;
170429;1500;;;54,758;
170429;1600;;;47,422;
170429;1700;;;15,0938;
170429;1800;;;22,401;
170429;1900;;;13,8598;
170429;2000;;;15,5261;
170429;2100;;;2,59642;
170429;2200;;;7,11854;
170429;2300;;;20,8342;
170430;0000;;;12,9192;
170430;0100;;;0;
170430;0200;;;0;
170430;0300;;;74,7486;
170430;0400;;;1,86282;
170430;0500;;;19,4614;
170430;0600;;;13,5716;
170430;0700;;;29,5012;
170430;0800;;;25,4926;
170430;0900;;;51,9546;
170430;1000;;;23,7372;
170430;1100;;;50,0158;
170430;1200;;;60,7054;
170430;1300;;;53,8148;
170430;1400;;;41,4746;
170430;1500;;;38,5926;
170430;1600;;;52,8192;
170430;1700;;;37,9114;
170430;1800;;;25,8332;
170430;1900;;;67,1768;
170430;2000;;;31,1256;
170430;2100;;;53,5004;
170430;2200;;;38,5402;
170430;2300;;;75,5084;
170501;0000;;;26,2786;
170501;0100;;;0,02;
170501;0200;;;27,98;
170501;0300;;;1,25;
170501;0400;;;29,71;
170501;0500;;;42,86;
170501;0600;;;35,42;
170501;0700;;;24;
170501;0800;;;22,48;
170501;0900;;;43,47;
170501;1000;;;56,57;
170501;1100;;;36,23;
170501;1200;;;49,12;
170501;1300;;;47,45;
170501;1400;;;45,69;
170501;1500;;;42,6;
170501;1600;;;40,4;
170501;1700;;;48,94;
170501;1800;;;40,43;
170501;1900;;;32,28;
170501;2000;;;48,26;
170501;2100;;;38,15;
170501;2200;;;47,55;
170501;2300;;;34,51;
170502;0000;;;41,76;
170502;0100;;;25,81;
170502;0200;;;17,31;
170502;0300;;;36,13;
170502;0400;;;;
170502;0500;;;;
170502;0600;;;;
170502;0700;;;;
170502;0800;;;;
170502;0900;;;;
170502;1000;;;;
170502;1100;;;;
170502;1200;;;;
170502;1300;;;;
170502;1400;;;;
170502;1500;;;;
170502;1600;;;;
170502;1700;;;;
170502;1800;;;;
170502;1900;;;;
170502;2000;;;;
170502;2100;;;;
170502;2200;;;;
170502;2300;;;;
170503;0000;;;;
170503;0100;;;;
170503;0200;;;;
170503;0300;;;;
170503;0400;;;;
170503;0500;;;;
170503;0600;;;;
170503;0700;;;;
170503;0800;;;;
170503;0900;;;;
170503;1000;;;;
170503;1100;;;;
170503;1200;;;;
170503;1300;;;;
170503;1400;;;;
170503;1500;;;;
170503;1600;;;;
170503;1700;;;;
170503;1800;;;;
170503;1900;;;;
170503;2000;;;;
170503;2100;;;;
170503;2200;;;;
170503;2300;;;;
170504;0000;;;;
170504;0100;;;;
170504;0200;;;;
170504;0300;;;;
170504;0400;;;;
170504;0500;;;;
170504;0600;;;;
170504;0700;;;;
170504;0800;;;;
170504;0900;;;;
170504;1000;;;;
170504;1100;;;;
170504;1200;;;;
170504;1300;;;;
170504;1400;;;;
170504;1500;;;;
170504;1600;;;;
170504;1700;;;;
170504;1800;;;;
170504;1900;;;;
170504;2000;;;;
170504;2100;;;;
170504;2200;;;;
170504;2300;;;;
170505;0000;;;;
170505;0100;;;;
170505;0200;;;;
170505;0300;;;;
170505;0400;;;;
170505;0500;;;;
170505;0600;;;;
170505;0700;;;;
170505;0800;;;;
170505;0900;;;;
170505;1000;;;;
170505;1100;;;;
170505;1200;;;;
170505;1300;;;;
170505;1400;;;;
170505;1500;;;;
170505;1600;;;;
170505;1700;;;;
170505;1800;;;;
170505;1900;;;;
170505;2000;;;;
170505;2100;;;;
170505;2200;;;;
170505;2300;;;;
170506;0000;;;;
170506;0100;;;;
170506;0200;;;;
170506;0300;;;;
170506;0400;;;;
170506;0500;;;;
170506;0600;;;;
170506;0700;;;;
170506;0800;;;;
170506;0900;;;;
170506;1000;;;;
170506;1100;;;;
170506;1200;;;;
170506;1300;;;;
170506;1400;;;;
170506;1500;;;;
170506;1600;;;;
170506;1700;;;;
170506;1800;;;;
170506;1900;;;;
170506;2000;;;;
170506;2100;;;;
170506;2200;;;;
170506;2300;;;;
170507;0000;;;;
170507;0100;;;;
170507;0200;;;;
170507;0300;;;;
170507;0400;;;;
170507;0500;;;;
170507;0600;;;;
170507;0700;;;;
170507;0800;;;;
170507;0900;;;;
170507;1000;;;;
170507;1100;;;;
170507;1200;;;;
170507;1300;;;;
170507;1400;;;;
170507;1500;;;;
170507;1600;;;;
170507;1700;;;;
170507;1800;;;;
170507;1900;;;;
170507;2000;;;;
170507;2100;;;;
170507;2200;;;;
170507;2300;;;;
170508;0000;;;;
170508;0100;;;;
170508;0200;;;;
170508;0300;;;;
170508;0400;;;;
170508;0500;;;;
170508;0600;;;;
170508;0700;;;;
170508;0800;;;;
170508;0900;;;;
170508;1000;;;;
170508;1100;;;;
170508;1200;;;;
170508;1300;;;;
170508;1400;;;;
170508;1500;;;;
170508;1600;;;;
170508;1700;;;;
170508;1800;;;;
170508;1900;;;;
170508;2000;;;;
170508;2100;;;;
170508;2200;;;;
170508;2300;;;;
170509;0000;;;;
170509;0100;;;;
170509;0200;;;;
170509;0300;;;;
170509;0400;;;;
170509;0500;;;;
170509;0600;;;;
170509;0700;;;;
170509;0800;;;;
170509;0900;;;;
170509;1000;;;;
170509;1100;;;;
170509;1200;;;;
170509;1300;;;;
170509;1400;;;;
170509;1500;;;;
170509;1600;;;;
170509;1700;;;;
170509;1800;;;;
170509;1900;;;;
170509;2000;;;;
170509;2100;;;;
170509;2200;;;;
170509;2300;;;;
170510;0000;;;;
170510;0100;;;;
170510;0200;;;;
170510;0300;;;;
170510;0400;;;;
170510;0500;;;;
170510;0600;;;;
170510;0700;;;;
170510;0800;;;;
170510;0900;;;;
170510;1000;;;;
170510;1100;;;;
170510;1200;;;;
170510;1300;;;;
170510;1400;;;;
170510;1500;;;;
170510;1600;;;;
170510;1700;;;;
170510;1800;;;;
170510;1900;;;;
170510;2000;;;;
170510;2100;;;;
170510;2200;;;;
170510;2300;;;;
170511;0000;;;;
170511;0100;;;;
170511;0200;;;;
170511;0300;;;;
170511;0400;;;;
170511;0500;;;;
170511;0600;;;;
170511;0700;;;;
170511;0800;;;;
170511;0900;;;;
170511;1000;;;;
170511;1100;;;;
170511;1200;;;;
170511;1300;;;;
170511;1400;;;;
170511;1500;;;;
170511;1600;;;;
170511;1700;;;;
