FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
940101;0100;;26;;
940101;0200;;35;;
940101;0300;;14;;
940101;0400;;4,00001;;
940101;0500;;3;;
940101;0600;;39;;
940101;0700;;2021;;
940101;0800;;1845;;
940101;0900;;635,999;;
940101;1000;;127;;
940101;1100;;59;;
940101;1200;;50;;
940101;1300;;5,00001;;
940101;1400;;2;;
940101;1500;;0,999998;;
940101;1600;;0,999998;;
940101;1700;;0,999998;;
940101;1800;;0;;
940101;1900;;0;;
940101;2000;;0;;
940101;2100;;3;;
940101;2200;;9,99998;;
940101;2300;;34;;
940102;0000;;34;;
940102;0100;;;;
940102;0200;;21;;
940102;0300;;16;;
940102;0400;;5,99998;;
940102;0500;;5,99998;;
940102;0600;;6,99998;;
940102;0700;;158;;
940102;0800;;400;;
940102;0900;;179;;
940102;1000;;79,9998;;
940102;1100;;30;;
940102;1200;;6,99998;;
940102;1300;;2;;
940102;1400;;0,999998;;
940102;1500;;0,999998;;
940102;1600;;0,999998;;
940102;1700;;0;;
940102;1800;;0;;
940102;1900;;0;;
940102;2000;;0;;
940102;2100;;0,999998;;
940102;2200;;0,999998;;
940102;2300;;3;;
940103;0000;;8,99998;;
940103;0100;;4,00001;;
940103;0200;;4,00001;;
940103;0300;;4,00001;;
940103;0400;;5,00001;;
940103;0500;;16;;
940103;0600;;409;;
940103;0700;;75,9999;;
940103;0800;;31,0001;;
940103;0900;;19;;
940103;1000;;8,99998;;
940103;1100;;;;
940103;1200;;;;
940103;1300;;;;
940103;1400;;;;
940103;1500;;;;
940103;1600;;4,00001;;
940103;1700;;0,999998;;
940103;1800;;0,999998;;
940103;1900;;0,999998;;
940103;2000;;0,999998;;
940103;2100;;2;;
940103;2200;;12;;
940103;2300;;8,99998;;
940104;0000;;0,999998;;
940104;0100;;0,999998;;
940104;0200;;0,999998;;
940104;0300;;0;;
940104;0400;;0;;
940104;0500;;8,99998;;
940104;0600;;14;;
940104;0700;;17;;
940104;0800;;19;;
940104;0900;;48,9997;;
940104;1000;;87,9996;;
940104;1100;;335,001;;
940104;1200;;35;;
940104;1300;;2;;
940104;1400;;0,999998;;
940104;1500;;0;;
940104;1600;;0;;
940104;1700;;0;;
940104;1800;;0;;
940104;1900;;0;;
940104;2000;;0;;
940104;2100;;0;;
940104;2200;;0,999998;;
940104;2300;;0,999998;;
940105;0000;;0;;
940105;0100;;0;;
940105;0200;;0,999998;;
940105;0300;;0,999998;;
940105;0400;;0,999998;;
940105;0500;;0;;
940105;0600;;0;;
940105;0700;;0,999998;;
940105;0800;;19;;
940105;0900;;122;;
940105;1000;;103;;
940105;1100;;40,0001;;
940105;1200;;17;;
940105;1300;;6,99998;;
940105;1400;;0,999998;;
940105;1500;;0,999998;;
940105;1600;;;;
940105;1700;;5,00001;;
940105;1800;;5,00001;;
940105;1900;;4,00001;;
940105;2000;;4,00001;;
940105;2100;;4,00001;;
940105;2200;;8,99998;;
940105;2300;;13;;
940106;0000;;4,00001;;
940106;0100;;4,00001;;
940106;0200;;4,00001;;
940106;0300;;5,00001;;
940106;0400;;11;;
940106;0500;;11;;
940106;0600;;12;;
940106;0700;;11;;
940106;0800;;12;;
940106;0900;;13;;
940106;1000;;13;;
940106;1100;;97;;
940106;1200;;83,9997;;
940106;1300;;14;;
940106;1400;;5,00001;;
940106;1500;;5,00001;;
940106;1600;;5,00001;;
940106;1700;;5,00001;;
940106;1800;;3;;
940106;1900;;4,00001;;
940106;2000;;4,00001;;
940106;2100;;4,00001;;
940106;2200;;4,00001;;
940106;2300;;4,00001;;
