FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
121025;0100;;;1,42293;
121025;0200;;;1,41563;
121025;0300;;;1,42413;
121025;0400;;;1,45967;
121025;0500;;;1,44467;
121025;0600;;;1,60038;
121025;0700;;;1,58165;
121025;0800;;;1,3841;
121025;0900;;;1,27002;
121025;1000;;;;
121025;1100;;;;
121025;1200;;;0,0324333;
121025;1300;;;0,0291017;
121025;1400;;;0,0319666;
121025;1500;;;0,00306779;
121025;1600;;;0,000783333;
121025;1700;;;0;
121025;1800;;;0,000666667;
121025;1900;;;0,00455932;
121025;2000;;;0,177617;
121025;2100;;;0,51345;
121025;2200;;;0,150283;
121025;2300;;;0,0206167;
121026;0000;;;0,0191017;
121026;0100;;;0,0136333;
121026;0200;;;0,0238166;
121026;0300;;;0,0226333;
121026;0400;;;0,0330666;
121026;0500;;;0,119864;
121026;0600;;;0,169167;
121026;0700;;;0,150133;
121026;0800;;;0,106117;
121026;0900;;;0,00536667;
121026;1000;;;0,00481666;
121026;1100;;;0,160517;
121026;1200;;;0,304724;
121026;1300;;;0,265833;
121026;1400;;;0,235683;
121026;1500;;;0,24955;
121026;1600;;;0,3114;
121026;1700;;;0,3457;
121026;1800;;;0,372683;
121026;1900;;;0,197783;
121026;2000;;;0,28389;
121026;2100;;;0,386;
121026;2200;;;0,502672;
121026;2300;;;0,609899;
121027;0000;;;0,980916;
121027;0100;;;0,400233;
121027;0200;;;0,363567;
121027;0300;;;0,281833;
121027;0400;;;0,185724;
121027;0500;;;0,183517;
121027;0600;;;0,272567;
121027;0700;;;0,11945;
121027;0800;;;0,118383;
121027;0900;;;0,0488999;
121027;1000;;;0,05255;
121027;1100;;;0,151017;
121027;1200;;;0,176183;
121027;1300;;;0,171433;
121027;1400;;;0,0456667;
121027;1500;;;0,157017;
121027;1600;;;0,260767;
121027;1700;;;0,308567;
121027;1800;;;0,171917;
121027;1900;;;0,220567;
121027;2000;;;0,431266;
121027;2100;;;0,573382;
121027;2200;;;1,14117;
121027;2300;;;0,854583;
121028;0000;;;0,950682;
121028;0100;;;0,839966;
121028;0200;;;0,365874;
121028;0300;;;0,45676;
121028;0400;;;0,410673;
121028;0500;;;0,416216;
121028;0600;;;0,486733;
121028;0700;;;0,3896;
121028;0800;;;0,386542;
121028;0900;;;0,296283;
121028;1000;;;0,051569;
121028;1100;;;0,05635;
121028;1200;;;0,207661;
121028;1300;;;0,157917;
121028;1400;;;0,0646333;
121028;1500;;;0,141167;
121028;1600;;;0,197517;
121028;1700;;;0,229867;
121028;1800;;;0,239933;
121028;1900;;;0,03505;
121028;2000;;;0,163824;
121028;2100;;;0,211483;
121028;2200;;;0,2861;
121028;2300;;;0,259433;
121029;0000;;;0,1044;
121029;0100;;;0,0281333;
121029;0200;;;0,00186441;
121029;0300;;;0,0222034;
121029;0400;;;0,0166167;
121029;0500;;;0,166667;
121029;0600;;;0,17165;
121029;0700;;;0,259678;
121029;0800;;;0,280763;
121029;0900;;;0,21985;
121029;1000;;;0,462033;
121029;1100;;;0,739598;
121029;1200;;;0,803514;
121029;1300;;;0,571703;
121029;1400;;;0,454513;
121029;1500;;;0,509979;
121029;1600;;;0,573313;
121029;1700;;;0,600081;
121029;1800;;;0,50093;
121029;1900;;;0,55057;
121029;2000;;;0,318517;
121029;2100;;;0,41699;
121029;2200;;;0,3403;
121029;2300;;;0,402616;
121030;0000;;;0,34139;
121030;0100;;;0,297;
121030;0200;;;0,291183;
121030;0300;;;0,231283;
121030;0400;;;;
121030;0500;;;;
121030;0600;;;;
121030;0700;;;;
121030;0800;;;;
121030;0900;;;;
121030;1000;;;;
121030;1100;;;;
121030;1200;;;;
121030;1300;;;;
121030;1400;;;;
121030;1500;;;;
121030;1600;;;;
121030;1700;;;;
121030;1800;;;;
121030;1900;;;;
121030;2000;;;;
121030;2100;;;;
121030;2200;;;;
121030;2300;;;;
121031;0000;;;;
121031;0100;;;;
121031;0200;;;;
121031;0300;;;;
121031;0400;;;;
121031;0500;;;;
121031;0600;;;;
121031;0700;;;;
121031;0800;;;;
121031;0900;;;;
121031;1000;;;;
121031;1100;;;;
121031;1200;;;;
121031;1300;;;;
121031;1400;;;;
121031;1500;;;;
121031;1600;;;;
121031;1700;;;;
121031;1800;;;;
121031;1900;;;;
121031;2000;;;;
121031;2100;;;;
121031;2200;;;;
121031;2300;;;;
121101;0000;;;;
121101;0100;;;;
121101;0200;;;;
121101;0300;;;;
121101;0400;;;;
121101;0500;;;;
121101;0600;;;;
121101;0700;;;;
121101;0800;;;;
121101;0900;;;;
121101;1000;;;;
121101;1100;;;;
121101;1200;;;;
121101;1300;;;;
121101;1400;;;;
121101;1500;;;;
121101;1600;;;;
121101;1700;;;;
121101;1800;;;;
121101;1900;;;;
121101;2000;;;;
121101;2100;;;;
121101;2200;;;;
121101;2300;;;;
121102;0000;;;;
121102;0100;;;;
121102;0200;;;;
121102;0300;;;;
121102;0400;;;;
121102;0500;;;;
121102;0600;;;;
121102;0700;;;;
121102;0800;;;;
121102;0900;;;;
121102;1000;;;;
121102;1100;;;;
121102;1200;;;;
121102;1300;;;;
121102;1400;;;;
121102;1500;;;;
121102;1600;;;;
121102;1700;;;;
121102;1800;;;;
121102;1900;;;;
121102;2000;;;;
121102;2100;;;;
121102;2200;;;;
121102;2300;;;;
121103;0000;;;;
121103;0100;;;;
121103;0200;;;;
121103;0300;;;;
121103;0400;;;;
121103;0500;;;;
121103;0600;;;;
121103;0700;;;;
121103;0800;;;;
121103;0900;;;;
121103;1000;;;;
121103;1100;;;;
121103;1200;;;;
121103;1300;;;;
121103;1400;;;;
121103;1500;;;;
121103;1600;;;;
121103;1700;;;;
121103;1800;;;;
121103;1900;;;;
121103;2000;;;;
121103;2100;;;;
121103;2200;;;;
121103;2300;;;;
121104;0000;;;;
121104;0100;;;;
121104;0200;;;;
121104;0300;;;;
121104;0400;;;;
121104;0500;;;;
121104;0600;;;;
121104;0700;;;;
121104;0800;;;;
121104;0900;;;;
121104;1000;;;;
121104;1100;;;;
121104;1200;;;;
121104;1300;;;;
121104;1400;;;;
121104;1500;;;;
121104;1600;;;;
121104;1700;;;;
121104;1800;;;;
121104;1900;;;;
121104;2000;;;;
121104;2100;;;;
121104;2200;;;;
121104;2300;;;;
121105;0000;;;;
121105;0100;;;;
121105;0200;;;;
121105;0300;;;;
121105;0400;;;;
121105;0500;;;;
121105;0600;;;;
121105;0700;;;;
121105;0800;;;;
121105;0900;;;;
121105;1000;;;;
121105;1100;;;;
121105;1200;;;;
121105;1300;;;;
121105;1400;;;;
121105;1500;;;;
121105;1600;;;1,99413;
121105;1700;;;;
121105;1800;;;;
121105;1900;;;;
121105;2000;;;;
121105;2100;;;;
121105;2200;;;0,47995;
121105;2300;;;0,29865;
121106;0000;;;0,24055;
121106;0100;;;0,1586;
121106;0200;;;0,14425;
121106;0300;;;0,13215;
121106;0400;;;0,141133;
121106;0500;;;0,1977;
121106;0600;;;0,376833;
121106;0700;;;0,390266;
121106;0800;;;0,345383;
121106;0900;;;0,14305;
121106;1000;;;0,0368665;
121106;1100;;;0,0111833;
121106;1200;;;0,000568965;
121106;1300;;;3,33333e-05;
121106;1400;;;0;
121106;1500;;;0;
121106;1600;;;0;
121106;1700;;;0;
121106;1800;;;0;
121106;1900;;;0,0221695;
121106;2000;;;0,0831895;
121106;2100;;;;
121106;2200;;;;
121106;2300;;;;
121107;0000;;;;
121107;0100;;;;
121107;0200;;;;
121107;0300;;;;
121107;0400;;;;
121107;0500;;;;
121107;0600;;;;
121107;0700;;;;
121107;0800;;;;
121107;0900;;;;
121107;1000;;;;
121107;1100;;;;
121107;1200;;;;
121107;1300;;;;
121107;1400;;;;
121107;1500;;;;
121107;1600;;;;
121107;1700;;;;
121107;1800;;;;
121107;1900;;;;
121107;2000;;;;
121107;2100;;;;
121107;2200;;;;
121107;2300;;;;
121108;0000;;;;
121108;0100;;;;
121108;0200;;;;
121108;0300;;;;
121108;0400;;;;
121108;0500;;;;
121108;0600;;;;
121108;0700;;;;
121108;0800;;;;
121108;0900;;;0,0289;
121108;1000;;;0,00431666;
121108;1100;;;0;
121108;1200;;;0;
121108;1300;;;;
121108;1400;;;;
121108;1500;;;0;
121108;1600;;;0;
121108;1700;;;0;
121108;1800;;;0;
121108;1900;;;0,000224138;
121108;2000;;;;
121108;2100;;;;
121108;2200;;;;
121108;2300;;;;
121109;0000;;;;
121109;0100;;;;
121109;0200;;;;
121109;0300;;;;
121109;0400;;;;
121109;0500;;;;
121109;0600;;;;
121109;0700;;;;
121109;0800;;;;
121109;0900;;;;
121109;1000;;;;
121109;1100;;;;
121109;1200;;;0;
121109;1300;;;0;
121109;1400;;;0;
121109;1500;;;0;
121109;1600;;;0,00522414;
121109;1700;;;0,0277;
121109;1800;;;0,0609165;
121109;1900;;;0,1225;
121109;2000;;;0,109322;
121109;2100;;;0,261457;
121109;2200;;;0,501761;
121109;2300;;;0,247763;
121110;0000;;;0,268638;
121110;0100;;;0,243644;
121110;0200;;;0,201397;
121110;0300;;;0,212169;
121110;0400;;;0,224947;
121110;0500;;;0,223447;
121110;0600;;;0,240814;
121110;0700;;;0,258667;
121110;0800;;;0,327155;
121110;0900;;;0,254618;
121110;1000;;;0,126683;
121110;1100;;;0,0494333;
121110;1200;;;0,0139167;
121110;1300;;;0,000762711;
121110;1400;;;0;
121110;1500;;;0;
121110;1600;;;0;
121110;1700;;;0;
121110;1800;;;0;
121110;1900;;;0,00173333;
121110;2000;;;0,0768665;
121110;2100;;;0,247576;
121110;2200;;;0,302283;
121110;2300;;;0,278218;
121111;0000;;;0,219034;
121111;0100;;;0,177776;
121111;0200;;;0,169232;
121111;0300;;;0,143909;
121111;0400;;;0,140207;
121111;0500;;;0,132224;
121111;0600;;;0,134897;
121111;0700;;;0,2116;
121111;0800;;;0,148379;
121111;0900;;;0,129896;
121111;1000;;;0,0367966;
121111;1100;;;0;
121111;1200;;;0;
121111;1300;;;0;
121111;1400;;;0;
121111;1500;;;0;
121111;1600;;;0;
121111;1700;;;0;
121111;1800;;;0;
121111;1900;;;0,00231667;
121111;2000;;;0,0181;
121111;2100;;;0,0871207;
121111;2200;;;0,0960861;
121111;2300;;;0,0670333;
121112;0000;;;0,0686207;
121112;0100;;;0,0426379;
121112;0200;;;0,0464914;
121112;0300;;;0,0510833;
121112;0400;;;0,0640999;
121112;0500;;;0,0916667;
121112;0600;;;0,199915;
121112;0700;;;0,299033;
121112;0800;;;0,255233;
121112;0900;;;0,0548666;
121112;1000;;;0,00175;
121112;1100;;;0,000183333;
121112;1200;;;0;
121112;1300;;;0;
121112;1400;;;0;
121112;1500;;;0;
121112;1600;;;0;
121112;1700;;;0;
121112;1800;;;0,000116667;
121112;1900;;;0,000616666;
121112;2000;;;0,0088;
121112;2100;;;0,03605;
121112;2200;;;0,172933;
121112;2300;;;0,0631665;
121113;0000;;;0,0337;
121113;0100;;;0,0291833;
121113;0200;;;0,0401832;
121113;0300;;;0,03435;
121113;0400;;;;
121113;0500;;;;
121113;0600;;;;
121113;0700;;;;
121113;0800;;;0,212;
121113;0900;;;0,1172;
121113;1000;;;0,00368333;
121113;1100;;;0;
121113;1200;;;0;
121113;1300;;;0,0011;
121113;1400;;;0,01625;
121113;1500;;;0,00742371;
121113;1600;;;;
121113;1700;;;;
121113;1800;;;0,0491166;
121113;1900;;;0,10745;
121113;2000;;;0,165283;
121113;2100;;;0,2431;
121113;2200;;;0,344366;
121113;2300;;;0,20965;
121114;0000;;;0,16085;
121114;0100;;;0,121417;
121114;0200;;;0,12455;
121114;0300;;;0,124417;
121114;0400;;;0,146767;
121114;0500;;;0,1836;
121114;0600;;;0,357833;
121114;0700;;;0,36475;
121114;0800;;;0,264783;
121114;0900;;;0,259667;
121114;1000;;;0,0476167;
121114;1100;;;6,66665e-05;
121114;1200;;;0;
121114;1300;;;0,000933332;
121114;1400;;;0;
121114;1500;;;0;
121114;1600;;;0;
121114;1700;;;0,00333333;
121114;1800;;;0,0397166;
121114;1900;;;0,08215;
121114;2000;;;0,153733;
121114;2100;;;0,367033;
121114;2200;;;0,565;
121114;2300;;;0,433491;
121115;0000;;;0,321724;
121115;0100;;;0,283216;
121115;0200;;;0,282033;
121115;0300;;;0,2153;
121115;0400;;;;
121115;0500;;;;
121115;0600;;;;
121115;0700;;;;
121115;0800;;;;
121115;0900;;;;
121115;1000;;;;
121115;1100;;;;
121115;1200;;;;
121115;1300;;;;
121115;1400;;;;
121115;1500;;;;
121115;1600;;;;
121115;1700;;;;
121115;1800;;;;
121115;1900;;;;
121115;2000;;;;
121115;2100;;;;
121115;2200;;;;
121115;2300;;;;
121116;0000;;;;
121116;0100;;;;
121116;0200;;;;
121116;0300;;;;
121116;0400;;;;
121116;0500;;;;
121116;0600;;;;
121116;0700;;;;
121116;0800;;;;
121116;0900;;;;
121116;1000;;;;
121116;1100;;;;
121116;1200;;;;
121116;1300;;;;
121116;1400;;;;
121116;1500;;;;
121116;1600;;;;
121116;1700;;;;
121116;1800;;;;
121116;1900;;;;
121116;2000;;;;
121116;2100;;;;
121116;2200;;;;
121116;2300;;;;
121117;0000;;;;
121117;0100;;;;
121117;0200;;;;
121117;0300;;;;
121117;0400;;;;
121117;0500;;;;
121117;0600;;;;
121117;0700;;;;
121117;0800;;;;
121117;0900;;;;
121117;1000;;;;
121117;1100;;;;
121117;1200;;;;
121117;1300;;;;
121117;1400;;;;
121117;1500;;;;
121117;1600;;;;
121117;1700;;;;
121117;1800;;;;
121117;1900;;;;
121117;2000;;;;
121117;2100;;;;
121117;2200;;;;
121117;2300;;;;
121118;0000;;;;
121118;0100;;;;
121118;0200;;;;
121118;0300;;;;
121118;0400;;;;
121118;0500;;;;
121118;0600;;;;
121118;0700;;;;
121118;0800;;;;
121118;0900;;;;
121118;1000;;;;
121118;1100;;;;
121118;1200;;;;
121118;1300;;;;
121118;1400;;;;
121118;1500;;;;
121118;1600;;;;
121118;1700;;;;
121118;1800;;;;
121118;1900;;;;
121118;2000;;;;
