FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
121019;0100;;;10,3085;
121019;0200;;;4,59341;
121019;0300;;;2,9308;
121019;0400;;;2,11462;
121019;0500;;;2,11884;
121019;0600;;;3,75465;
121019;0700;;;5,31065;
121019;0800;;;7,64636;
121019;0900;;;4,45169;
121019;1000;;;4,42088;
121019;1100;;;5,12263;
121019;1200;;;7,45084;
121019;1300;;;5,92128;
121019;1400;;;2,82386;
121019;1500;;;6,66991;
121019;1600;;;4,39468;
121019;1700;;;4,38169;
121019;1800;;;5,90119;
121019;1900;;;5,97896;
121019;2000;;;4,45798;
121019;2100;;;5,24129;
121019;2200;;;17,3415;
121019;2300;;;14,1894;
121020;0000;;;8,62392;
121020;0100;;;7,79556;
121020;0200;;;5,34286;
121020;0300;;;4,58548;
121020;0400;;;7,80676;
121020;0500;;;5,37785;
121020;0600;;;4,57243;
121020;0700;;;2,09253;
121020;0800;;;3,62061;
121020;0900;;;2,82576;
121020;1000;;;5,11153;
121020;1100;;;6,55595;
121020;1200;;;8,99901;
121020;1300;;;6,64379;
121020;1400;;;5,86237;
121020;1500;;;6,61919;
121020;1600;;;8,18391;
121020;1700;;;6,63476;
121020;1800;;;5,11488;
121020;1900;;;6,73176;
121020;2000;;;9,19711;
121020;2100;;;10,0363;
121020;2200;;;14,8768;
121020;2300;;;14,9634;
121021;0000;;;12,5868;
121021;0100;;;8,63393;
121021;0200;;;4,57924;
121021;0300;;;4,56711;
121021;0400;;;1,3199;
121021;0500;;;5,36682;
121021;0600;;;8,68658;
121021;0700;;;8,54642;
121021;0800;;;12,3635;
121021;0900;;;23,0701;
121021;1000;;;10,6391;
121021;1100;;;2,05786;
121021;1200;;;8,99973;
121021;1300;;;6,67328;
121021;1400;;;4,37682;
121021;1500;;;5,07553;
121021;1600;;;5,08172;
121021;1700;;;8,23183;
121021;1800;;;8,3006;
121021;1900;;;5,20831;
121021;2000;;;7,62524;
121021;2100;;;5,26977;
121021;2200;;;4,53069;
121021;2300;;;9,3571;
121022;0000;;;10,2037;
121022;0100;;;6,98022;
121022;0200;;;10,2443;
121022;0300;;;6,21542;
121022;0400;;;5,36266;
121022;0500;;;5,38139;
121022;0600;;;7,0196;
121022;0700;;;3,72537;
121022;0800;;;4,47958;
121022;0900;;;5,95863;
121022;1000;;;5,13913;
121022;1100;;;8,27522;
121022;1200;;;5,10431;
121022;1300;;;9,75621;
121022;1400;;;14,3401;
121022;1500;;;10,5515;
121022;1600;;;8,24541;
121022;1700;;;9,76962;
121022;1800;;;5,96777;
121022;1900;;;5,18958;
121022;2000;;;6,03492;
121022;2100;;;6,07188;
121022;2200;;;10,0878;
121022;2300;;;15,692;
121023;0000;;;4,59336;
121023;0100;;;2,92959;
121023;0200;;;6,1629;
121023;0300;;;4,58789;
121023;0400;;;0,541598;
121023;0500;;;2,91991;
121023;0600;;;2,94121;
121023;0700;;;8,54651;
121023;0800;;;5,24486;
121023;0900;;;2,82927;
121023;1000;;;3,54354;
121023;1100;;;7,36356;
121023;1200;;;6,64394;
121023;1300;;;7,37006;
121023;1400;;;8,93065;
121023;1500;;;2,80594;
121023;1600;;;5,81516;
121023;1700;;;5,06683;
121023;1800;;;7,42999;
121023;1900;;;7,53131;
121023;2000;;;6,03197;
121023;2100;;;9,23746;
121023;2200;;;14,8339;
121023;2300;;;11,0029;
121024;0000;;;6,19913;
121024;0100;;;8,61267;
121024;0200;;;6,20671;
121024;0300;;;2,9538;
121024;0400;;;2,12762;
121024;0500;;;2,128;
121024;0600;;;5,31039;
121024;0700;;;5,29418;
121024;0800;;;6,83968;
121024;0900;;;5,96203;
121024;1000;;;7,44813;
121024;1100;;;10,5638;
121024;1200;;;8,2901;
121024;1300;;;8,23138;
121024;1400;;;7,41586;
121024;1500;;;7,4055;
121024;1600;;;5,10521;
121024;1700;;;7,38567;
121024;1800;;;5,89619;
121024;1900;;;5,93611;
121024;2000;;;8,35258;
121024;2100;;;13,1571;
121024;2200;;;20,4973;
121024;2300;;;8,68304;
121025;0000;;;9,40607;
121025;0100;;;6,20668;
121025;0200;;;8,63014;
121025;0300;;;7,05506;
121025;0400;;;7,04578;
121025;0500;;;4,65255;
121025;0600;;;4,60067;
121025;0700;;;9,34837;
121025;0800;;;6,08308;
121025;0900;;;9,10037;
121025;1000;;;9,86078;
121025;1100;;;;
121025;1200;;;;
121025;1300;;;;
121025;1400;;;8,14917;
121025;1500;;;2,792;
121025;1600;;;4,35249;
121025;1700;;;5,84915;
121025;1800;;;2,7965;
121025;1900;;;3,67346;
121025;2000;;;11,5389;
121025;2100;;;10,876;
121025;2200;;;19,6355;
121025;2300;;;8,49792;
121026;0000;;;6,10136;
121026;0100;;;6,92916;
121026;0200;;;6,89195;
121026;0300;;;2,90261;
121026;0400;;;3,70341;
121026;0500;;;3,70313;
121026;0600;;;2,90663;
121026;0700;;;3,69084;
121026;0800;;;5,96203;
121026;0900;;;3,57459;
121026;1000;;;7,4027;
121026;1100;;;7,43412;
121026;1200;;;12,7464;
121026;1300;;;10,4519;
121026;1400;;;9,64751;
121026;1500;;;7,31715;
121026;1600;;;7,31269;
121026;1700;;;5,8336;
121026;1800;;;7,39886;
121026;1900;;;6,72725;
121026;2000;;;9,92729;
121026;2100;;;14,657;
121026;2200;;;12,4114;
121026;2300;;;16,4648;
121027;0000;;;9,40695;
121027;0100;;;22,2484;
121027;0200;;;16,6517;
121027;0300;;;10,2128;
121027;0400;;;10,9628;
121027;0500;;;6,92358;
121027;0600;;;6,11514;
121027;0700;;;3,67231;
121027;0800;;;5,18932;
121027;0900;;;7,48225;
121027;1000;;;5,90559;
121027;1100;;;10,5558;
121027;1200;;;9,7588;
121027;1300;;;8,19965;
121027;1400;;;9,73053;
121027;1500;;;9,71463;
121027;1600;;;9,74908;
121027;1700;;;8,99744;
121027;1800;;;5,95176;
121027;1900;;;8,34378;
121027;2000;;;6,74195;
121027;2100;;;4,45142;
121027;2200;;;11,609;
121027;2300;;;29,1012;
121028;0000;;;32,3357;
121028;0100;;;23,7371;
121028;0200;;;17,3084;
121028;0300;;;6,87189;
121028;0400;;;5,25858;
121028;0500;;;3,67233;
121028;0600;;;2,08817;
121028;0700;;;4,4698;
121028;0800;;;5,16601;
121028;0900;;;8,27278;
121028;1000;;;;
121028;1100;;;;
121028;1200;;;;
121028;1300;;;12,7393;
121028;1400;;;12,6908;
121028;1500;;;12,6468;
121028;1600;;;9,66383;
121028;1700;;;9,67543;
121028;1800;;;6,65576;
121028;1900;;;7,50349;
121028;2000;;;9,1479;
121028;2100;;;8,43562;
121028;2200;;;11,5717;
121028;2300;;;8,47964;
121029;0000;;;10,06;
121029;0100;;;7,63754;
121029;0200;;;4,52909;
121029;0300;;;7,71892;
121029;0400;;;10,1363;
121029;0500;;;6,14548;
121029;0600;;;7,72354;
121029;0700;;;9,26527;
121029;0800;;;8,345;
121029;0900;;;8,99223;
121029;1000;;;7,36916;
121029;1100;;;6,64685;
121029;1200;;;11,2354;
121029;1300;;;15,7845;
121029;1400;;;13,389;
121029;1500;;;11,2999;
121029;1600;;;27,2902;
121029;1700;;;33,4677;
121029;1800;;;26,8603;
121029;1900;;;28,6663;
121029;2000;;;24,1298;
121029;2100;;;24,2916;
121029;2200;;;21,3084;
121029;2300;;;19,7974;
121030;0000;;;23,8905;
121030;0100;;;19,9155;
121030;0200;;;19,9216;
121030;0300;;;15,1579;
121030;0400;;;13,5336;
121030;0500;;;11,1334;
121030;0600;;;3,86607;
121030;0700;;;11,7825;
121030;0800;;;10,8214;
121030;0900;;;13,6498;
121030;1000;;;11,2927;
121030;1100;;;8,98523;
121030;1200;;;7,41335;
121030;1300;;;5,8667;
121030;1400;;;6,62829;
121030;1500;;;5,0707;
121030;1600;;;6,6639;
121030;1700;;;17,4169;
121030;1800;;;6,69644;
121030;1900;;;;
121030;2000;;;;
121030;2100;;;;
121030;2200;;;;
121030;2300;;;;
121031;0000;;;5,30131;
121031;0100;;;2,93222;
121031;0200;;;2,92288;
121031;0300;;;2,14692;
121031;0400;;;5,36551;
121031;0500;;;5,39885;
121031;0600;;;9,4192;
121031;0700;;;3,73919;
121031;0800;;;9,1776;
121031;0900;;;5,14957;
121031;1000;;;7,42905;
121031;1100;;;5,94917;
121031;1200;;;12,8264;
121031;1300;;;11,2949;
121031;1400;;;9,7413;
121031;1500;;;7,44539;
121031;1600;;;11,967;
121031;1700;;;3,61066;
121031;1800;;;10,6594;
121031;1900;;;11,5542;
121031;2000;;;10,8356;
121031;2100;;;6,92373;
121031;2200;;;10,9712;
121031;2300;;;16,616;
121101;0000;;;14,1499;
121101;0100;;;5,32764;
121101;0200;;;5,34087;
121101;0300;;;7,77325;
