FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
200804;0100;;;0,2;
200804;0200;;;0,14;
200804;0300;;;0,12;
200804;0400;;;0,18;
200804;0500;;;0,38;
200804;0600;;;0,39;
200804;0700;;;0,34;
200804;0800;;;0,44;
200804;0900;;;0,33;
200804;1000;;;3,1;
200804;1100;;;2,27;
200804;1200;;;0,68;
200804;1300;;;0,26;
200804;1400;;;0,26;
200804;1500;;;0,28;
200804;1600;;;0,3;
200804;1700;;;0,31;
200804;1800;;;0,35;
200804;1900;;;2,86;
200804;2000;;;1,24;
200804;2100;;;1,38;
200804;2200;;;0,29;
200804;2300;;;0,28;
200805;0000;;;0,16;
200805;0100;;;1;
200805;0200;;;0,79;
200805;0300;;;0,65;
200805;0400;;;0,43;
200805;0500;;;0,22;
200805;0600;;;0,41;
200805;0700;;;0,24;
200805;0800;;;0,3;
200805;0900;;;0,15;
200805;1000;;;0,3;
200805;1100;;;0,27;
200805;1200;;;0,34;
200805;1300;;;2,76;
200805;1400;;;0,99;
200805;1500;;;0,38;
200805;1600;;;0,3;
200805;1700;;;0,43;
200805;1800;;;0,51;
200805;1900;;;0,86;
200805;2000;;;1,55;
200805;2100;;;0,54;
200805;2200;;;0,26;
200805;2300;;;0,24;
200806;0000;;;0,3;
200806;0100;;;0,44;
200806;0200;;;0,39;
200806;0300;;;0,57;
200806;0400;;;0,71;
200806;0500;;;0,65;
200806;0600;;;0,64;
200806;0700;;;0,71;
200806;0800;;;0,65;
200806;0900;;;0,45;
200806;1000;;;0,42;
200806;1100;;;1,61;
200806;1200;;;0,68;
200806;1300;;;2,38;
200806;1400;;;1,25;
200806;1500;;;0,44;
200806;1600;;;0,41;
200806;1700;;;0,63;
200806;1800;;;0,5;
200806;1900;;;0,57;
200806;2000;;;1,05;
200806;2100;;;0,65;
200806;2200;;;0,48;
200806;2300;;;0,27;
200807;0000;;;2,17;
200807;0100;;;1,06;
200807;0200;;;0,32;
200807;0300;;;0,81;
200807;0400;;;0,52;
200807;0500;;;0,47;
200807;0600;;;0,43;
200807;0700;;;0,6;
200807;0800;;;1,3;
200807;0900;;;2,67;
200807;1000;;;7,06;
200807;1100;;;6,01;
200807;1200;;;1,35;
200807;1300;;;1;
200807;1400;;;1,3;
200807;1500;;;0,63;
200807;1600;;;0,68;
200807;1700;;;0,43;
200807;1800;;;0,28;
200807;1900;;;0,26;
200807;2000;;;1,34;
200807;2100;;;0,69;
200807;2200;;;0,19;
200807;2300;;;0,76;
200808;0000;;;0,68;
200808;0100;;;2,01;
200808;0200;;;3,19;
200808;0300;;;1,18;
200808;0400;;;0,88;
200808;0500;;;0,68;
200808;0600;;;0,68;
200808;0700;;;0,38;
200808;0800;;;0,47;
200808;0900;;;1,55;
200808;1000;;;0,45;
200808;1100;;;3,3;
200808;1200;;;2,72;
200808;1300;;;0,92;
200808;1400;;;0,91;
200808;1500;;;0,61;
200808;1600;;;0,37;
200808;1700;;;0,42;
200808;1800;;;0,28;
200808;1900;;;1,52;
200808;2000;;;1,94;
200808;2100;;;1,56;
200808;2200;;;0,45;
200808;2300;;;0,24;
200809;0000;;;0,19;
200809;0100;;;0,17;
200809;0200;;;0,2;
200809;0300;;;0,31;
200809;0400;;;0,59;
200809;0500;;;0,6;
200809;0600;;;0,47;
200809;0700;;;0,39;
200809;0800;;;0,4;
200809;0900;;;0,59;
200809;1000;;;0,74;
200809;1100;;;1,45;
200809;1200;;;6,4;
200809;1300;;;4,75;
200809;1400;;;3,86;
200809;1500;;;2,15;
200809;1600;;;1,03;
200809;1700;;;0,95;
200809;1800;;;3;
200809;1900;;;2,33;
200809;2000;;;2,38;
200809;2100;;;1,76;
200809;2200;;;3,22;
200809;2300;;;1,45;
200810;0000;;;0,84;
200810;0100;;;0,64;
200810;0200;;;0,87;
200810;0300;;;1,1;
200810;0400;;;1,06;
200810;0500;;;0,8;
200810;0600;;;0,78;
200810;0700;;;0,68;
200810;0800;;;0,93;
200810;0900;;;0,42;
200810;1000;;;0,85;
200810;1100;;;3,87;
200810;1200;;;4,59;
200810;1300;;;1,05;
200810;1400;;;0,51;
200810;1500;;;0,48;
200810;1600;;;0,5;
200810;1700;;;0,99;
200810;1800;;;0,83;
200810;1900;;;2,59;
200810;2000;;;2,7;
200810;2100;;;0,84;
200810;2200;;;0,98;
200810;2300;;;1,42;
200811;0000;;;0,59;
200811;0100;;;0,35;
200811;0200;;;0,36;
200811;0300;;;0,56;
200811;0400;;;0,79;
200811;0500;;;1,88;
200811;0600;;;1,71;
200811;0700;;;1,09;
200811;0800;;;0,98;
200811;0900;;;0,77;
200811;1000;;;0,57;
200811;1100;;;1,86;
200811;1200;;;3,81;
200811;1300;;;1,44;
200811;1400;;;0,34;
200811;1500;;;0,4;
200811;1600;;;0,4;
200811;1700;;;0,31;
200811;1800;;;0,37;
200811;1900;;;1,17;
200811;2000;;;0,58;
200811;2100;;;0,64;
200811;2200;;;2,98;
200811;2300;;;2,61;
200812;0000;;;0,8;
200812;0100;;;0,12;
200812;0200;;;1,16;
200812;0300;;;1,19;
200812;0400;;;0,16;
200812;0500;;;0,31;
200812;0600;;;0,28;
200812;0700;;;0,28;
200812;0800;;;0,38;
200812;0900;;;0,47;
200812;1000;;;0,61;
200812;1100;;;0,41;
200812;1200;;;0,29;
200812;1300;;;0,41;
200812;1400;;;0,21;
200812;1500;;;0,22;
200812;1600;;;;
200812;1700;;;;
200812;1800;;;;
200812;1900;;;;
200812;2000;;;;
200812;2100;;;;
200812;2200;;;;
200812;2300;;;;
200813;0000;;;;
200813;0100;;;;
200813;0200;;;;
200813;0300;;;;
200813;0400;;;;
200813;0500;;;;
200813;0600;;;;
200813;0700;;;;
200813;0800;;;;
200813;0900;;;;
200813;1000;;;;
200813;1100;;;;
200813;1200;;;;
200813;1300;;;;
200813;1400;;;;
200813;1500;;;;
200813;1600;;;;
200813;1700;;;;
200813;1800;;;;
200813;1900;;;;
200813;2000;;;;
200813;2100;;;;
200813;2200;;;;
200813;2300;;;;
200814;0000;;;;
200814;0100;;;;
200814;0200;;;;
200814;0300;;;;
200814;0400;;;;
200814;0500;;;;
200814;0600;;;;
200814;0700;;;;
200814;0800;;;;
200814;0900;;;;
200814;1000;;;;
200814;1100;;;;
200814;1200;;;;
200814;1300;;;;
200814;1400;;;;
200814;1500;;;;
200814;1600;;;;
200814;1700;;;;
200814;1800;;;;
200814;1900;;;;
200814;2000;;;;
200814;2100;;;;
200814;2200;;;;
200814;2300;;;;
200815;0000;;;;
200815;0100;;;;
200815;0200;;;;
200815;0300;;;;
200815;0400;;;;
200815;0500;;;;
200815;0600;;;;
200815;0700;;;;
200815;0800;;;;
200815;0900;;;;
200815;1000;;;;
200815;1100;;;;
200815;1200;;;;
200815;1300;;;;
200815;1400;;;;
200815;1500;;;;
200815;1600;;;;
200815;1700;;;;
200815;1800;;;;
200815;1900;;;;
200815;2000;;;;
200815;2100;;;;
200815;2200;;;;
200815;2300;;;;
200816;0000;;;;
200816;0100;;;;
200816;0200;;;;
200816;0300;;;;
200816;0400;;;;
200816;0500;;;;
200816;0600;;;;
200816;0700;;;;
200816;0800;;;;
200816;0900;;;;
200816;1000;;;;
200816;1100;;;;
200816;1200;;;;
200816;1300;;;;
200816;1400;;;;
200816;1500;;;;
200816;1600;;;;
200816;1700;;;;
200816;1800;;;;
200816;1900;;;;
200816;2000;;;;
200816;2100;;;;
