FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
060201;0000;;97,3462;;
060301;0000;;88,9872;;
060401;0000;;85,2942;;
060501;0000;;103,311;;
060601;0000;;62,4678;;
060701;0000;;55,4269;;
060801;0000;;38,5616;;
060901;0000;;35,9957;;
061001;0000;;48,9828;;
061101;0000;;59,1371;;
061201;0000;;66,1711;;
070101;0000;;58,6714;;
070201;0000;;43,0531;;
070301;0000;;34,5724;;
070401;0000;;42,8986;;
070501;0000;;52,6588;;
070601;0000;;54,013;;
070701;0000;;55,941;;
070801;0000;;55,1186;;
070901;0000;;31,6651;;
071001;0000;;21,9182;;
071101;0000;;;;
071201;0000;;34,7619;;
080101;0000;;48,9149;;
080201;0000;;32,4587;;
080301;0000;;38,8241;;
080401;0000;;48,8329;;
080501;0000;;92,295;;
080601;0000;;63,0463;;
080701;0000;;42,7371;;
080801;0000;;48,9726;;
080901;0000;;42,5789;;
081001;0000;;49,8369;;
081101;0000;;65,9646;;
081201;0000;;59,2131;;
090101;0000;;79,8;;
090201;0000;;59,8;;
090301;0000;;35,2;;
090401;0000;;49,6;;
090501;0000;;45,3;;
090601;0000;;40,2;;
090701;0000;;35,7273;;
090801;0000;;45;;
090901;0000;;24,2;;
091001;0000;;28;;
091101;0000;;15,8;;
091201;0000;;24,6056;;
100101;0000;;34,5298;;
100201;0000;;30,8965;;
100301;0000;;33,715;;
100401;0000;;38,223;;
100501;0000;;25,3913;;
