FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
050102;0100;;;;
050102;0200;;;;
050102;0300;;;;
050102;0400;;;;
050102;0500;;;;
050102;0600;;;;
050102;0700;;;;
050102;0800;;;;
050102;0900;;;;
050102;1000;;;;
050102;1100;;;;
050102;1200;;;;
050102;1300;;;;
050102;1400;;;;
050102;1500;;;;
050102;1600;;;;
050102;1700;;;;
050102;1800;;;;
050102;1900;;;;
050102;2000;;;;
050102;2100;;;;
050102;2200;;;;
050102;2300;;;;
050103;0000;;;;
050103;0100;;;;
050103;0200;;;;
050103;0300;;;;
050103;0400;;;;
050103;0500;;;;
050103;0600;;;;
050103;0700;;;;
050103;0800;;;;
050103;0900;;;;
050103;1000;;;;
050103;1100;;;;
050103;1200;;;;
050103;1300;;;;
050103;1400;;;;
050103;1500;;;;
050103;1600;;;;
050103;1700;;;;
050103;1800;;;;
050103;1900;;;;
050103;2000;;;;
050103;2100;;;;
050103;2200;;;;
050103;2300;;;;
050104;0000;;;;
050104;0100;;;;
050104;0200;;;;
050104;0300;;;;
050104;0400;;;;
050104;0500;;;;
050104;0600;;;;
050104;0700;;;;
050104;0800;;;;
050104;0900;;;;
050104;1000;;;;
050104;1100;;;;
050104;1200;;;;
050104;1300;;;;
050104;1400;;;;
050104;1500;;;;
050104;1600;;;;
050104;1700;;;;
050104;1800;;;;
050104;1900;;;;
050104;2000;;;;
050104;2100;;;;
050104;2200;;;;
050104;2300;;;;
050105;0000;;;;
050105;0100;;;;
050105;0200;;;;
050105;0300;;;;
050105;0400;;;;
050105;0500;;;;
050105;0600;;;;
050105;0700;;;;
050105;0800;;;;
050105;0900;;;;
050105;1000;;;;
050105;1100;;;;
050105;1200;;;;
050105;1300;;;;
050105;1400;;;;
050105;1500;;;;
050105;1600;;;;
050105;1700;;;;
050105;1800;;;;
050105;1900;;;;
050105;2000;;;;
050105;2100;;;;
050105;2200;;;;
050105;2300;;;;
050106;0000;;;;
050106;0100;;;;
050106;0200;;;;
050106;0300;;;;
050106;0400;;;;
050106;0500;;;;
050106;0600;;;;
050106;0700;;;;
050106;0800;;;;
050106;0900;;;;
050106;1000;;;;
050106;1100;;;;
050106;1200;;;;
050106;1300;;;;
050106;1400;;;;
050106;1500;;;;
050106;1600;;;;
050106;1700;;;;
050106;1800;;;;
050106;1900;;;;
050106;2000;;;;
050106;2100;;;;
050106;2200;;;;
050106;2300;;;;
050107;0000;;;;
050107;0100;;;;
050107;0200;;;;
050107;0300;;;;
050107;0400;;;;
050107;0500;;;;
050107;0600;;;;
050107;0700;;;;
050107;0800;;;;
050107;0900;;;;
050107;1000;;;;
050107;1100;;;;
050107;1200;;;;
050107;1300;;;;
050107;1400;;;;
050107;1500;;;;
050107;1600;;;;
050107;1700;;;;
050107;1800;;;;
050107;1900;;;;
050107;2000;;;;
050107;2100;;;;
050107;2200;;;;
050107;2300;;;;
050108;0000;;;;
050108;0100;;;;
050108;0200;;;;
050108;0300;;;;
050108;0400;;;;
050108;0500;;;;
050108;0600;;;;
050108;0700;;;;
050108;0800;;;;
050108;0900;;;;
050108;1000;;;;
050108;1100;;;;
050108;1200;;;;
050108;1300;;;;
050108;1400;;;;
