FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
131210;0100;6;;;
131210;0200;4;;;
131210;0300;1;;;
131210;0400;4;;;
131210;0500;5;;;
131210;0600;7;;;
131210;0700;10;;;
131210;0800;11;;;
131210;0900;11;;;
131210;1000;11;;;
131210;1100;12;;;
131210;1200;12;;;
131210;1300;12;;;
131210;1400;13;;;
131210;1500;11;;;
131210;1600;11;;;
131210;1700;13;;;
131210;1800;12;;;
131210;1900;11;;;
131210;2000;11;;;
131210;2100;12;;;
131210;2200;14;;;
131210;2300;12;;;
131211;0000;12;;;
131211;0100;11;;;
131211;0200;10;;;
131211;0300;8;;;
131211;0400;7;;;
131211;0500;8;;;
131211;0600;9;;;
131211;0700;10;;;
131211;0800;12;;;
131211;0900;11;;;
131211;1000;8;;;
131211;1100;10;;;
131211;1200;12;;;
131211;1300;8;;;
131211;1400;6;;;
131211;1500;4;;;
131211;1600;5;;;
131211;1700;11;;;
131211;1800;12;;;
131211;1900;10;;;
131211;2000;9;;;
131211;2100;9;;;
131211;2200;10;;;
131211;2300;16;;;
131212;0000;11;;;
131212;0100;8;;;
131212;0200;7;;;
131212;0300;9;;;
131212;0400;5;;;
131212;0500;5;;;
131212;0600;7;;;
131212;0700;4;;;
131212;0800;3;;;
131212;0900;7;;;
131212;1000;7;;;
131212;1100;6;;;
131212;1200;5;;;
131212;1300;6;;;
131212;1400;4;;;
131212;1500;1;;;
131212;1600;1;;;
131212;1700;5;;;
131212;1800;10;;;
131212;1900;9;;;
131212;2000;2;;;
131212;2100;3;;;
131212;2200;7;;;
131212;2300;9;;;
131213;0000;9;;;
131213;0100;4;;;
131213;0200;2;;;
131213;0300;3;;;
131213;0400;2;;;
131213;0500;4;;;
131213;0600;6;;;
131213;0700;8;;;
131213;0800;9;;;
131213;0900;7;;;
131213;1000;8;;;
131213;1100;13;;;
131213;1200;11;;;
131213;1300;8;;;
131213;1400;8;;;
131213;1500;8;;;
131213;1600;7;;;
131213;1700;1;;;
131213;1800;1;;;
131213;1900;5;;;
131213;2000;6;;;
131213;2100;6;;;
131213;2200;7;;;
131213;2300;7;;;
131214;0000;6;;;
131214;0100;9;;;
131214;0200;8;;;
131214;0300;2;;;
131214;0400;1;;;
131214;0500;2;;;
131214;0600;3;;;
131214;0700;4;;;
131214;0800;7;;;
131214;0900;6;;;
131214;1000;7;;;
131214;1100;11;;;
131214;1200;9;;;
131214;1300;6;;;
131214;1400;6;;;
131214;1500;6;;;
131214;1600;7;;;
131214;1700;5;;;
131214;1800;2;;;
131214;1900;4;;;
131214;2000;5;;;
131214;2100;6;;;
131214;2200;5;;;
131214;2300;4;;;
131215;0000;4;;;
131215;0100;6;;;
131215;0200;11;;;
131215;0300;10;;;
131215;0400;8;;;
131215;0500;8;;;
131215;0600;6;;;
131215;0700;8;;;
131215;0800;9;;;
131215;0900;7;;;
131215;1000;5;;;
131215;1100;3;;;
131215;1200;2;;;
131215;1300;4;;;
131215;1400;6;;;
131215;1500;4;;;
131215;1600;5;;;
131215;1700;4;;;
131215;1800;3;;;
131215;1900;2;;;
131215;2000;2;;;
131215;2100;7;;;
131215;2200;6;;;
131215;2300;4;;;
131216;0000;5;;;
131216;0100;4;;;
131216;0200;2;;;
131216;0300;3;;;
131216;0400;3;;;
131216;0500;5;;;
131216;0600;11;;;
131216;0700;10;;;
131216;0800;6;;;
131216;0900;5;;;
131216;1000;7;;;
131216;1100;8;;;
131216;1200;9;;;
131216;1300;7;;;
131216;1400;8;;;
131216;1500;8;;;
131216;1600;5;;;
131216;1700;8;;;
131216;1800;9;;;
131216;1900;10;;;
131216;2000;10;;;
131216;2100;7;;;
131216;2200;7;;;
131216;2300;7;;;
131217;0000;5;;;
131217;0100;4;;;
131217;0200;8;;;
131217;0300;6;;;
131217;0400;2;;;
131217;0500;3;;;
131217;0600;5;;;
131217;0700;10;;;
131217;0800;12;;;
131217;0900;9;;;
131217;1000;7;;;
131217;1100;;;;
131217;1200;;;;
131217;1300;10;;;
131217;1400;9;;;
131217;1500;9;;;
131217;1600;11;;;
131217;1700;7;;;
131217;1800;4;;;
131217;1900;4;;;
131217;2000;8;;;
131217;2100;7;;;
131217;2200;9;;;
131217;2300;8;;;
131218;0000;3;;;
131218;0100;3;;;
131218;0200;5;;;
131218;0300;7;;;
131218;0400;7;;;
131218;0500;5;;;
131218;0600;8;;;
131218;0700;9;;;
131218;0800;5;;;
131218;0900;4;;;
131218;1000;7;;;
131218;1100;9;;;
131218;1200;9;;;
131218;1300;8;;;
131218;1400;7;;;
131218;1500;15;;;
131218;1600;10;;;
131218;1700;9;;;
131218;1800;6;;;
131218;1900;1;;;
131218;2000;2;;;
131218;2100;7;;;
131218;2200;6;;;
131218;2300;4;;;
131219;0000;5;;;
131219;0100;4;;;
131219;0200;3;;;
131219;0300;7;;;
131219;0400;9;;;
131219;0500;7;;;
131219;0600;6;;;
131219;0700;7;;;
131219;0800;3;;;
131219;0900;1;;;
131219;1000;4;;;
131219;1100;9;;;
131219;1200;9;;;
131219;1300;8;;;
131219;1400;8;;;
131219;1500;8;;;
131219;1600;9;;;
131219;1700;8;;;
131219;1800;9;;;
131219;1900;7;;;
131219;2000;3;;;
131219;2100;6;;;
131219;2200;9;;;
131219;2300;5;;;
131220;0000;5;;;
131220;0100;5;;;
131220;0200;4;;;
131220;0300;5;;;
131220;0400;6;;;
131220;0500;8;;;
131220;0600;6;;;
131220;0700;5;;;
131220;0800;4;;;
131220;0900;6;;;
131220;1000;9;;;
131220;1100;6;;;
131220;1200;5;;;
131220;1300;7;;;
131220;1400;5;;;
131220;1500;2;;;
131220;1600;5;;;
131220;1700;5;;;
131220;1800;6;;;
131220;1900;7;;;
131220;2000;4;;;
131220;2100;6;;;
131220;2200;8;;;
131220;2300;6;;;
131221;0000;3;;;
131221;0100;3;;;
131221;0200;3;;;
131221;0300;5;;;
131221;0400;7;;;
131221;0500;6;;;
131221;0600;2;;;
131221;0700;1;;;
131221;0800;5;;;
131221;0900;4;;;
131221;1000;7;;;
131221;1100;8;;;
131221;1200;1;;;
131221;1300;1;;;
131221;1400;2;;;
131221;1500;2;;;
131221;1600;3;;;
131221;1700;1;;;
131221;1800;1;;;
131221;1900;6;;;
131221;2000;8;;;
131221;2100;3;;;
131221;2200;3;;;
131221;2300;5;;;
131222;0000;5;;;
131222;0100;6;;;
131222;0200;7;;;
131222;0300;4;;;
131222;0400;4;;;
131222;0500;5;;;
131222;0600;1;;;
131222;0700;5;;;
131222;0800;8;;;
131222;0900;6;;;
131222;1000;8;;;
131222;1100;6;;;
131222;1200;4;;;
131222;1300;7;;;
131222;1400;7;;;
131222;1500;4;;;
131222;1600;3;;;
131222;1700;5;;;
131222;1800;3;;;
131222;1900;3;;;
131222;2000;5;;;
131222;2100;7;;;
131222;2200;6;;;
131222;2300;3;;;
131223;0000;3;;;
131223;0100;1;;;
131223;0200;1;;;
131223;0300;5;;;
131223;0400;3;;;
131223;0500;3;;;
131223;0600;8;;;
131223;0700;11;;;
131223;0800;11;;;
131223;0900;10;;;
131223;1000;10;;;
131223;1100;9;;;
131223;1200;8;;;
131223;1300;7;;;
131223;1400;7;;;
131223;1500;6;;;
131223;1600;6;;;
131223;1700;9;;;
131223;1800;10;;;
131223;1900;10;;;
131223;2000;8;;;
131223;2100;9;;;
131223;2200;8;;;
131223;2300;9;;;
131224;0000;11;;;
131224;0100;6;;;
131224;0200;6;;;
131224;0300;9;;;
131224;0400;8;;;
131224;0500;8;;;
131224;0600;9;;;
131224;0700;8;;;
131224;0800;10;;;
131224;0900;14;;;
131224;1000;13;;;
131224;1100;12;;;
131224;1200;10;;;
131224;1300;8;;;
131224;1400;10;;;
131224;1500;6;;;
131224;1600;5;;;
131224;1700;8;;;
131224;1800;8;;;
131224;1900;7;;;
131224;2000;8;;;
131224;2100;8;;;
131224;2200;6;;;
131224;2300;7;;;
131225;0000;8;;;
131225;0100;6;;;
131225;0200;3;;;
131225;0300;7;;;
131225;0400;10;;;
131225;0500;6;;;
131225;0600;7;;;
131225;0700;10;;;
131225;0800;10;;;
131225;0900;5;;;
131225;1000;6;;;
131225;1100;11;;;
131225;1200;10;;;
131225;1300;12;;;
131225;1400;11;;;
131225;1500;7;;;
131225;1600;7;;;
131225;1700;8;;;
131225;1800;8;;;
131225;1900;9;;;
131225;2000;9;;;
131225;2100;7;;;
131225;2200;9;;;
131225;2300;11;;;
131226;0000;11;;;
131226;0100;6;;;
131226;0200;7;;;
131226;0300;11;;;
131226;0400;12;;;
131226;0500;11;;;
131226;0600;11;;;
131226;0700;12;;;
131226;0800;11;;;
131226;0900;10;;;
131226;1000;9;;;
131226;1100;10;;;
131226;1200;13;;;
131226;1300;13;;;
131226;1400;14;;;
131226;1500;11;;;
131226;1600;9;;;
131226;1700;9;;;
131226;1800;4;;;
131226;1900;5;;;
131226;2000;9;;;
131226;2100;7;;;
131226;2200;6;;;
131226;2300;9;;;
131227;0000;11;;;
131227;0100;11;;;
131227;0200;10;;;
131227;0300;11;;;
131227;0400;13;;;
131227;0500;13;;;
131227;0600;18;;;
131227;0700;15;;;
131227;0800;12;;;
131227;0900;10;;;
131227;1000;11;;;
131227;1100;10;;;
131227;1200;6;;;
131227;1300;8;;;
131227;1400;9;;;
131227;1500;8;;;
131227;1600;10;;;
131227;1700;10;;;
131227;1800;6;;;
131227;1900;7;;;
131227;2000;8;;;
131227;2100;7;;;
131227;2200;7;;;
131227;2300;9;;;
131228;0000;9;;;
131228;0100;8;;;
